Date/Time,BATIMENT0000000240879934_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879934_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879934_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1773166.279168477,1627263.1208581945,3120911.9822739693 
 01/01  02:00:00,1945829.980109308,1832932.326429238,3508899.735952568 
 01/01  03:00:00,2042212.341558094,1947613.9471450727,3694495.807743551 
 01/01  04:00:00,2100809.7729635583,2022027.4292462252,3830551.0555525795 
 01/01  05:00:00,2143588.96377887,2076395.7011852448,3918212.1603056425 
 01/01  06:00:00,2213847.3584293355,2159558.6047479766,4049482.227462655 
 01/01  07:00:00,2247796.7332328195,2204634.7811382255,4130013.9675863637 
 01/01  08:00:00,2284170.334098583,2251814.139594517,4223808.426085415 
 01/01  09:00:00,2375753.231208735,2357376.679184119,4395985.850097485 
 01/01  10:00:00,2407948.6947477246,2385629.120838739,4387594.304767053 
 01/01  11:00:00,2041327.5203971188,1953382.6666477902,3349390.185845889 
 01/01  12:00:00,1441330.7412455443,1217638.406213967,1682737.377093232 
 01/01  13:00:00,952783.1139126287,551229.4231607551,444098.5995098491 
 01/01  14:00:00,660169.5098290548,69273.59993632817,0.0 
 01/01  15:00:00,539532.7192443409,0.0,0.0 
 01/01  16:00:00,665765.6413743448,193552.74501640888,182575.90726602284 
 01/01  17:00:00,917483.1851140538,580719.3199413999,1132354.8672688645 
 01/01  18:00:00,1256773.3849315282,982619.892220729,1993025.5554163393 
 01/01  19:00:00,1417882.1925765495,1168830.770092362,2283777.62035596 
 01/01  20:00:00,1527513.408848367,1299193.379009165,2483819.464173389 
 01/01  21:00:00,1593160.669128547,1377504.6494746748,2577272.128465667 
 01/01  22:00:00,1614500.8800775025,1408391.0812582837,2612721.3061481006 
 01/01  23:00:00,1628899.2765680156,1440130.3356669366,2723743.272843066 
 01/01  24:00:00,1632641.8110890896,1456930.4327190989,2776581.151696535 
 01/02  01:00:00,1639380.7208092096,1463729.4022402551,2745357.60593238 
 01/02  02:00:00,1642635.454285701,1465331.5102381352,2693523.746815097 
 01/02  03:00:00,1681076.5262243445,1505589.7077894537,2729178.446827769 
 01/02  04:00:00,1775926.7405584855,1606109.320702018,2834846.7263394063 
 01/02  05:00:00,1877245.3915576064,1713376.7267139377,2954210.3760290155 
 01/02  06:00:00,1953850.329854609,1798938.4611051315,3071705.46279599 
 01/02  07:00:00,1973216.4981416715,1822664.416248472,3093713.1246865606 
 01/02  08:00:00,2007884.0657677043,1861330.4402811679,3143104.849531305 
 01/02  09:00:00,2078952.9592817153,1939834.3112215179,3253866.3880123273 
 01/02  10:00:00,2084123.5767120973,1939764.2322135654,3250776.210965406 
 01/02  11:00:00,1898163.6568661663,1706349.2896919197,2827283.4588875724 
 01/02  12:00:00,1568864.350006529,1290972.901723261,1963158.3921912296 
 01/02  13:00:00,1288937.1529147187,911846.4541720244,1304591.4356241939 
 01/02  14:00:00,1405768.2141814786,1085920.789837494,1916488.2755078361 
 01/02  15:00:00,1716020.1692380498,1461466.6705343486,2551894.7302632397 
 01/02  16:00:00,2029652.081541824,1827575.9435924757,3112122.6413441855 
 01/02  17:00:00,2276496.5754799955,2118873.622052065,3566485.3600217565 
 01/02  18:00:00,3290507.4618353406,3178128.398859429,4810899.082304656 
 01/02  19:00:00,3589846.4394334904,3491743.7068733918,5154349.395313402 
 01/02  20:00:00,3670218.942983802,3586652.0074715298,5262427.27453536 
 01/02  21:00:00,3735229.7308409666,3664047.3938845727,5349274.702230236 
 01/02  22:00:00,3830719.482491746,3772555.2601368115,5483480.144223435 
 01/02  23:00:00,3956775.621223246,3913437.2904837015,5665698.4011755 
 01/02  24:00:00,4176629.371819004,4154406.1522496147,5993713.498498776 
 01/03  01:00:00,4448495.849785898,4451183.328412986,6402650.5445621675 
 01/03  02:00:00,4202556.386135845,4272553.873783651,6543848.023106016 
 01/03  03:00:00,4242061.672447205,4344021.138018378,6763237.729737892 
 01/03  04:00:00,4340878.289845657,4461273.542664734,6956326.252692974 
 01/03  05:00:00,4406815.172597012,4541776.506981758,7094468.070385011 
 01/03  06:00:00,4433653.962312149,4578114.200456687,7175940.849029457 
 01/03  07:00:00,4457540.757612228,4609586.364332319,7255940.684981573 
 01/03  08:00:00,4483295.65113149,4643029.412122796,7324262.649834809 
 01/03  09:00:00,4515165.077226961,4682336.887208434,7385790.276380083 
 01/03  10:00:00,4490915.597857733,4655102.833404328,7338501.677444186 
 01/03  11:00:00,4322100.795469182,4438065.02338123,7000801.966928715 
 01/03  12:00:00,3996777.353422316,4005397.026990638,6326556.25111901 
 01/03  13:00:00,3640245.1098280177,3543477.7352760355,5606345.25239167 
 01/03  14:00:00,3446182.3537121876,3277289.0506184734,5170295.685835952 
 01/03  15:00:00,3318851.1903245347,3077866.6669778307,4864947.345883425 
 01/03  16:00:00,3257967.6948406613,3086036.366016058,4632778.293199893 
 01/03  17:00:00,3419804.1756775444,3418904.361933169,5469322.176278067 
 01/03  18:00:00,3965357.8853956563,4109540.1972759166,7080822.935566803 
 01/03  19:00:00,4378901.012170156,4577110.581057699,7849957.597318545 
 01/03  20:00:00,4494898.966589922,4721917.818991073,8103387.610032553 
 01/03  21:00:00,4677375.097903198,4936382.446004257,8433009.185235383 
 01/03  22:00:00,4909625.520456932,5204935.43544702,8850185.828813743 
 01/03  23:00:00,4978866.091679743,5298681.780411553,9079993.535111006 
 01/03  24:00:00,5172720.374497342,5532324.26694822,9604707.499167088 
 01/04  01:00:00,5461531.192372984,5847069.158104217,10101433.559221378 
 01/04  02:00:00,5687554.360408438,6079900.389327075,10356963.847580396 
 01/04  03:00:00,5860592.630861008,6225126.510642667,10211407.576646598 
 01/04  04:00:00,5962651.219297749,6299912.660824747,10055100.122208107 
 01/04  05:00:00,6048503.462495686,6389074.980016254,10170503.871007299 
 01/04  06:00:00,6161509.203482981,6514908.912387993,10315701.484220954 
 01/04  07:00:00,6269797.400731574,6635109.057563447,10458148.309466029 
 01/04  08:00:00,6293977.726260903,6662638.666287389,10481106.87894915 
 01/04  09:00:00,6304419.689511564,6672949.330386466,10471773.302556854 
 01/04  10:00:00,6264157.9147712,6608414.775126018,10328160.49068656 
 01/04  11:00:00,5850458.496270516,6084532.986471262,9455402.428340387 
 01/04  12:00:00,5218910.724561492,5288858.104876036,8066135.467375007 
 01/04  13:00:00,4480062.688570362,4335947.811832821,6271668.659584871 
 01/04  14:00:00,3937725.5458891443,3634167.699966948,5331033.132874494 
 01/04  15:00:00,3614747.4993504444,3259779.2280072044,4878019.691732442 
 01/04  16:00:00,3471218.4419552814,3224073.8446849934,4565301.698608314 
 01/04  17:00:00,3550968.9364191466,3467875.9171794225,5009096.752025516 
 01/04  18:00:00,3883281.9324097782,3937507.2184918295,6252178.12368565 
 01/04  19:00:00,4062255.424506863,4142993.804299081,6567357.421287001 
 01/04  20:00:00,4183444.664520921,4284505.0982831465,6780052.038998008 
 01/04  21:00:00,4162553.2707373225,4272004.385408382,6784077.153135426 
 01/04  22:00:00,4164317.7419754015,4278569.688869102,6829740.99809649 
 01/04  23:00:00,4141696.7627990707,4262833.583088528,6816029.668782921 
 01/04  24:00:00,4086082.8466551625,4207112.596817566,6732630.918233037 
 01/05  01:00:00,4164447.198768543,4292497.014574687,6881550.690733926 
 01/05  02:00:00,4193883.910588336,4327227.671446791,6962569.2473544665 
 01/05  03:00:00,4162796.418407609,4294688.808103147,6937214.202697595 
 01/05  04:00:00,4172901.5533281188,4305614.927743457,6975700.504701496 
 01/05  05:00:00,4172245.640940988,4307206.01385643,6979241.768201867 
 01/05  06:00:00,4159507.5314633045,4294849.632037994,6959068.989174615 
 01/05  07:00:00,4156941.763537515,4292050.854859555,6958798.420789676 
 01/05  08:00:00,4166969.494733797,4300614.857526361,6980894.992231953 
 01/05  09:00:00,4128491.457415624,4259414.030908635,6914647.704467766 
 01/05  10:00:00,4036198.055674218,4154129.4433531333,6748558.428201241 
 01/05  11:00:00,3869590.5446025054,3948587.991463312,6425058.124827019 
 01/05  12:00:00,3560122.5899861897,3580311.170448778,5860250.460363034 
 01/05  13:00:00,3299944.720343462,3287601.6644390156,5394556.140077105 
 01/05  14:00:00,2983131.918449178,2909063.537264989,4796217.701666557 
 01/05  15:00:00,2749984.6239315434,2657354.3102469416,4501081.3715157565 
 01/05  16:00:00,2650758.2532351594,2580789.4741560086,4527693.5687808385 
 01/05  17:00:00,2628186.0124786305,2583988.125269469,4559215.617521547 
 01/05  18:00:00,2974888.8597144787,3022305.8167243283,5325577.684562424 
 01/05  19:00:00,3204199.269936879,3281156.6569114677,5743800.073636011 
 01/05  20:00:00,3340114.4275769936,3440531.228288944,6034556.13770596 
 01/05  21:00:00,3448703.068791368,3564724.661527405,6228550.56933537 
 01/05  22:00:00,3483673.560020536,3600006.3110618684,6219307.845594695 
 01/05  23:00:00,3486419.7818117603,3592726.9539867225,6114711.795746493 
 01/05  24:00:00,3495790.4572073277,3583336.2835530336,5935018.544523429 
 01/06  01:00:00,3516435.294734819,3592562.6075972724,5842734.614775254 
 01/06  02:00:00,3574708.3526025703,3654276.338159276,5918849.003627344 
 01/06  03:00:00,3647355.552654871,3732695.4921295047,6027188.887340617 
 01/06  04:00:00,3680850.4440370104,3782120.12077625,6194561.640106917 
 01/06  05:00:00,3691342.856992347,3793578.847780235,6200870.870201634 
 01/06  06:00:00,3716611.5143993367,3809500.232902075,6148650.765923348 
 01/06  07:00:00,3698630.7877367293,3790321.9890015135,6129666.33539268 
 01/06  08:00:00,3699091.5737494742,3787893.7543486953,6139495.670823804 
 01/06  09:00:00,3693280.7548358375,3781400.027001158,6128975.34863328 
 01/06  10:00:00,3645269.487918536,3714745.1223792257,6020053.7940544505 
 01/06  11:00:00,3447507.2270447128,3442623.981149027,5591391.920475584 
 01/06  12:00:00,3133532.83196361,3020975.6267881286,4917107.055008285 
 01/06  13:00:00,2896109.7163655763,2694725.9112544456,4342754.474578752 
 01/06  14:00:00,2722113.88032071,2426786.9887048216,3871237.958390748 
 01/06  15:00:00,2660583.6473577665,2328501.9342719964,3731502.6119462196 
 01/06  16:00:00,2771832.5165951233,2528503.359690318,3977864.0739776636 
 01/06  17:00:00,3005434.137476876,2880751.255214512,4600468.73481936 
 01/06  18:00:00,3347245.29030026,3336640.683328646,5452390.993116136 
 01/06  19:00:00,3560795.9956327723,3592990.8765561916,5953963.547799414 
 01/06  20:00:00,3844816.5702650365,3924255.366581731,6529446.984538686 
 01/06  21:00:00,4058405.9426753214,4168642.742709863,6884972.336900281 
 01/06  22:00:00,4207214.411974765,4361178.055533492,7350754.358046678 
 01/06  23:00:00,4393205.917612152,4589811.076312687,7819975.039214989 
 01/06  24:00:00,4460007.228554498,4683215.733545587,7991270.6699068835 
 01/07  01:00:00,4301348.32703621,4537960.751630066,7853433.542917559 
 01/07  02:00:00,4283744.462865818,4528042.119758993,7866155.2808972625 
 01/07  03:00:00,4338806.748644535,4596538.595852182,7970940.691043757 
 01/07  04:00:00,4337543.38400553,4599886.4497297825,7933779.425366193 
 01/07  05:00:00,4383118.03438754,4646169.669716425,7909564.395951775 
 01/07  06:00:00,4444230.9286061395,4711751.804288763,7954961.672404218 
 01/07  07:00:00,4432940.627165589,4697623.338973358,7860608.3067159075 
 01/07  08:00:00,4373954.420279801,4623700.861695404,7649597.204910142 
 01/07  09:00:00,4384569.3216004865,4621866.252119977,7544894.655267685 
 01/07  10:00:00,4263068.559632133,4468347.1341046095,7237308.955056362 
 01/07  11:00:00,3737215.7940396476,3850422.2598826145,6057532.987606941 
 01/07  12:00:00,3059141.960394715,3018041.421541881,4238327.3117611725 
 01/07  13:00:00,2520437.1179353516,2299458.375630222,2953976.461694599 
 01/07  14:00:00,2162891.7857946623,1678818.339289744,1996827.2897114444 
 01/07  15:00:00,1994527.3041097047,1406992.7078610638,1737991.1302724667 
 01/07  16:00:00,2062901.947435489,1730747.7673767433,2097151.503439139 
 01/07  17:00:00,2301386.8056687424,2131141.6426843647,3110060.609906168 
 01/07  18:00:00,2714868.8691721885,2626987.031846001,4220947.575541521 
 01/07  19:00:00,2904666.207408236,2851690.603341406,4621535.038893405 
 01/07  20:00:00,3000873.84654482,2957234.9239613377,4711440.1828367915 
 01/07  21:00:00,2958504.706132907,2926848.3677308843,4735427.242196987 
 01/07  22:00:00,2886201.643960258,2876086.2886110065,4806643.796051464 
 01/07  23:00:00,2880622.5314831887,2876897.3817143226,4826013.7512322925 
 01/07  24:00:00,2948334.9754310953,2945687.837849265,4856556.201104799 
 01/08  01:00:00,2939739.829438146,2923280.860562984,4695753.885170992 
 01/08  02:00:00,2912820.204946094,2887998.8825877914,4595603.698941616 
 01/08  03:00:00,2912962.252033149,2890161.7665553717,4595076.345731261 
 01/08  04:00:00,2911742.413952845,2888957.961322531,4590746.898173304 
 01/08  05:00:00,2942818.0693209367,2922320.716173966,4631472.15098084 
 01/08  06:00:00,3021618.4891116107,3014931.0824930626,4811783.082468461 
 01/08  07:00:00,3119359.673583009,3122116.549277791,4959108.800467899 
 01/08  08:00:00,3164096.0142360977,3166422.339981014,4979228.486437101 
 01/08  09:00:00,3390388.9506130638,3389633.8742973953,5204203.6272312505 
 01/08  10:00:00,3584550.0273351725,3578437.1307236673,5401069.454816584 
 01/08  11:00:00,3091990.5509405313,3055535.0685745534,4815358.151066406 
 01/08  12:00:00,2707509.605176169,2584553.129877012,4094046.842986788 
 01/08  13:00:00,2459276.951762239,2290667.700643848,3679690.4090613336 
 01/08  14:00:00,2308496.7141983355,2072821.6489651585,3292441.2574789864 
 01/08  15:00:00,2167557.7868100614,1838089.5351598258,2868057.357928831 
 01/08  16:00:00,2361128.259306083,2167454.827637893,3484788.8217978654 
 01/08  17:00:00,2453870.539712212,2306437.499148339,3617472.161352365 
 01/08  18:00:00,2686743.3341864836,2616164.544674238,4268687.837109958 
 01/08  19:00:00,2751259.598264568,2691190.121939112,4362613.023074562 
 01/08  20:00:00,2863172.389646674,2808276.6927517946,4468064.674792215 
 01/08  21:00:00,3011854.5173034756,2973559.568332743,4699583.998768092 
 01/08  22:00:00,3125426.992214693,3116355.3489754777,5008858.426112193 
 01/08  23:00:00,3210078.53353127,3227453.242010018,5266081.536012219 
 01/08  24:00:00,3319277.491161962,3352103.665527099,5447545.34220561 
 01/09  01:00:00,3397773.2122973856,3462700.1690896135,5748197.872619056 
 01/09  02:00:00,3486687.229448936,3598954.4954710416,6208698.618597002 
 01/09  03:00:00,3816862.9273879784,3976317.0594610698,6884504.562734044 
 01/09  04:00:00,4165023.6922005247,4366411.156872436,7508922.918822931 
 01/09  05:00:00,4444365.31223837,4701239.296557375,8208721.8631663965 
 01/09  06:00:00,4811353.40689864,5127646.88167467,9032676.739393841 
 01/09  07:00:00,5112414.382433348,5471959.606728217,9621671.681080362 
 01/09  08:00:00,5258533.725898706,5630320.376206596,9772400.569448784 
 01/09  09:00:00,5343331.977472005,5695469.877353432,9535435.704593373 
 01/09  10:00:00,5251044.190119989,5548877.038171953,8991921.637731297 
 01/09  11:00:00,4724072.29128525,4910931.427938636,7869622.712672956 
 01/09  12:00:00,4036368.789637491,4069571.9219125747,6262691.28555688 
 01/09  13:00:00,3505828.1149301906,3351629.3076816755,4880474.621389452 
 01/09  14:00:00,3318665.464095565,3063542.013000594,4652207.064403769 
 01/09  15:00:00,3761208.168828898,3505163.9758586483,5289738.552609177 
 01/09  16:00:00,5703304.624451775,5808538.732824478,8399208.347873978 
 01/09  17:00:00,4355564.683510978,4461299.845466548,6747343.685692554 
 01/09  18:00:00,4584922.224705761,4799647.04903564,7881551.884315291 
 01/09  19:00:00,4724541.281087111,4977971.612965165,8288237.130312107 
 01/09  20:00:00,4878584.145772627,5155602.813177428,8570578.807202019 
 01/09  21:00:00,5024115.929484984,5324836.8115399545,8856992.46043829 
 01/09  22:00:00,5042581.884484865,5352430.210482482,8913243.599818869 
 01/09  23:00:00,5068550.161677935,5374583.109339634,8821152.273014346 
 01/09  24:00:00,5199649.446037782,5519344.857468477,8953568.823367229 
 01/10  01:00:00,5320124.344094569,5650940.948492765,9066602.795228485 
 01/10  02:00:00,5405770.634366552,5744196.4700712,9158850.794649249 
 01/10  03:00:00,5439075.293661781,5781235.839546008,9181889.099165121 
 01/10  04:00:00,5517915.004512024,5857804.547424766,9238950.977641942 
 01/10  05:00:00,5615170.017412064,5962625.174991932,9398418.860774688 
 01/10  06:00:00,5716321.139798341,6090799.591595912,9735233.646407269 
 01/10  07:00:00,5919395.868389728,6320976.841019882,10215877.34758124 
 01/10  08:00:00,5913161.528795428,6289235.020642132,10026647.744083388 
 01/10  09:00:00,6138818.543350345,6503001.896154283,10223183.810266852 
 01/10  10:00:00,6304727.787053802,6670718.946471149,10636042.24618443 
 01/10  11:00:00,5581516.612851289,5815605.686597274,9405467.681991722 
 01/10  12:00:00,4658306.911046001,4707570.325895056,7360661.830401151 
 01/10  13:00:00,3970885.2717282223,3751501.7366106007,5215538.3648823695 
 01/10  14:00:00,3609663.576253915,3016643.782816272,3857945.9241473256 
 01/10  15:00:00,3546866.6254940936,2915242.1172916903,4197018.347650545 
 01/10  16:00:00,3736726.696527487,3561718.794089673,5567392.217211193 
 01/10  17:00:00,4000903.61382972,4020056.5747649493,6456596.027212674 
 01/10  18:00:00,4317841.789086373,4422058.985678679,7076041.421021816 
 01/10  19:00:00,4454430.370807352,4576803.450178115,7234815.18062191 
 01/10  20:00:00,4587029.506514755,4734236.439062527,7461087.267413657 
 01/10  21:00:00,4675099.64999135,4842095.148386076,7612144.582189373 
 01/10  22:00:00,4772833.348646032,4957718.655359654,7767477.096158596 
 01/10  23:00:00,4859599.101441021,5060223.630427617,7905204.120166664 
 01/10  24:00:00,4833848.893352383,5041779.390361368,7892769.959811765 
 01/11  01:00:00,4996060.429816008,5233340.216140259,8293272.117777425 
 01/11  02:00:00,5183287.894016306,5441806.516654944,8591448.89926129 
 01/11  03:00:00,5304637.102099432,5566578.083102724,8696007.512152705 
 01/11  04:00:00,5291748.404414349,5559480.090272127,8687260.600854415 
 01/11  05:00:00,5229429.043556856,5493213.736250894,8609062.671935454 
 01/11  06:00:00,5437765.994593127,5719876.783504852,8941620.043958597 
 01/11  07:00:00,5537315.292667069,5833615.388109438,9089489.495121758 
 01/11  08:00:00,5558583.5581654105,5858237.872324508,9111429.153572729 
 01/11  09:00:00,5629303.850058845,5948235.459365019,9324392.357635288 
 01/11  10:00:00,5401708.533842738,5693213.383293122,8989751.588706732 
 01/11  11:00:00,4812651.64278472,4982150.205547543,7780431.161634753 
 01/11  12:00:00,4339796.571742337,4406350.83507547,6832361.665562924 
 01/11  13:00:00,4121373.72514867,4146742.1986627495,6505254.428076047 
 01/11  14:00:00,4548426.715274825,4640304.612493783,7114458.55301163 
 01/11  15:00:00,5000273.456699442,5114990.500280259,7582974.342691377 
 01/11  16:00:00,4061990.8714761613,4058514.058090534,6340205.94447564 
 01/11  17:00:00,3926267.386028224,3938471.5330379815,6043242.720164762 
 01/11  18:00:00,4272563.345611122,4402930.041118434,6992801.42694382 
 01/11  19:00:00,4508077.110264175,4720561.163626628,7894065.463872317 
 01/11  20:00:00,4802934.248489798,5097747.535160561,8882308.2485398 
 01/11  21:00:00,5094974.063949509,5434303.864725992,9485164.12497734 
 01/11  22:00:00,5203279.390716966,5557024.859041366,9661352.110685976 
 01/11  23:00:00,5355411.854911249,5723736.214561138,9902482.732747314 
 01/11  24:00:00,5766806.906609474,6141171.427278187,10229141.696992468 
 01/12  01:00:00,6121935.952908473,6524520.352863092,10707624.21069902 
 01/12  02:00:00,6175662.4917573435,6623088.643799287,11083704.949673403 
 01/12  03:00:00,6386919.972616305,6872931.76674905,11560645.662782164 
 01/12  04:00:00,6596774.445206883,7093213.327708853,11753694.460239641 
 01/12  05:00:00,6637994.873012984,7098076.803650232,11369265.015652852 
 01/12  06:00:00,6603546.600459435,7037566.89209962,11042672.741938472 
 01/12  07:00:00,6645631.895524326,7119697.080990428,11413269.928482376 
 01/12  08:00:00,6682912.735937669,7189500.713813386,11625194.0352626 
 01/12  09:00:00,6549629.510560403,7013946.388826491,11053048.247024648 
 01/12  10:00:00,6286382.645092816,6691191.319624867,10337319.055880737 
 01/12  11:00:00,5716497.520462164,6036945.329622782,9430189.29069444 
 01/12  12:00:00,4819021.64811715,4977297.970141154,7744137.878028812 
 01/12  13:00:00,4084314.002272522,4108715.86195306,6305234.579215338 
 01/12  14:00:00,3634440.2935970677,3579842.6247970285,5517713.14313318 
 01/12  15:00:00,3443930.1231198637,3385013.0277700787,5277094.33023956 
 01/12  16:00:00,3323291.4382033194,3254507.4635921456,4988027.011502793 
 01/12  17:00:00,3475928.69115456,3474010.8245166065,5272043.333732723 
 01/12  18:00:00,3850922.603167928,3947157.4598150626,6244154.038990153 
 01/12  19:00:00,4084892.6686243354,4208669.895889186,6661947.189028306 
 01/12  20:00:00,4237558.330191714,4379506.914596081,6927929.707973126 
 01/12  21:00:00,4356518.025323261,4513936.95359903,7129254.126588358 
 01/12  22:00:00,4501447.075251551,4676151.552882966,7379018.820059618 
 01/12  23:00:00,4612362.623055126,4801508.654142093,7577702.121111788 
 01/12  24:00:00,4725508.049945301,4927200.384733187,7739150.659499116 
 01/13  01:00:00,4790275.553321298,5001232.848651278,7811887.919129185 
 01/13  02:00:00,4817440.897812576,5033944.285671781,7855635.1039603185 
 01/13  03:00:00,4823394.396156419,5044781.439633817,7859598.6183574265 
 01/13  04:00:00,4777901.25221575,4998103.529357272,7780010.965820123 
 01/13  05:00:00,4720411.419827982,4937019.209000706,7683791.266145624 
 01/13  06:00:00,4980736.9815058,5181885.142772603,7850219.765124213 
 01/13  07:00:00,5064032.822381281,5261567.797313349,7887824.049126992 
 01/13  08:00:00,4742147.407252912,4952416.828390324,7580961.245956396 
 01/13  09:00:00,4628643.281460756,4828623.6739714425,7401236.233915115 
 01/13  10:00:00,4553084.564796193,4737955.731439155,7272803.041665593 
 01/13  11:00:00,4388722.446194928,4531642.91234094,6969755.31631695 
 01/13  12:00:00,3998680.66312195,4067022.492700164,6367236.381251228 
 01/13  13:00:00,3276644.1365714753,3148262.3837516564,4848774.827515843 
 01/13  14:00:00,2594761.4166037426,2145733.316251827,3245897.62559067 
 01/13  15:00:00,2420128.238446183,1971987.1292822042,3367733.031397837 
 01/13  16:00:00,2480725.5535569377,2167203.149822724,3118837.6559519726 
 01/13  17:00:00,2681853.102285679,2525344.9762053825,3626960.3469844405 
 01/13  18:00:00,3369883.59188649,3389560.92915284,5842029.192345247 
 01/13  19:00:00,3859541.7315633288,3964477.0067833248,6892483.601220506 
 01/13  20:00:00,4127286.080285549,4232433.669493451,6985786.773192914 
 01/13  21:00:00,4365270.948713943,4509048.097492895,7403461.355984068 
 01/13  22:00:00,4629169.375833742,4840980.373042962,8163944.732737357 
 01/13  23:00:00,4801547.95946411,5042578.661260525,8510472.601358365 
 01/13  24:00:00,4874204.958852524,5121726.267649215,8573791.068919528 
