group,u_roof,r_val,thickness_m,Fo,n,pass_rate
"nyc_rural SmallOffice (real, 150/150 FATAL)",0.119,8.403361,1.008403,0.0001327594701442699,150,0/150
bisection FATAL-side boundary (u=0.137813),0.137813,7.25621,0.870745,0.00017805402265292785,1,0/1 (FATAL)
bisection PASS-side boundary (u=0.138125),0.138125,7.239819,0.868778,0.000178861199498881,1,1/1 (PASS)
"other 3 NYC cells SmallOffice (real, 2031/2031 PASS per I04)",0.19,5.263158,0.631579,0.0003384374435937571,2031,2031/2031
"LA/Austin cells SmallOffice (real, control sample subset, 4/4 PASS)",0.245,4.081633,0.489796,0.0005627341874219218,4,4/4
