run_tag,u_roof_w_m2k,r_val,thickness_m,sim_status,elapsed_s,has_ctf_fatal,end_text,err_path,end_path
bisect_00_u0.135,0.135,7.4074074074074066,0.8888888888888887,exit_1,0.26214020047336817,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_00_u0.135\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_00_u0.135\eplusout.end
bisect_01_u0.1375,0.1375,7.2727272727272725,0.8727272727272727,exit_1,0.2719384003430605,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_01_u0.1375\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_01_u0.1375\eplusout.end
bisect_02_u0.13875,0.13875,7.207207207207206,0.8648648648648647,exit_0,5.873223500326276,False,EnergyPlus Completed Successfully-- 173111 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  5.70sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_02_u0.13875\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_02_u0.13875\eplusout.end
bisect_03_u0.138125,0.138125,7.239819004524887,0.8687782805429864,exit_0,5.863997799344361,False,EnergyPlus Completed Successfully-- 173201 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  5.69sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_03_u0.138125\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_03_u0.138125\eplusout.end
bisect_04_u0.137813,0.137813,7.256209501280721,0.8707451401536865,exit_1,0.26567790005356073,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_04_u0.137813\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\bisect_04_u0.137813\eplusout.end
