building_id,district,group,k,storeys,area_m2,spread,verdict,checks_failing,in_ceiling82_population,affected
way/100704656,ES-MAD-BERRUGUETE,RECTANGLE,3,4,313,0.5,PASS,,True,False
way/100704677,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,2,7,222,0.9952,PASS,,True,False
way/100704682,ES-MAD-BERRUGUETE,RECTANGLE,3,3,688,0.5,PASS,,True,False
way/100704705,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,12,4,1450,0.9998,PASS,,True,False
way/100704723,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,8,4,307,0.9999,PASS,,True,False
way/100704738,ES-MAD-BERRUGUETE,L_SHAPE,3,4,171,1.0,PASS,,True,False
way/100704741,ES-MAD-BERRUGUETE,SQUARE,3,3,363,0.9998,PASS,,True,False
way/133979799,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,6,306,0.9753,PASS,,True,False
way/198082036,ES-MAD-BERRUGUETE,SLAB,3,5,206,0.9999,PASS,,True,False
way/198082054,ES-MAD-BERRUGUETE,SQUARE,5,7,484,0.6667,PASS,,True,False
way/198082056,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,2,283,0.9412,PASS,,True,False
way/232618736,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,3,7,331,0.9694,PASS,,True,False
way/277649994,ES-MAD-BERRUGUETE,RECTANGLE,5,4,189,0.9997,PASS,,True,False
way/277649996,ES-MAD-BERRUGUETE,RECTANGLE,4,4,186,0.9998,PASS,,True,False
way/286376566,ES-MAD-BERRUGUETE,SQUARE,3,3,95,0.5,PASS,,True,False
way/286376568,ES-MAD-BERRUGUETE,SQUARE,2,4,103,0.8043,PASS,,True,False
way/286376571,ES-MAD-BERRUGUETE,SQUARE,2,3,102,0.9998,PASS,,True,False
way/286376574,ES-MAD-BERRUGUETE,RECTANGLE,2,4,129,1.0,PASS,,True,False
way/286417117,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,11,3,529,0.6615,PASS,,True,False
way/286564856,ES-MAD-BERRUGUETE,L_SHAPE,2,2,91,0.9998,PASS,,True,False
way/286685213,ES-MAD-BERRUGUETE,SQUARE,2,3,120,0.9999,PASS,,True,False
way/286685214,ES-MAD-BERRUGUETE,L_SHAPE,2,2,91,0.4332,PASS,,True,True
way/286685217,ES-MAD-BERRUGUETE,RECTANGLE,2,4,139,1.0,PASS,,True,False
way/286685222,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,6,4,491,0.3772,PASS,,True,True
way/286754290,ES-MAD-BERRUGUETE,SLIVER,2,4,95,0.4378,PASS,,True,True
way/287225519,ES-MAD-BERRUGUETE,L_SHAPE,4,4,403,0.9999,PASS,,True,False
way/287225524,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,2,2,106,0.6411,PASS,,True,False
way/287356953,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,12,4,1058,0.9997,PASS,,True,False
way/287496586,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,3,4,178,0.476,PASS,,True,True
way/287696580,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,2,3,136,0.4135,PASS,,True,True
way/287696581,ES-MAD-BERRUGUETE,TRAPEZOID,2,4,98,1.0,PASS,,True,False
way/287696583,ES-MAD-BERRUGUETE,CORRIDOR_RECTANGLE,2,4,356,0.9999,PASS,,True,False
way/287696584,ES-MAD-BERRUGUETE,L_SHAPE,3,4,152,0.5001,PASS,,True,False
way/287938551,ES-MAD-BERRUGUETE,SLIVER,2,3,85,0.9999,PASS,,True,False
way/287938553,ES-MAD-BERRUGUETE,SQUARE,2,4,76,0.9999,PASS,,True,False
way/287938556,ES-MAD-BERRUGUETE,SLIVER,2,3,81,1.0,PASS,,True,False
way/287939446,ES-MAD-BERRUGUETE,CORRIDOR_RECTANGLE,4,3,176,0.9384,PASS,,True,False
way/287939447,ES-MAD-BERRUGUETE,SQUARE,2,5,122,1.0,PASS,,True,False
way/287939448,ES-MAD-BERRUGUETE,SQUARE,3,3,148,0.9998,PASS,,True,False
way/287943062,ES-MAD-BERRUGUETE,L_SHAPE,3,3,185,0.5,PASS,,True,False
way/287943064,ES-MAD-BERRUGUETE,L_SHAPE,3,3,183,0.9999,PASS,,True,False
way/287943067,ES-MAD-BERRUGUETE,L_SHAPE,2,3,277,1.0,PASS,,True,False
way/288276173,ES-MAD-BERRUGUETE,SQUARE,3,4,444,0.9999,PASS,,True,False
way/288276174,ES-MAD-BERRUGUETE,TRAPEZOID,5,4,478,0.9999,PASS,,True,False
way/288461982,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,3,5,309,0.6297,PASS,,True,False
way/288461983,ES-MAD-BERRUGUETE,SQUARE,2,4,158,0.9999,PASS,,True,False
way/288461989,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,3,3,265,0.8051,PASS,,True,False
way/288461992,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,2,143,0.5296,PASS,,True,False
way/288600850,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,5,3,207,0.6303,PASS,,True,False
way/288600852,ES-MAD-BERRUGUETE,CORRIDOR_RECTANGLE,2,3,199,1.0,PASS,,True,False
way/288600854,ES-MAD-BERRUGUETE,SQUARE,5,3,315,0.6667,PASS,,True,False
way/289364388,ES-MAD-BERRUGUETE,RECTANGLE,3,3,190,1.0,PASS,,True,False
way/289387273,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,5,3,382,0.6287,PASS,,True,False
way/289387274,ES-MAD-BERRUGUETE,RECTANGLE,5,3,309,0.6667,PASS,,True,False
way/289387277,ES-MAD-BERRUGUETE,L_SHAPE,3,5,341,0.1486,PASS,,True,True
way/289387278,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,3,5,299,0.5,PASS,,True,False
way/289387279,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,5,3,278,0.5,PASS,,True,False
way/289387281,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,4,3,208,0.9998,PASS,,True,False
way/289434335,ES-MAD-BERRUGUETE,TRAPEZOID,2,2,148,1.0,PASS,,True,False
way/289434339,ES-MAD-BERRUGUETE,CORRIDOR_RECTANGLE,2,3,189,0.2786,PASS,,True,True
way/289510893,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,3,3,198,0.5,PASS,,True,False
way/289510900,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,2,4,269,0.1381,PASS,,True,True
way/289692619,ES-MAD-BERRUGUETE,SQUARE,5,3,72,0.6665,PASS,,True,False
way/289692620,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,3,5,181,1.0,PASS,,True,False
way/289692621,ES-MAD-BERRUGUETE,SQUARE,2,4,114,0.9997,PASS,,True,False
way/289692623,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,6,3,491,0.9855,PASS,,True,False
way/289779214,ES-MAD-BERRUGUETE,TRIANGLE,3,5,381,0.9999,PASS,,True,False
way/289979825,ES-MAD-BERRUGUETE,RECTANGLE,2,4,96,0.9998,PASS,,True,False
way/289979828,ES-MAD-BERRUGUETE,SLIVER,2,4,78,0.5316,PASS,,True,False
way/290026253,ES-MAD-BERRUGUETE,SLIVER,4,3,161,0.4616,PASS,,True,True
way/290026256,ES-MAD-BERRUGUETE,L_SHAPE,8,4,637,0.3081,PASS,,True,True
way/290026258,ES-MAD-BERRUGUETE,SLIVER,2,2,159,1.0,FAIL,C11,True,False
way/290653348,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,5,3,258,0.4999,FAIL,C10,True,True
way/290653350,ES-MAD-BERRUGUETE,RECTANGLE,2,3,114,0.4314,PASS,,True,True
way/290653352,ES-MAD-BERRUGUETE,RECTANGLE,3,4,178,0.9999,PASS,,True,False
way/290662259,ES-MAD-BERRUGUETE,SQUARE,2,5,299,1.0,PASS,,True,False
way/290663060,ES-MAD-BERRUGUETE,TRAPEZOID,2,3,223,1.0,PASS,,True,False
way/290663061,ES-MAD-BERRUGUETE,TRIANGLE,8,3,101,0.6666,PASS,,True,False
way/290820839,ES-MAD-BERRUGUETE,RECTANGLE,2,4,173,0.3497,PASS,,True,True
way/290820844,ES-MAD-BERRUGUETE,L_SHAPE,2,4,167,0.9999,PASS,,True,False
way/290820846,ES-MAD-BERRUGUETE,U_OR_T_SHAPE,2,5,98,0.9999,PASS,,True,False
way/290820851,ES-MAD-BERRUGUETE,L_SHAPE,3,6,314,0.4732,PASS,,True,True
way/291149503,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,9,3,531,0.4723,PASS,,True,True
way/291155593,ES-MAD-BERRUGUETE,L_SHAPE,5,4,246,0.5,PASS,,True,False
way/291155594,ES-MAD-BERRUGUETE,TRAPEZOID,4,5,272,0.9998,PASS,,True,False
way/291278667,ES-MAD-BERRUGUETE,CORRIDOR_RECTANGLE,2,4,155,1.0,PASS,,True,False
way/291278668,ES-MAD-BERRUGUETE,CORRIDOR_RECTANGLE,2,4,190,1.0,PASS,,True,False
way/291278672,ES-MAD-BERRUGUETE,SQUARE,2,4,121,0.9999,PASS,,True,False
way/291278674,ES-MAD-BERRUGUETE,SLIVER,2,3,87,1.0,PASS,,True,False
way/291278675,ES-MAD-BERRUGUETE,TRIANGLE,3,5,274,0.9999,PASS,,True,False
way/291892249,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,8,2,399,0.4048,PASS,,True,True
way/291892252,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,2,4,148,0.9999,PASS,,True,False
way/291892387,ES-MAD-BERRUGUETE,L_SHAPE,2,7,318,0.9999,PASS,,True,False
way/292149912,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,3,210,0.3731,PASS,,True,True
way/292149915,ES-MAD-BERRUGUETE,SLIVER,2,3,60,0.8408,PASS,,True,False
way/293591506,ES-MAD-BERRUGUETE,SQUARE,3,4,181,0.9999,PASS,,True,False
way/293591511,ES-MAD-BERRUGUETE,L_SHAPE,4,7,602,1.0,PASS,,True,False
way/293596159,ES-MAD-BERRUGUETE,L_SHAPE,4,7,439,0.5,PASS,,True,False
way/298875931,ES-MAD-BERRUGUETE,SQUARE,2,4,127,1.0,PASS,,True,False
way/310738147,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,7,430,0.9667,PASS,,True,False
way/310738149,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,7,435,0.9968,PASS,,True,False
way/310738150,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,6,4,233,0.5748,PASS,,True,False
way/310738151,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,7,432,0.9999,PASS,,True,False
way/310738152,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,6,435,0.998,PASS,,True,False
way/310738153,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,6,433,0.9727,PASS,,True,False
way/310738154,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,6,434,0.9785,PASS,,True,False
way/310738155,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,3,6,251,0.5,PASS,,True,False
way/310738157,ES-MAD-BERRUGUETE,TRAPEZOID,2,5,180,1.0,PASS,,True,False
way/310738158,ES-MAD-BERRUGUETE,RECTANGLE,2,6,166,1.0,PASS,,True,False
way/310738159,ES-MAD-BERRUGUETE,TRAPEZOID,3,3,253,0.5,PASS,,True,False
way/310738160,ES-MAD-BERRUGUETE,RECTANGLE,2,4,195,0.2746,PASS,,True,True
way/310771769,ES-MAD-BERRUGUETE,L_SHAPE,4,7,370,0.9999,PASS,,True,False
way/310771771,ES-MAD-BERRUGUETE,RECTANGLE,2,4,474,0.9999,PASS,,True,False
way/310771773,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,2,7,850,1.0,PASS,,True,False
way/310771778,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,3,6,289,0.9999,PASS,,True,False
way/310771781,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,2,7,279,0.9999,PASS,,True,False
way/310771784,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,3,3,163,0.6883,PASS,,True,False
way/310771790,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,5,272,0.623,PASS,,True,False
way/310771792,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,8,409,0.9193,PASS,,True,False
way/310771803,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,4,5,205,0.3407,PASS,,True,True
way/310771805,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,5,5,254,0.4635,PASS,,True,True
way/310771813,ES-MAD-BERRUGUETE,SQUARE,2,5,204,1.0,PASS,,True,False
way/310771818,ES-MAD-BERRUGUETE,SQUARE,2,6,201,0.9999,PASS,,True,False
way/310771820,ES-MAD-BERRUGUETE,SQUARE,3,4,141,0.5,PASS,,True,False
way/310774080,ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,3,5,318,0.7294,PASS,,True,False
