osm_id,idf_path,work_dir,sql_path,status,n_warnings,n_severe,wall_clock_s,ep_version,epw_path,error_summary,csv_path
way/334332606,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\step3\idfs\way_334332606.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\sim_out\way_334332606,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\sim_out\way_334332606\eplusout.sql,failed,16,1,0.0,23.1.0,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\weather\weather\USA_NY_Hudson.River.Reserve.997991_TMYx.2011-2025.epw,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 1226156.75 C for zone=""WAY/334332606_F0_WHOLE"", for surface=""BLOCK WAY/334332606_WHOLE STOREY 0 WALL 0001""",
way/801981473,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\step3\idfs\way_801981473.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\sim_out\way_801981473,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\sim_out\way_801981473\eplusout.sql,failed,232,689,0.0,23.1.0,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\weather\weather\USA_NY_Hudson.River.Reserve.997991_TMYx.2011-2025.epw,"** Severe  ** Temperature (high) out of bounds (214.47] for zone=""WAY/801981473_F0_WHOLE"", for surface=""BLOCK WAY/801981473_WHOLE STOREY 0 ROOF 0001""",
way/1103897842,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\step3\idfs\way_1103897842.idf,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\sim_out\way_1103897842,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\sim_out\way_1103897842\eplusout.sql,failed,16,1,0.0,23.1.0,C:\Users\o_iseri\AppData\Local\Temp\ubem_validation\open48_refleet3\nyc_rural\weather\weather\USA_NY_Hudson.River.Reserve.997991_TMYx.2011-2025.epw,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of 1312031.63 C for zone=""WAY/1103897842_F0_WHOLE"", for surface=""BLOCK WAY/1103897842_WHOLE STOREY 0 WALL 0001""",
