Date/Time,BATIMENT0000000240880162_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880162_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880162_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880162_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/01  01:00:00,1138752.4732497053,1225870.0476482376,1142686.0980085856,1180187.1685342707 
 01/01  02:00:00,1328703.9774852942,1404729.145084628,1333381.667956449,1352566.2131747038 
 01/01  03:00:00,1428763.754671785,1494453.4335463003,1433849.158437665,1439042.0433873395 
 01/01  04:00:00,1504553.6001175016,1561358.2015131055,1509950.6773637994,1503525.215224266 
 01/01  05:00:00,1556674.9597924496,1605553.0368600655,1562294.8930038018,1546082.5264925277 
 01/01  06:00:00,1625012.3251379635,1667198.1816007034,1630914.9894654446,1605419.843495376 
 01/01  07:00:00,1667472.3122079382,1703986.65377062,1673553.5411833995,1640845.9252533005 
 01/01  08:00:00,1717983.8793273512,1749259.0249240906,1724275.611729934,1684393.0879821302 
 01/01  09:00:00,1793389.7932212716,1820600.792200346,1799987.5158432722,1753006.206407761 
 01/01  10:00:00,1736513.3952338614,1740299.3149659133,1743003.1217055963,1675258.3579920384 
 01/01  11:00:00,1120498.6820311802,1025331.177932907,1125199.1292946471,987951.8363652498 
 01/01  12:00:00,295216.40256565367,191352.15681522025,297594.60972750204,188559.86693481612 
 01/01  13:00:00,0.0,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,21363.43454350026,0.0,16432.083719047296 
 01/01  18:00:00,286123.40654086473,543000.5189314961,286652.88090840774,522877.1622708107 
 01/01  19:00:00,521941.65089298226,699634.7761212932,523421.7210251652,671489.1216367586 
 01/01  20:00:00,658632.1425460731,820524.1387027596,660642.8331905543,788169.481041794 
 01/01  21:00:00,742262.9815825409,891907.4095572669,744611.7981903539,857246.2474400224 
 01/01  22:00:00,802590.7511381921,935119.0535637888,805190.5804530245,899239.1238208307 
 01/01  23:00:00,894623.7255921676,1010772.7508401956,897588.4546688679,972509.1861543687 
 01/01  24:00:00,953568.4329604649,1054521.4999601697,956778.2640994963,1014942.6672680789 
 01/02  01:00:00,976057.297836005,1062475.0344947334,979383.9604723749,1022764.5730363867 
 01/02  02:00:00,982361.8616972894,1056488.6312223515,985738.1383327085,1017169.2504691369 
 01/02  03:00:00,1023707.6235588561,1086619.66420612,1027268.4140887479,1046286.9735503751 
 01/02  04:00:00,1087914.2863463867,1141917.985104507,1091742.0851888964,1099621.1097648796 
 01/02  05:00:00,1152746.92217744,1198634.5606021292,1156843.48797561,1154301.0092594759 
 01/02  06:00:00,1212666.6853319744,1252222.8833339994,1217004.9646533434,1206008.24698193 
 01/02  07:00:00,1228795.4959373137,1262893.0280203652,1233206.3209636325,1216386.4949465473 
 01/02  08:00:00,1258460.639982587,1287735.553408981,1262998.3753448618,1240348.0500888363 
 01/02  09:00:00,1308826.1380199976,1334224.1276983419,1313568.690657363,1285126.693012261 
 01/02  10:00:00,1273493.5822269437,1293443.8004930653,1278141.877854065,1245608.302107064 
 01/02  11:00:00,960621.1782271521,955758.5519286855,964282.970948071,919990.7642780581 
 01/02  12:00:00,476941.1077634672,449248.47253221925,479166.4813806863,434608.00011918985 
 01/02  13:00:00,155765.4249958745,160680.60227458956,156639.53562793578,153282.77745835003 
 01/02  14:00:00,412306.98684434866,430438.46832716453,413826.8529902529,413125.48223994963 
 01/02  15:00:00,757790.4211329544,770155.8371069772,760588.304171545,741972.8592396897 
 01/02  16:00:00,1064292.8496450991,1073470.7576044793,1068202.722905707,1034741.6876253891 
 01/02  17:00:00,1298500.5969456867,1319146.976532953,1303284.1755111443,1271431.93045815 
 01/02  18:00:00,1686371.6399549146,1696374.615451044,1692474.7613450633,1636234.3782354263 
 01/02  19:00:00,1817966.9886764318,1827140.8812504797,1824595.7366432308,1761758.0098130754 
