Date/Time,BATIMENT0000000240879459_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879459_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,4661486.390065655,3784286.9077352174,3725375.098349328,3981975.3168035126,8473596.030341463 
 01/01  02:00:00,5297131.213834992,4421251.6348410575,4377600.178721672,4658964.814962677,9532380.565160643 
 01/01  03:00:00,5598056.296383977,4724234.728170597,4692129.017381281,4989458.342043572,10020168.122039279 
 01/01  04:00:00,5744371.727179689,4873234.77748244,4851659.226248955,5163694.010162278,10333453.466629531 
 01/01  05:00:00,5848682.779752341,4980275.683114436,4967509.534463563,5291130.229487247,10542859.39215665 
 01/01  06:00:00,6085418.385719639,5220014.596724659,5215778.577890148,5551985.291162783,10926402.117579356 
 01/01  07:00:00,6146583.944823122,5284533.21572076,5287767.421971064,5634435.310313147,11099518.024055008 
 01/01  08:00:00,6267690.937441879,5408960.473184839,5419836.320798038,5777433.682204326,11354757.852000752 
 01/01  09:00:00,6631480.756431929,5776100.401582409,5793138.843383873,6162335.665904211,11912800.304198556 
 01/01  10:00:00,6929284.981761146,6080225.019703713,6094650.444161808,6451784.541883156,12274692.161586965 
 01/01  11:00:00,6043886.390725363,5211220.604144741,5135791.795754823,5324077.411676442,10732511.54736754 
 01/01  12:00:00,4279495.214225652,3452651.3227485004,2945706.0444091884,3103087.254342999,8009239.328978406 
 01/01  13:00:00,2821469.0088233333,1918328.8683853725,1076966.013178532,1277127.3367163115,5777842.467490651 
 01/01  14:00:00,1862787.584985179,964845.5769953434,160327.02759503448,177137.65587774978,4010675.5582641987 
 01/01  15:00:00,1363505.9444890793,524839.2412925226,0.0,0.0,2932198.48034778 
 01/01  16:00:00,1568147.2883728596,729037.7840511386,459569.40355803526,209963.5609735502,3059463.157291981 
 01/01  17:00:00,2137806.206970674,1278922.1109107225,1061938.5853954882,1132540.8392853425,4357314.534967523 
 01/01  18:00:00,2940551.656495681,2062319.2458754987,1879751.5530992565,2006020.9473850643,5784002.402706273 
 01/01  19:00:00,3582372.88036077,2701807.7598665613,2541806.853154951,2692886.2755279616,6632768.1591974925 
 01/01  20:00:00,3969574.0748819057,3087970.466578074,2947532.811073243,3119593.762535864,7159615.529290564 
 01/01  21:00:00,4171327.334904775,3289671.7360176006,3166021.703201614,3354172.9927505427,7393695.065486288 
 01/01  22:00:00,4168323.524840307,3287261.4907164825,3177300.9396871845,3377305.6864198307,7389418.425204966 
 01/01  23:00:00,4137959.566309673,3258420.526144782,3168019.546856691,3386631.9440541617,7500905.378823998 
 01/01  24:00:00,4079654.8688655985,3201807.659207209,3125911.8302436713,3359227.4152882756,7514477.221795686 
 01/02  01:00:00,4101893.6482625348,3224969.44227753,3158450.0973216994,3398167.863832619,7462528.339687528 
 01/02  02:00:00,4084403.223256199,3208755.581595921,3149918.405003691,3393813.6877728975,7341923.406730367 
 01/02  03:00:00,4257704.754880839,3382526.7565997904,3331184.4213079517,3580054.3961854014,7504283.155097691 
 01/02  04:00:00,4654301.8049919745,3779431.826258852,3733995.61234348,3989463.361841563,7939665.246606982 
 01/02  05:00:00,5058889.968970293,4184780.091407255,4144478.32232861,4405284.079585541,8393631.376379546 
 01/02  06:00:00,5315987.079270976,4442887.7407595515,4407936.548143183,4675136.806274506,8733344.444493923 
 01/02  07:00:00,5316616.607633432,4445176.808549496,4414935.249673561,4686464.416593229,8744156.547883784 
 01/02  08:00:00,5430544.264832096,4560947.314991689,4535729.510435529,4811348.927713206,8887061.034182977 
 01/02  09:00:00,5712226.914509517,4844489.32941775,4823215.214276492,5104229.593619291,9260937.69003015 
 01/02  10:00:00,5883196.325642192,5020524.8887881525,4997204.247375496,5277984.045688418,9496736.14492305 
 01/02  11:00:00,5727518.280198576,4876476.626163209,4816487.283211996,5051339.745583156,9214098.152914168 
 01/02  12:00:00,5055167.046316094,4210293.031327388,3971602.131756064,4165830.493266517,8135441.074833733 
 01/02  13:00:00,4377373.32685767,3502307.1319066193,3131141.026989752,3323173.449961478,7090674.546481678 
 01/02  14:00:00,4494991.395845231,3634075.5119144283,3452212.2769486513,3656122.053085684,7512354.783415059 
 01/02  15:00:00,5439098.482982207,4578360.264465228,4460719.108845306,4695781.958861024,8849976.999245334 
 01/02  16:00:00,6419988.153732205,5555466.4244774245,5462886.381041221,5725668.2322179815,10207032.252851661 
 01/02  17:00:00,7183505.376743131,6318073.549924552,6245904.172432467,6531795.4670043085,11310975.8197461 
 01/02  18:00:00,8414662.329542127,7539115.466551722,7473456.536414036,7781471.387322201,13055829.171822324 
 01/02  19:00:00,9304475.191454392,8431059.760610634,8368852.475828771,8683848.25788524,14092821.077775527 
 01/02  20:00:00,9674706.328207247,8806270.991272204,8750453.391049653,9071951.37677933,14538165.093544027 
 01/02  21:00:00,9881538.234460838,9018486.66763261,8968606.420091495,9295431.92069311,14805136.12040998 
 01/02  22:00:00,10474838.261826102,9617756.506945774,9573570.996267922,9906536.233957808,15498672.847190749 
 01/02  23:00:00,11142291.611365052,10290962.641112521,10251783.599682797,10591405.20963389,16303140.824954923 
 01/02  24:00:00,11836515.45095413,10990683.874204848,10956048.563128272,11304922.901384534,17246854.109119885 
 01/03  01:00:00,12551001.90015966,11711541.7441388,11681200.655825365,12041785.221375193,18284602.66687239 
