osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,total_eui_kwh_m2,fans_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/42496314,5958.9613496970205,51.0,178.5,SuperTallBuilding,one_zone_per_floor,no_height,5.54098609657581,10.838217794235957,26.46509966212154,44.06327453374504,86.90757808667834,0.4141009835169185,1.0029184834802216,2.415535276236956,5.898329691896351,9.820470121884822,19.13725357349835,9.623380746230723e-05,success,,-79.48865304009524,-2.7244041117078846e-05
way/42496352,2814.5294135285308,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height",30.089946548015398,9.785069478897173,26.465100598399996,44.063276092609165,110.40339271792172,0.33181367722982574,5.446280325190787,2.1808180049007704,5.898329900566604,9.820470469311989,23.34589869997015,0.0,success,,-79.48869380440023,-2.3305688849352364e-05
way/42500728,1633.0022917991948,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height",36.26259575020767,9.406571451439868,26.465100598399996,44.06327609260917,116.19754389265671,0.3738412083514094,6.563529830787589,2.096461392525306,5.898329900566604,9.82047046931199,24.378791593191487,0.0,success,,-79.48870844146906,-1.933410895866849e-05
way/86121620,4626.279203848195,1.0,3.5,LargeOffice,single_zone,"generic_tag,no_floors,no_function,no_height",20.927004881009484,7.225734202530733,26.4651005984,44.06327609260916,98.68111577454937,0.36598084449205115,3.7877878834627166,1.6104138331864293,5.898329900566604,9.820470469311987,21.117002086527734,0.0,success,,-79.48887606770018,2.0518123354971785e-05
way/86121621,8006.855999201618,105.0,367.5,SuperTallBuilding,one_zone_per_floor,no_floors,1.8108906952979789,11.217581292058115,26.465100598403147,44.0632760926144,83.55684867837364,0.39312174530885313,0.32777121584893415,2.500084777723576,5.8983299005673056,9.820470469313156,18.54665636345297,0.00025297676939289876,success,,-79.48874387617293,1.0553751679529086e-08
way/86216914,2765.5355231290946,40.0,140.0,SuperTallBuilding,one_zone_per_floor,,9.461614197216218,10.62961825186889,26.465100687335852,44.06327624068361,90.61960937710457,0.43944779501986425,1.7125521696961352,2.3690442790305233,5.898329920387916,9.820470502313636,19.800396871428212,0.0,success,,-79.48874388915667,-3.1801868356854875e-08
way/91200880,1301.287936545484,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height",38.25057056572115,13.181580784392953,26.4651005984,44.063276092609165,121.96052804112327,0.6064177340293666,6.923353272395527,2.937805272579226,5.898329900566604,9.820470469311989,25.579958914853346,0.0,success,,-79.48874388571859,-3.0054167287632796e-09
way/91200920,1324.0168280864827,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",40.07323010862895,11.48786689182859,26.465100598399996,44.063276092609165,122.08947369146671,0.4743231768192765,7.253254649661839,2.560323869915621,5.898329900566604,9.820470469311989,25.53237888945605,0.0,success,,-79.48874384418099,-2.5934550074892657e-08
way/109284804,2452.727707087475,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height",27.465961418112535,10.65840825962247,26.4651005984,44.06327609260917,108.65274636874418,0.36633421293506324,4.971339016678368,2.375460765638579,5.898329900566604,9.82047046931199,23.065600152195543,0.0,success,,-79.48874388437268,5.737233397272763e-10
way/109284807,5104.004675028921,39.0,136.5,TallBuilding,one_zone_per_floor,no_height,6.295531294051472,10.957539723840108,26.46510057522184,44.0632760540185,87.78144764713193,0.41610378450108415,1.1394911642233163,2.4421287933316926,5.898329895400842,9.820470460711212,19.30042031366706,1.520499408054615e-06,success,,-79.48873512861208,-6.481600550988978e-05
way/109285745,1958.9730993551789,47.0,164.5,SuperTallBuilding,one_zone_per_floor,,10.654601005009551,10.638468155954358,26.465100598290878,44.06327609242749,91.82144585168228,0.44764716252831854,1.9284827819067287,2.3710166748538595,5.898329900542284,9.8204704692715,20.01829982657437,0.0,success,,-79.48874375659214,-3.6329835341166234e-07
way/114071252,1950.9725182856669,28.0,98.0,TallBuilding,one_zone_per_floor,"generic_tag,no_floors,no_function",14.43484709553988,10.594537022639363,26.465100598294132,44.06327609243289,95.55776080890627,0.49635143648074215,2.612707324292718,2.36122565530968,5.898329900543009,9.820470469272703,20.69273334941811,0.0,success,,-79.48874388425396,1.493368540319465e-10
way/137716320,3568.6186281167643,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height",25.355135638925823,9.952438971587583,26.465100598399996,44.06327609260916,105.83595130152256,0.3163012102693627,4.589279550645574,2.2181199784756678,5.898329900566604,9.820470469311987,22.526199898999835,0.0,success,,-79.48867250796705,1.733147661981285e-05
way/138022483,4161.113471294008,5.0,17.5,LargeOffice,perimeter_core,no_floors|narrow_perimeter_fallback,12.44577050254213,9.889706935625448,26.46510048709183,44.06327590728576,92.86385383254517,0.39977337993759166,2.2526844609601255,2.2041387641567147,5.8983298757591305,9.82047042800859,20.17562352888456,0.0,success,,-79.48884841824075,9.521570263762011e-05
way/143858914,2209.586682869855,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height",37.5942940203091,9.910225252104205,26.465100598400003,44.06327609260916,118.03289596342246,0.4415006864124661,6.804567217675947,2.208711722386968,5.898329900566605,9.820470469311987,24.732079309941504,0.0,success,,-79.48883011997222,-6.401063744289473e-05
way/148457887,3890.6070569991616,36.0,126.0,TallBuilding,one_zone_per_floor,,7.088286107924886,10.923468248141557,26.465100183503704,44.06327540182434,88.5401299413945,0.42422005918407873,1.2829797855344043,2.434535215399805,5.898329808097837,9.820470315355394,19.43631512438744,0.0,success,,-79.48882336102425,4.694925949807303e-05
way/157835453,5180.719472059762,1.0,3.5,LargeOffice,single_zone,"generic_tag,no_floors,no_function,no_height",23.64063008430847,7.73123034784546,26.4651005984,44.06327609260916,101.9002371231631,0.3808157474559847,4.278954045259833,1.7230747700850133,5.898329900566604,9.820470469311987,21.720829185223437,0.0,success,,-79.48885991354769,5.3490534030949945e-05
way/159837290,3251.809300508245,39.0,136.5,TallBuilding,one_zone_per_floor,no_height,8.411893679264146,10.737314999688163,26.465100715916613,44.06327628826937,89.67758568313829,0.4329033355008488,1.5225527559468104,2.3930468686105,5.898329926757767,9.82047051291917,19.63440006423425,0.0,success,,-79.48874376125079,-2.375334983285407e-08
way/160915057,1564.2483268399508,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height",34.43607315374074,11.781581820669588,26.465100598400003,44.06327609260916,116.7460316654195,0.4549793507996353,6.232929240827074,2.6257847035362722,5.898329900566605,9.820470469311987,24.577514314241938,0.0,success,,-79.48874648645125,-6.781122901001536e-05
way/161173093,962.1754806472809,6.0,21.0,LargeOffice,perimeter_core,no_floors,80.92408420274236,10.824932216071202,26.465100106188146,44.0632752730972,162.2773917980989,1.0264303807403514,14.647259240696368,2.4125742928602207,5.898329790866364,9.820470286665717,32.778633611088665,0.003455639965626363,success,,-79.48875530300985,2.4631343670683622e-05
way/161849936,3378.7259532845756,55.0,192.5,SuperTallBuilding,one_zone_per_floor,no_floors,10.936236266258112,10.340867141876952,26.465101179061268,44.06327705938568,91.80548164658201,0.43692262913687624,1.9794587641927182,2.3046897416444,5.898330029979743,9.820470684779405,20.002949220596264,0.0,success,,-79.48871327620347,-9.934076951068451e-05
way/162004802,1931.331905766602,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",31.844247236831283,11.945292590765401,26.4651005984,44.06327609260916,114.31791651860584,0.5111062237224251,5.763808749866462,2.6622712502890664,5.898329900566604,9.820470469311987,24.144880370034123,0.0,success,,-79.48874388480462,1.2746562797841772e-09
way/162695595,1404.9243342701443,28.0,98.0,TallBuilding,one_zone_per_floor,no_floors,22.86664053457004,10.18588683453576,26.465100597732313,44.0632760914975,103.5809040583356,0.547152512827108,4.138861936757177,2.2701489705866535,5.898329900417796,9.82047046906423,22.127811276825856,0.0,success,,-79.48873064395208,-3.7346071086573956e-05
way/162977896,339.78479653511533,8.0,28.0,MediumOffice,one_zone_per_floor,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT,59.13528270649863,15.123442505384547,26.465100520081787,44.06327596221264,144.7871016941776,0.8425964940673383,10.703486169876252,3.3705918780600648,5.898329883111668,9.820470440250256,29.792878371298237,0.0004233410070333034,success,,-79.4887629691427,-5.9711618572428136e-06
way/163465869,5766.3624377083925,45.0,157.5,SuperTallBuilding,one_zone_per_floor,no_height,7.9165556378704816,10.67339608188576,26.465100451931868,44.06327584874592,89.11832802043403,0.4220400769610902,1.432896570454557,2.378801131562043,5.898329867922959,9.820470414961699,19.53049798490126,0.0,success,,-79.4887768348255,-5.7403685332346055e-05
way/163474780,6439.7761542678145,1.0,3.5,LargeOffice,single_zone,"generic_tag,no_floors,no_function,no_height",20.01333957682265,7.634027290166226,26.465100598399996,44.063276092609165,98.17574355799803,0.34388580607855873,3.6224144634048994,1.701410930213927,5.898329900566604,9.820470469311989,21.04262576349742,0.0,success,,-79.48872173946728,-1.8270028513068384e-05
way/163629929,2359.8557388492627,8.0,28.0,LargeOffice,perimeter_core,no_floors,59.750805068835795,10.384234574604536,26.465098803424475,44.06327310405062,140.66341155091544,0.8206497940374974,10.81489571745928,2.314355128111262,5.8983295005168195,9.82046980324597,28.848050149333332,0.0020336014234089684,success,,-79.48872172729409,-1.0099241583626658e-05
way/163631696,2312.141083926303,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height",30.108291362069608,10.377930789361919,26.4651005984,44.063276092609165,111.01459884244068,0.4230455078841414,5.449600736534599,2.3129501908866694,5.898329900566604,9.820470469311989,23.48135129729986,0.0,success,,-79.48871879288977,-6.736657397649141e-05
way/165439147,988.04506923543,32.0,112.0,TallBuilding,one_zone_per_floor,"generic_tag,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",25.56579022348209,9.868246796202769,26.46510047712136,44.063275890685354,105.96241338749158,0.5433247985674375,4.627408030450258,2.199355899963303,5.898329873536992,9.820470424308825,22.54556422825938,0.0,success,,-79.48878161793671,3.6141575840572815e-05
way/165439153,673.026033892871,8.0,28.0,MidriseApartment,one_zone_per_floor,no_floors,9.253416199111022,7.502473015698063,3.965491071437138,43.39802470040575,64.11940498665197,0.1913609125811655,1.674868332039095,1.6720911659546585,0.8837969260733378,9.67220456102883,13.90296098509592,0.32433260313862194,success,,-79.48874823082163,3.2343118670468036e-05
way/218327129,1644.1469518801496,12.0,42.0,LargeOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",69.93737732801556,9.933720096023825,26.465099156710522,44.063273692257006,150.3994702730069,0.8238869323846739,12.658665296370815,2.2139480652410217,5.898329579254387,9.820469934340704,30.591412875206927,0.0014315042420992516,success,,-79.48869105939134,9.785934932004735e-05
way/218333949,2351.104166545407,40.0,140.0,SuperTallBuilding,one_zone_per_floor,no_floors,4.78431098872944,11.494175959425014,26.465099770681114,44.063274714492124,86.8068614333277,0.4242146750259856,0.8659602889600286,2.561729984428972,5.898329716091241,9.820470162168288,19.14649015164853,0.0,success,,-79.48874388438894,-2.9726697122542328e-12
