building_id,district,n_floors,dwellings_total,n_groups,n_transitions,n_dwelling_count_changes,engine_status,geometry_outcome
way/100704656,ES-MAD-BERRUGUETE,4,12,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/100704677,ES-MAD-BERRUGUETE,7,14,7.0,6.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/100704682,ES-MAD-BERRUGUETE,3,10,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/100704705,ES-MAD-BERRUGUETE,4,46,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/100704712,ES-MAD-BERRUGUETE,4,3,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/100704723,ES-MAD-BERRUGUETE,4,32,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/100704738,ES-MAD-BERRUGUETE,4,13,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/100704741,ES-MAD-BERRUGUETE,3,10,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/133979799,ES-MAD-BERRUGUETE,6,21,6.0,5.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/195286075,ES-MAD-BERRUGUETE,3,2,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/198082036,ES-MAD-BERRUGUETE,5,17,5.0,4.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/198082054,ES-MAD-BERRUGUETE,7,32,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/198082056,ES-MAD-BERRUGUETE,2,7,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/232618736,ES-MAD-BERRUGUETE,7,18,7.0,6.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/277649994,ES-MAD-BERRUGUETE,4,20,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/277649996,ES-MAD-BERRUGUETE,4,16,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286376565,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286376566,ES-MAD-BERRUGUETE,3,8,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/286376568,ES-MAD-BERRUGUETE,4,8,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286376569,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286376571,ES-MAD-BERRUGUETE,3,5,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286376574,ES-MAD-BERRUGUETE,4,6,4.0,3.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286376575,ES-MAD-BERRUGUETE,4,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED
way/286417117,ES-MAD-BERRUGUETE,3,32,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/286564856,ES-MAD-BERRUGUETE,2,4,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685213,ES-MAD-BERRUGUETE,3,5,3.0,2.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685214,ES-MAD-BERRUGUETE,2,3,2.0,1.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685215,ES-MAD-BERRUGUETE,4,4,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685216,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685217,ES-MAD-BERRUGUETE,4,8,4.0,3.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685218,ES-MAD-BERRUGUETE,2,2,2.0,1.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685219,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286685222,ES-MAD-BERRUGUETE,4,22,,,1,FALLBACK,FALLBACK_PENDING_LAYOUT
way/286754285,ES-MAD-BERRUGUETE,3,3,3.0,2.0,0,EMITTED,DWELLING_LAYOUT_EMITTED
way/286754286,ES-MAD-BERRUGUETE,3,1,1.0,0.0,1,EMITTED,DWELLING_LAYOUT_EMITTED
