building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,eui_kwh_m2,eui_status,geometry_outcome
32166,residential,Edificio generico,119.7,,9.0,assumed 9.0 m,,,not simulated,
32167,residential,Edificio generico,317.3,,9.0,assumed 9.0 m,,27.23,simulated,dwelling layout (imputed)
32151,residential,Edificio generico,144.3,,9.0,assumed 9.0 m,,,not simulated,
31069,residential,Edificio generico,940.3,,9.0,assumed 9.0 m,,46.02,simulated,geometry-limited massing box
31077,residential,Edificio generico,365.6,,9.0,assumed 9.0 m,,50.57,simulated,dwelling layout (imputed)
32471,residential,Edificio generico,197.5,,9.0,assumed 9.0 m,,66.99,simulated,dwelling layout (imputed)
32475,residential,Edificio generico,22.7,,9.0,assumed 9.0 m,,105.26,simulated,dwelling layout (imputed)
31153,residential,Edificio generico,24.0,,9.0,assumed 9.0 m,,,not simulated,
32479,residential,Edificio generico,80.2,,9.0,assumed 9.0 m,,91.8,simulated,dwelling layout (imputed)
32486,residential,Edificio generico,104.5,,9.0,assumed 9.0 m,,64.94,simulated,geometry-limited massing box
32526,residential,Edificio generico,215.1,,9.0,assumed 9.0 m,,,not simulated,
32527,residential,Edificio generico,136.8,,9.0,assumed 9.0 m,,52.06,simulated,geometry-limited massing box
32218,residential,Edificio generico,381.8,,9.0,assumed 9.0 m,,52.47,simulated,dwelling layout (imputed)
32582,residential,Edificio generico,44.0,,9.0,assumed 9.0 m,,,not simulated,
32245,residential,Edificio generico,242.8,,9.0,assumed 9.0 m,,52.3,simulated,geometry-limited massing box
32247,residential,Edificio generico,167.9,,9.0,assumed 9.0 m,,59.79,simulated,geometry-limited massing box
32251,residential,Edificio generico,156.5,,9.0,assumed 9.0 m,,57.98,simulated,geometry-limited massing box
32289,residential,Edificio generico,114.3,,9.0,assumed 9.0 m,,43.38,simulated,geometry-limited massing box
32293,residential,Edificio generico,206.2,,9.0,assumed 9.0 m,,53.43,simulated,geometry-limited massing box
29685,residential,Edificio generico,1022.9,,9.0,assumed 9.0 m,,38.04,simulated,geometry-limited massing box
29688,residential,Edificio generico,40.2,,9.0,assumed 9.0 m,,,not simulated,
29816,residential,Edificio generico,217.3,,9.0,assumed 9.0 m,,52.19,simulated,geometry-limited massing box
30935,residential,Edificio generico,162.5,,9.0,assumed 9.0 m,,42.55,simulated,dwelling layout (imputed)
30936,residential,Edificio generico,115.2,,9.0,assumed 9.0 m,,39.97,simulated,geometry-limited massing box
33617,residential,Edificio generico,431.1,,9.0,assumed 9.0 m,,49.99,simulated,geometry-limited massing box
29618,residential,Edificio generico,560.1,,9.0,assumed 9.0 m,,52.14,simulated,geometry-limited massing box
32446,residential,Edificio generico,241.0,,9.0,assumed 9.0 m,,,not simulated,
31142,residential,Edificio generico,134.1,,9.0,assumed 9.0 m,,52.63,simulated,geometry-limited massing box
32209,residential,Edificio generico,270.2,,9.0,assumed 9.0 m,,47.68,simulated,geometry-limited massing box
30186,residential,Edificio generico,1222.2,,9.0,assumed 9.0 m,,45.67,simulated,geometry-limited massing box
31193,residential,Edificio generico,75.3,,9.0,assumed 9.0 m,,51.17,simulated,geometry-limited massing box
30697,residential,Edificio generico,1074.1,,9.0,assumed 9.0 m,,56.4,simulated,dwelling layout (imputed)
30899,residential,Edificio generico,215.3,,9.0,assumed 9.0 m,,,not simulated,
30905,residential,Edificio generico,239.1,,9.0,assumed 9.0 m,,40.33,simulated,geometry-limited massing box
32422,residential,Edificio generico,39.9,,9.0,assumed 9.0 m,,78.15,simulated,dwelling layout (imputed)
30810,residential,Edificio generico,354.2,,9.0,assumed 9.0 m,,49.55,simulated,geometry-limited massing box
32758,residential,Edificio generico,122.4,,9.0,assumed 9.0 m,,54.22,simulated,geometry-limited massing box
30540,residential,Edificio generico,667.6,,9.0,assumed 9.0 m,,44.29,simulated,geometry-limited massing box
30240,residential,Edificio generico,216.3,,9.0,assumed 9.0 m,,58.35,simulated,geometry-limited massing box
30241,residential,Edificio generico,167.2,,9.0,assumed 9.0 m,,44.72,simulated,geometry-limited massing box
31640,residential,Edificio generico,33.2,,9.0,assumed 9.0 m,,110.42,simulated,dwelling layout (imputed)
31269,residential,Edificio generico,104.9,,9.0,assumed 9.0 m,,59.91,simulated,geometry-limited massing box
30155,residential,Edificio generico,981.9,,9.0,assumed 9.0 m,,43.51,simulated,geometry-limited massing box
30661,residential,Edificio generico,136.9,,9.0,assumed 9.0 m,,65.42,simulated,dwelling layout (imputed)
28061,residential,Edificio generico,751.9,,9.0,assumed 9.0 m,,,not simulated,
29100,residential,Edificio generico,65.8,,9.0,assumed 9.0 m,,51.65,simulated,geometry-limited massing box
32859,residential,Edificio generico,253.2,,9.0,assumed 9.0 m,,96.55,simulated,dwelling layout (imputed)
32347,residential,Edificio generico,91.1,,9.0,assumed 9.0 m,,,not simulated,
31103,residential,Edificio generico,238.4,,9.0,assumed 9.0 m,,49.98,simulated,dwelling layout (imputed)
31109,residential,Edificio generico,127.2,,9.0,assumed 9.0 m,,59.28,simulated,dwelling layout (imputed)
31223,residential,Edificio generico,107.0,,9.0,assumed 9.0 m,,80.93,simulated,dwelling layout (imputed)
