building_id,eui_kwh_m2,geometry_outcome
32167,27.23,dwelling layout (imputed)
31069,46.02,geometry-limited massing box
31077,50.57,dwelling layout (imputed)
32471,66.99,dwelling layout (imputed)
32475,105.26,dwelling layout (imputed)
32479,91.8,dwelling layout (imputed)
32486,64.94,geometry-limited massing box
32527,52.06,geometry-limited massing box
32218,52.47,dwelling layout (imputed)
32245,52.3,geometry-limited massing box
32247,59.79,geometry-limited massing box
32251,57.98,geometry-limited massing box
32289,43.38,geometry-limited massing box
32293,53.43,geometry-limited massing box
29685,38.04,geometry-limited massing box
29816,52.19,geometry-limited massing box
30935,42.55,dwelling layout (imputed)
30936,39.97,geometry-limited massing box
33617,49.99,geometry-limited massing box
29618,52.14,geometry-limited massing box
31142,52.63,geometry-limited massing box
32209,47.68,geometry-limited massing box
30186,45.67,geometry-limited massing box
31193,51.17,geometry-limited massing box
30697,56.4,dwelling layout (imputed)
30905,40.33,geometry-limited massing box
32422,78.15,dwelling layout (imputed)
30810,49.55,geometry-limited massing box
32758,54.22,geometry-limited massing box
30540,44.29,geometry-limited massing box
30240,58.35,geometry-limited massing box
30241,44.72,geometry-limited massing box
31640,110.42,dwelling layout (imputed)
31269,59.91,geometry-limited massing box
30155,43.51,geometry-limited massing box
30661,65.42,dwelling layout (imputed)
29100,51.65,geometry-limited massing box
32859,96.55,dwelling layout (imputed)
31103,49.98,dwelling layout (imputed)
31109,59.28,dwelling layout (imputed)
31223,80.93,dwelling layout (imputed)
31240,35.66,geometry-limited massing box
29702,52.13,geometry-limited massing box
30817,57.72,geometry-limited massing box
93387,66.87,geometry-limited massing box
93388,93.33,dwelling layout (imputed)
92930,126.13,dwelling layout (imputed)
92937,53.45,dwelling layout (imputed)
92938,113.55,dwelling layout (imputed)
95507,50.53,geometry-limited massing box
30168,51.4,geometry-limited massing box
30423,61.76,dwelling layout (imputed)
30427,52.47,geometry-limited massing box
32668,53.84,geometry-limited massing box
30422,57.5,dwelling layout (imputed)
31785,106.32,dwelling layout (imputed)
30477,104.91,dwelling layout (imputed)
31792,53.11,geometry-limited massing box
33191,48.42,geometry-limited massing box
32776,45.1,geometry-limited massing box
32790,55.56,geometry-limited massing box
29583,40.23,geometry-limited massing box
30992,48.9,geometry-limited massing box
32031,39.69,dwelling layout (imputed)
33261,51.15,dwelling layout (imputed)
30741,47.54,geometry-limited massing box
33266,251.15,dwelling layout (imputed)
29896,57.97,geometry-limited massing box
29904,37.98,geometry-limited massing box
32408,45.8,geometry-limited massing box
29235,48.11,geometry-limited massing box
28192,41.56,geometry-limited massing box
28989,50.42,geometry-limited massing box
28844,53.76,dwelling layout (imputed)
28781,47.22,geometry-limited massing box
28782,51.86,geometry-limited massing box
29292,86.5,dwelling layout (imputed)
28613,45.86,dwelling layout (imputed)
29437,49.22,geometry-limited massing box
28454,44.88,geometry-limited massing box
29329,49.03,dwelling layout (imputed)
29341,76.87,dwelling layout (imputed)
28026,45.5,geometry-limited massing box
28308,42.1,geometry-limited massing box
29299,50.9,geometry-limited massing box
28749,38.22,geometry-limited massing box
28033,45.35,geometry-limited massing box
29454,72.64,dwelling layout (imputed)
28362,50.72,geometry-limited massing box
28835,49.16,geometry-limited massing box
29279,42.56,dwelling layout (imputed)
29114,52.59,geometry-limited massing box
29116,58.14,dwelling layout (imputed)
29081,44.91,geometry-limited massing box
29085,61.41,dwelling layout (imputed)
27931,40.68,geometry-limited massing box
29094,58.58,dwelling layout (imputed)
28787,53.43,geometry-limited massing box
29439,66.81,dwelling layout (imputed)
28959,55.98,geometry-limited massing box
28960,46.5,geometry-limited massing box
28908,43.33,geometry-limited massing box
28662,58.51,dwelling layout (imputed)
31408,59.78,dwelling layout (imputed)
32305,53.37,geometry-limited massing box
31092,66.95,dwelling layout (imputed)
32211,47.03,geometry-limited massing box
32918,62.57,geometry-limited massing box
30163,64.5,dwelling layout (imputed)
31470,50.09,dwelling layout (imputed)
31734,59.46,geometry-limited massing box
32056,52.7,geometry-limited massing box
33450,50.44,geometry-limited massing box
32010,41.49,dwelling layout (imputed)
31915,47.48,geometry-limited massing box
30000,42.83,geometry-limited massing box
32261,59.2,geometry-limited massing box
29928,211.48,dwelling layout (imputed)
30988,45.42,dwelling layout (imputed)
29782,47.17,geometry-limited massing box
32356,58.29,dwelling layout (imputed)
31502,31.83,dwelling layout (imputed)
31923,157.77,dwelling layout (imputed)
31926,54.31,geometry-limited massing box
30253,59.12,geometry-limited massing box
31444,59.88,dwelling layout (imputed)
30594,43.69,geometry-limited massing box
31287,50.64,geometry-limited massing box
31293,57.53,geometry-limited massing box
32763,49.02,geometry-limited massing box
33482,54.48,geometry-limited massing box
29706,93.54,dwelling layout (imputed)
29719,55.73,geometry-limited massing box
32489,55.34,geometry-limited massing box
32501,50.95,dwelling layout (imputed)
31124,43.73,geometry-limited massing box
31225,49.6,geometry-limited massing box
30004,49.27,geometry-limited massing box
33473,50.8,geometry-limited massing box
33112,63.46,geometry-limited massing box
28237,40.67,dwelling layout (imputed)
95976,49.74,geometry-limited massing box
29718,33.43,geometry-limited massing box
32185,54.37,geometry-limited massing box
32188,78.3,dwelling layout (imputed)
33412,62.24,geometry-limited massing box
33048,42.74,dwelling layout (imputed)
81082,51.93,dwelling layout (imputed)
81093,45.74,geometry-limited massing box
28392,48.9,geometry-limited massing box
29376,50.15,geometry-limited massing box
29126,43.09,geometry-limited massing box
27997,45.86,geometry-limited massing box
28000,42.23,geometry-limited massing box
28636,43.24,geometry-limited massing box
29198,51.66,dwelling layout (imputed)
29497,46.41,dwelling layout (imputed)
92979,48.99,geometry-limited massing box
28713,87.5,dwelling layout (imputed)
28721,49.14,geometry-limited massing box
87566,38.78,geometry-limited massing box
87569,172.65,dwelling layout (imputed)
92813,61.44,geometry-limited massing box
93416,51.41,geometry-limited massing box
94724,152.46,dwelling layout (imputed)
93382,55.44,geometry-limited massing box
93385,63.37,geometry-limited massing box
93404,147.65,dwelling layout (imputed)
93398,84.66,dwelling layout (imputed)
30538,55.55,geometry-limited massing box
31731,56.16,geometry-limited massing box
32639,50.4,geometry-limited massing box
32641,53.7,geometry-limited massing box
31644,49.63,geometry-limited massing box
31306,249.54,dwelling layout (imputed)
31311,60.35,dwelling layout (imputed)
32653,56.32,dwelling layout (imputed)
30184,38.52,dwelling layout (imputed)
30611,49.62,geometry-limited massing box
30016,50.68,geometry-limited massing box
32662,60.01,geometry-limited massing box
31440,50.31,geometry-limited massing box
31384,61.54,geometry-limited massing box
30620,49.51,geometry-limited massing box
31813,41.65,geometry-limited massing box
31817,50.74,geometry-limited massing box
28074,44.74,geometry-limited massing box
29968,61.87,dwelling layout (imputed)
30946,47.51,geometry-limited massing box
32175,55.88,geometry-limited massing box
32176,51.64,geometry-limited massing box
32316,51.04,geometry-limited massing box
32230,74.69,geometry-limited massing box
32283,74.97,dwelling layout (imputed)
93207,33.82,geometry-limited massing box
31463,49.17,geometry-limited massing box
31466,43.26,dwelling layout (imputed)
31376,45.91,dwelling layout (imputed)
31378,104.53,dwelling layout (imputed)
32797,62.56,dwelling layout (imputed)
32922,59.19,dwelling layout (imputed)
30169,217.61,dwelling layout (imputed)
31539,101.65,dwelling layout (imputed)
31653,67.49,geometry-limited massing box
31655,39.51,dwelling layout (imputed)
31658,75.78,dwelling layout (imputed)
92919,60.54,dwelling layout (imputed)
92922,38.11,dwelling layout (imputed)
92924,35.96,geometry-limited massing box
32860,55.92,geometry-limited massing box
30440,45.14,dwelling layout (imputed)
33143,56.86,geometry-limited massing box
31900,49.65,geometry-limited massing box
32803,55.26,geometry-limited massing box
32732,52.35,geometry-limited massing box
32739,83.82,dwelling layout (imputed)
30294,254.08,dwelling layout (imputed)
32813,53.89,geometry-limited massing box
32816,55.48,geometry-limited massing box
30771,50.31,geometry-limited massing box
31965,66.89,geometry-limited massing box
31968,51.4,geometry-limited massing box
30319,33.43,geometry-limited massing box
30323,46.06,dwelling layout (imputed)
30330,50.12,geometry-limited massing box
31977,43.16,geometry-limited massing box
31529,38.72,dwelling layout (imputed)
31667,59.58,geometry-limited massing box
31681,109.64,dwelling layout (imputed)
30051,43.16,dwelling layout (imputed)
31588,50.11,dwelling layout (imputed)
31597,59.77,geometry-limited massing box
31598,52.65,dwelling layout (imputed)
32632,43.75,geometry-limited massing box
31421,39.19,dwelling layout (imputed)
31911,49.42,geometry-limited massing box
30298,47.61,geometry-limited massing box
31435,49.64,geometry-limited massing box
31610,45.7,dwelling layout (imputed)
31611,48.93,dwelling layout (imputed)
31628,53.94,geometry-limited massing box
31550,45.94,geometry-limited massing box
31562,77.64,dwelling layout (imputed)
32909,49.32,dwelling layout (imputed)
31607,53.06,dwelling layout (imputed)
31461,62.56,geometry-limited massing box
32840,91.36,geometry-limited massing box
32844,83.9,dwelling layout (imputed)
30390,44.97,geometry-limited massing box
31512,69.71,dwelling layout (imputed)
30030,48.64,geometry-limited massing box
30130,48.13,geometry-limited massing box
31410,45.6,geometry-limited massing box
31415,95.7,dwelling layout (imputed)
32952,61.51,dwelling layout (imputed)
31831,238.42,dwelling layout (imputed)
31701,46.89,geometry-limited massing box
31710,55.4,geometry-limited massing box
32760,43.84,geometry-limited massing box
32607,49.92,dwelling layout (imputed)
32610,55.79,geometry-limited massing box
31326,47.31,dwelling layout (imputed)
33327,49.15,geometry-limited massing box
32687,47.89,dwelling layout (imputed)
32702,100.45,geometry-limited massing box
33229,46.66,dwelling layout (imputed)
32946,53.55,dwelling layout (imputed)
32617,67.54,dwelling layout (imputed)
32622,64.65,geometry-limited massing box
33354,53.19,geometry-limited massing box
31856,53.75,geometry-limited massing box
32041,44.58,dwelling layout (imputed)
27550,41.25,dwelling layout (imputed)
30968,62.92,geometry-limited massing box
33101,60.1,dwelling layout (imputed)
33067,65.65,geometry-limited massing box
33069,83.0,dwelling layout (imputed)
31832,40.41,geometry-limited massing box
31843,81.28,dwelling layout (imputed)
31768,61.33,dwelling layout (imputed)
31771,39.02,dwelling layout (imputed)
31778,107.36,dwelling layout (imputed)
33168,59.24,geometry-limited massing box
33083,214.17,dwelling layout (imputed)
32008,53.79,geometry-limited massing box
32073,48.26,geometry-limited massing box
30651,68.13,dwelling layout (imputed)
30836,52.26,geometry-limited massing box
30631,93.22,dwelling layout (imputed)
30632,52.3,geometry-limited massing box
31939,56.42,dwelling layout (imputed)
32121,52.84,geometry-limited massing box
33128,81.84,dwelling layout (imputed)
33130,51.27,geometry-limited massing box
30847,50.36,geometry-limited massing box
30489,54.37,dwelling layout (imputed)
33086,53.57,geometry-limited massing box
33091,51.67,dwelling layout (imputed)
33363,53.79,geometry-limited massing box
33028,49.42,dwelling layout (imputed)
33336,267.93,dwelling layout (imputed)
33338,54.98,geometry-limited massing box
33245,75.92,dwelling layout (imputed)
30496,48.62,geometry-limited massing box
33299,51.65,geometry-limited massing box
30660,56.65,geometry-limited massing box
32038,52.36,geometry-limited massing box
30506,88.89,dwelling layout (imputed)
30775,52.56,geometry-limited massing box
30781,61.05,geometry-limited massing box
30649,38.78,geometry-limited massing box
32015,54.07,dwelling layout (imputed)
32052,49.27,geometry-limited massing box
32055,63.07,dwelling layout (imputed)
32415,95.75,dwelling layout (imputed)
30646,50.44,geometry-limited massing box
31182,53.26,geometry-limited massing box
31200,48.48,geometry-limited massing box
31209,60.6,geometry-limited massing box
31192,61.68,dwelling layout (imputed)
32385,49.79,dwelling layout (imputed)
30854,53.53,geometry-limited massing box
30856,52.38,geometry-limited massing box
32390,60.37,geometry-limited massing box
32392,50.18,geometry-limited massing box
32400,55.28,geometry-limited massing box
32540,62.03,geometry-limited massing box
32541,120.09,dwelling layout (imputed)
32546,55.36,geometry-limited massing box
32553,80.25,dwelling layout (imputed)
29836,48.45,geometry-limited massing box
32376,70.05,dwelling layout (imputed)
32045,51.57,dwelling layout (imputed)
31475,43.03,dwelling layout (imputed)
31377,71.08,dwelling layout (imputed)
32800,54.32,geometry-limited massing box
32924,60.77,geometry-limited massing box
31540,43.03,dwelling layout (imputed)
93239,46.61,geometry-limited massing box
30442,50.27,geometry-limited massing box
32663,54.12,geometry-limited massing box
92920,67.3,geometry-limited massing box
92928,51.66,dwelling layout (imputed)
31997,52.59,geometry-limited massing box
32002,55.88,geometry-limited massing box
32955,45.67,geometry-limited massing box
32960,53.46,geometry-limited massing box
32961,53.2,geometry-limited massing box
33153,59.63,geometry-limited massing box
32728,57.28,dwelling layout (imputed)
32735,63.51,dwelling layout (imputed)
32891,55.13,geometry-limited massing box
31525,46.8,geometry-limited massing box
31661,54.2,geometry-limited massing box
31669,48.95,geometry-limited massing box
32627,49.23,geometry-limited massing box
31596,52.39,geometry-limited massing box
31600,111.55,dwelling layout (imputed)
32854,53.73,geometry-limited massing box
32855,34.95,dwelling layout (imputed)
31870,47.61,dwelling layout (imputed)
30586,52.82,geometry-limited massing box
31801,48.24,dwelling layout (imputed)
30809,46.75,geometry-limited massing box
32024,46.63,geometry-limited massing box
32030,49.75,dwelling layout (imputed)
33171,60.31,geometry-limited massing box
30564,48.18,geometry-limited massing box
30622,62.62,dwelling layout (imputed)
33003,48.37,geometry-limited massing box
33004,51.44,geometry-limited massing box
33063,79.45,geometry-limited massing box
33335,101.77,dwelling layout (imputed)
30665,69.33,dwelling layout (imputed)
32092,92.23,dwelling layout (imputed)
32043,57.55,geometry-limited massing box
30505,53.23,geometry-limited massing box
32017,46.0,geometry-limited massing box
32020,50.2,dwelling layout (imputed)
32054,51.01,geometry-limited massing box
30686,40.44,geometry-limited massing box
30691,62.92,dwelling layout (imputed)
30530,75.39,dwelling layout (imputed)
32523,56.31,geometry-limited massing box
29897,201.8,dwelling layout (imputed)
29643,49.59,geometry-limited massing box
30944,46.5,geometry-limited massing box
32130,48.58,dwelling layout (imputed)
32131,51.71,geometry-limited massing box
31075,48.81,geometry-limited massing box
32469,57.11,geometry-limited massing box
31146,57.61,geometry-limited massing box
31148,83.11,dwelling layout (imputed)
32125,80.57,dwelling layout (imputed)
32156,110.36,dwelling layout (imputed)
32160,62.41,dwelling layout (imputed)
29890,60.28,dwelling layout (imputed)
29891,47.31,geometry-limited massing box
32589,115.8,dwelling layout (imputed)
29807,63.38,geometry-limited massing box
32248,30.07,dwelling layout (imputed)
32257,69.09,dwelling layout (imputed)
30868,41.51,geometry-limited massing box
30869,40.2,geometry-limited massing box
30886,49.99,geometry-limited massing box
29684,68.82,dwelling layout (imputed)
30931,63.23,geometry-limited massing box
30932,47.68,geometry-limited massing box
31022,49.42,geometry-limited massing box
31029,62.67,geometry-limited massing box
31041,78.1,dwelling layout (imputed)
32454,50.96,geometry-limited massing box
32599,45.81,geometry-limited massing box
30893,49.96,dwelling layout (imputed)
31141,41.65,geometry-limited massing box
32207,64.09,dwelling layout (imputed)
29745,64.83,dwelling layout (imputed)
27816,33.58,geometry-limited massing box
32142,53.48,geometry-limited massing box
29765,49.39,dwelling layout (imputed)
29770,64.9,dwelling layout (imputed)
31821,55.47,geometry-limited massing box
30722,72.21,dwelling layout (imputed)
29997,50.51,dwelling layout (imputed)
33470,81.83,dwelling layout (imputed)
33471,58.95,geometry-limited massing box
95738,40.03,geometry-limited massing box
31323,51.41,dwelling layout (imputed)
29253,49.32,geometry-limited massing box
28333,49.77,geometry-limited massing box
87532,39.03,geometry-limited massing box
28764,46.27,geometry-limited massing box
92942,76.78,dwelling layout (imputed)
30438,188.49,dwelling layout (imputed)
31348,72.7,dwelling layout (imputed)
93002,84.25,dwelling layout (imputed)
31363,59.97,dwelling layout (imputed)
95592,43.93,dwelling layout (imputed)
30141,52.84,geometry-limited massing box
30143,71.51,dwelling layout (imputed)
30145,45.77,dwelling layout (imputed)
31418,52.42,geometry-limited massing box
