pba_code,pba_label,sqft,eui_kwh_m2,finalwt
2,Office,22000,242.8044905863636,1195.68
26,Service,9000,442.3061154299999,3356.48
2,Office,360000,222.566559392,8.74
25,Retail other than mall,124000,243.6135180329032,105.74
14,Education,310000,237.01934626664516,44.12
5,Nonrefrigerated warehouse,102000,55.02999783617647,68.56
14,Education,58000,223.4385762998276,97.52
14,Education,11250,314.206417464,677.21
14,Education,138000,219.3049023026087,50.23
5,Nonrefrigerated warehouse,1950,8.0126586,6534.79
13,Public assembly,32500,238.6534692876923,1461.43
13,Public assembly,8200,318.6528300219512,2934.43
16,Inpatient health care,126000,678.3740245921429,61.59
12,Religious worship,18500,76.81256131621622,1461.43
14,Education,59000,55.68631977355931,324.59
18,Lodging,110000,210.52738530245455,97.52
11,Refrigerated warehouse,66000,463.2553174486363,105.74
2,Office,900000,252.8577913215,14.73
2,Office,285000,252.9112726907368,14.73
8,Outpatient health care,2650,261.56431786415095,1195.14
16,Inpatient health care,136000,827.9992937819117,7.62
5,Nonrefrigerated warehouse,33500,32.01861766567164,27.28
13,Public assembly,12000,20.195685179999998,1195.14
14,Education,124000,225.80901207290322,97.52
13,Public assembly,2600,99.57220674230769,4084.96
18,Lodging,56000,271.5575849453571,423.01
15,Food service,5100,1883.0879651117643,1195.14
13,Public assembly,25000,294.92009542799997,611.8
13,Public assembly,30000,201.166732158,240.4
15,Food service,2600,972.3210761423076,1195.14
14,Education,92000,261.3613818472826,324.59
2,Office,220000,150.47212194122727,115.51
26,Service,4200,39.45565887857143,1745.76
17,Nursing,270000,804.5546485953333,8.74
2,Office,130000,237.60350040530767,8.74
23,Strip shopping mall,150000,492.0776381244,175.02
13,Public assembly,12000,250.8648265125,1461.43
8,Outpatient health care,2500,478.49199670799993,1195.14
26,Service,5500,41.37847024909091,1195.14
16,Inpatient health care,400000,1365.82903096875,8.82
26,Service,10000,57.229625403,2934.43
2,Office,118000,249.86667948254234,14.73
14,Education,82000,232.2770781731707,278.62
23,Strip shopping mall,79000,388.9012893106329,395.28
8,Outpatient health care,40000,426.1665757837499,384.05
23,Strip shopping mall,120000,450.5603630475,175.02
13,Public assembly,1001,111.13548086913087,2934.43
2,Office,88000,490.46407442079544,134.42
25,Retail other than mall,9600,130.440653484375,2747.83
25,Retail other than mall,9000,188.83901504999997,1461.43
12,Religious worship,4500,411.09425145999995,1461.43
14,Education,285000,1016.1584788976841,44.41
26,Service,4800,66.83919003749999,2934.43
14,Education,15000,224.551497522,1195.68
12,Religious worship,1600,1619.5862221875,2934.43
1,Vacant,46000,48.4772017323913,14.73
16,Inpatient health care,295000,479.0603255036949,9.92
8,Outpatient health care,235000,356.4496216459149,50.29
14,Education,225000,314.703721052,8.95
14,Education,65000,205.80753848261537,97.52
26,Service,8000,334.30806957375,2934.43
5,Nonrefrigerated warehouse,1000000,134.54588180969998,14.73
5,Nonrefrigerated warehouse,5000,86.53103461799999,4084.96
16,Inpatient health care,350000,489.77565869211423,9.95
2,Office,23500,265.0177770893617,58.63
2,Office,4700,113.3168999361702,2934.43
13,Public assembly,32500,458.9997365658461,345.55
91,Other,45000,405.98760116799997,134.42
2,Office,410000,141.41353734329266,14.73
18,Lodging,90000,246.87632064599998,324.59
16,Inpatient health care,1000000,737.82652828347,8.82
14,Education,182000,153.62087185285714,44.12
2,Office,158000,146.83656096968352,14.73
15,Food service,5000,108.338715288,3709.28
13,Public assembly,4050,202.23648088888888,2934.43
26,Service,2400,54.68481765,1195.68
2,Office,12250,126.06720206693876,611.8
23,Strip shopping mall,144000,277.34077461749996,16.99
8,Outpatient health care,100000,230.8757354316,58.57
15,Food service,8400,315.3020215928571,1461.43
16,Inpatient health care,80000,980.6388442604999,7.62
14,Education,116000,100.24895415724137,97.52
13,Public assembly,38000,154.02825275921052,8.74
13,Public assembly,3350,133.62184071940297,2934.43
26,Service,2200,233.30774078181815,2934.43
18,Lodging,104000,176.74239592557691,97.52
13,Public assembly,205000,330.02725054960973,8.74
16,Inpatient health care,270000,736.5060763793333,9.95
14,Education,160000,241.0827386653125,97.52
2,Office,290000,99.19750755444828,58.49
5,Nonrefrigerated warehouse,10750,130.82803683069764,1461.43
2,Office,470000,116.15011104599999,14.73
14,Education,180000,200.9712702565,44.12
25,Retail other than mall,210000,393.7495545325714,14.73
8,Outpatient health care,14000,208.12182197142855,677.21
16,Inpatient health care,325000,344.10527852344615,9.95
2,Office,50000,168.0954196482,340.6
2,Office,49000,131.48981351816326,240.4
25,Retail other than mall,2400,370.2502850625,2934.43
2,Office,90000,160.250473073,115.51
14,Education,12500,77.69729933279999,611.8
13,Public assembly,1500,469.17165539999996,992.19
4,Laboratory,164000,497.7285941985366,7.62
18,Lodging,70000,220.0899308412857,324.59
16,Inpatient health care,900000,735.3083778675,9.95
6,Food sales,3000,811.6339458,1461.43
2,Office,80000,147.972234832875,137.69
12,Religious worship,7200,99.16059341249999,2934.43
14,Education,110000,157.43532014345453,97.52
13,Public assembly,7000,72.30725870142857,2934.43
15,Food service,2500,203.154334164,1195.14
25,Retail other than mall,4200,50.24811214285714,2934.43
16,Inpatient health care,108000,398.70375216916665,55.76
5,Nonrefrigerated warehouse,7500,17.444462087999998,1461.43
16,Inpatient health care,420000,753.8857583774999,9.92
2,Office,41000,113.8732357017073,240.4
2,Office,124000,131.4473386979032,14.73
1,Vacant,270000,188.70723497366666,58.49
2,Office,310000,232.03647801580644,14.73
6,Food sales,39000,446.81604671307696,1601.81
14,Education,20000,129.651125328,4384.99
14,Education,75000,212.85322627199997,97.52
26,Service,3600,459.2837683,1472.45
7,Public order and safety,192000,156.80785038515623,60.64
13,Public assembly,2600,423.6759966461538,1745.76
13,Public assembly,2750,27.47475821454545,1472.45
13,Public assembly,2600,233.12662760769228,2934.43
15,Food service,1850,915.201124881081,1195.14
18,Lodging,56000,371.63537540035713,97.52
91,Other,50000,632.426840397,134.42
2,Office,12250,35.70017313306122,2934.43
14,Education,250000,93.77813731679998,8.74
14,Education,225000,216.29387449319998,126.07
26,Service,38000,59.07434661947368,670.57
13,Public assembly,10000,599.434876341,1195.68
14,Education,83000,187.02332679686745,97.52
2,Office,320000,590.0399454096562,14.73
12,Religious worship,2700,263.33699463333335,2934.43
25,Retail other than mall,116000,430.7612769108621,105.74
2,Office,280000,310.7085254517857,14.73
14,Education,80000,133.94878101449999,97.52
25,Retail other than mall,2400,143.83878869999998,2934.43
18,Lodging,164000,321.6103543234756,14.73
14,Education,150000,149.5739174424,44.12
25,Retail other than mall,19000,139.9450837973684,3356.48
2,Office,180000,90.93752365949999,19.3
5,Nonrefrigerated warehouse,3200,56.76290381249999,4384.99
5,Nonrefrigerated warehouse,48000,71.27204619375,1094.79
5,Nonrefrigerated warehouse,4500,23.504499579999997,4084.96
91,Other,45000,168.359556974,1461.43
5,Nonrefrigerated warehouse,9800,107.0877079010204,2934.43
18,Lodging,16250,144.95311930707692,1195.68
7,Public order and safety,200001,202.70152027659861,7.75
16,Inpatient health care,55000,204.15129931636363,488.97
8,Outpatient health care,65000,111.31087292169231,190.44
14,Education,215000,223.2328299936279,8.95
2,Office,38500,199.17286467194805,240.4
13,Public assembly,1500,1.4321838599999999,2934.43
1,Vacant,3000,24.845550839999998,1195.14
25,Retail other than mall,116000,226.3431106528448,105.74
16,Inpatient health care,138000,671.7010652849999,9.95
25,Retail other than mall,24000,73.72947180375,1461.43
26,Service,3000,65.70800664,2934.43
17,Nursing,100000,328.4151850431,58.57
16,Inpatient health care,440000,855.1198231697044,20.31
7,Public order and safety,136000,217.8386583505147,137.69
25,Retail other than mall,128000,289.1964221191406,105.74
1,Vacant,118000,43.01433174355932,68.56
2,Office,1500000,124.52129931479999,14.73
2,Office,110000,271.6103137123636,14.73
8,Outpatient health care,20250,534.7089247244444,677.21
18,Lodging,200000,381.861226746,9.21
14,Education,182000,262.8789178648351,44.12
18,Lodging,50001,206.06006987040257,423.01
5,Nonrefrigerated warehouse,1500,47.895088439999995,4084.96
18,Lodging,500000,267.62104328796,8.74
26,Service,6400,51.399115003125,2934.43
2,Office,490000,195.52700551353058,14.73
91,Other,23000,883.9833244826087,1461.43
5,Nonrefrigerated warehouse,13000,76.30516420615385,4145.52
18,Lodging,6000,436.54846291499996,1195.68
2,Office,245000,223.9752204543673,14.73
25,Retail other than mall,4000,82.97360347499999,2747.83
12,Religious worship,11250,270.439215192,611.8
14,Education,180000,176.9742340245,44.12
17,Nursing,270000,557.8773942619999,97.52
7,Public order and safety,900000,248.60846044869996,8.91
15,Food service,3600,290.06542677499993,1195.14
91,Other,19000,9.614858257894737,1195.14
2,Office,60000,303.35594227649995,8.74
7,Public order and safety,8900,259.0758432505618,2050.06
15,Food service,2400,454.98520128749993,1195.14
14,Education,152000,314.7973247475,97.52
2,Office,180000,147.3932229825,58.49
14,Education,44500,179.38650469146066,324.59
5,Nonrefrigerated warehouse,1000000,120.27659867909999,27.28
5,Nonrefrigerated warehouse,4900,20.518354671428572,9096.95
26,Service,7000,326.5717192585714,1461.43
2,Office,210000,200.20982483614284,14.73
2,Office,106000,223.535824695,137.69
14,Education,150000,194.4743535954,8.74
14,Education,148000,222.53032044729727,6.66
2,Office,3200,155.25216104062497,1745.76
5,Nonrefrigerated warehouse,56000,60.16895970107143,672.81
17,Nursing,88000,355.74114268125,134.42
2,Office,485000,223.27299531352577,14.73
2,Office,124000,128.61942684459675,14.73
8,Outpatient health care,7200,199.07390704999997,55.76
15,Food service,2100,1521.548888142857,1195.14
14,Education,160000,155.0317537805625,8.91
4,Laboratory,19500,133.05656185384615,2934.43
26,Service,4500,100.99314731999998,1461.43
26,Service,60000,430.27855756049996,240.4
14,Education,15000,308.79314102399997,1195.68
13,Public assembly,450000,218.62719152239998,48.29
13,Public assembly,28500,140.49580879894737,941.46
18,Lodging,15000,211.518624396,1461.43
26,Service,27000,264.76695859666665,1094.79
5,Nonrefrigerated warehouse,410000,56.87369532153659,14.73
13,Public assembly,3500,249.08552508857142,2934.43
2,Office,215000,98.87355139939534,14.73
4,Laboratory,23000,341.17370896304345,677.21
2,Office,5000,650.313050238,2934.43
14,Education,7200,361.515137725,4384.99
5,Nonrefrigerated warehouse,6000,133.90971667499997,3356.48
2,Office,250000,77.34590324352,14.73
26,Service,2400,8.826279937499999,2934.43
17,Nursing,41500,529.9402582279517,727.99
6,Food sales,6100,416.4255315442623,2934.43
26,Service,21000,140.6801427985714,611.8
14,Education,210000,183.72040735971427,44.12
14,Education,19000,296.3353773268421,1195.68
91,Other,164000,38.526276728414636,263.04
26,Service,42000,493.97784897428573,240.4
18,Lodging,600000,237.12762281954997,8.91
26,Service,4800,214.66656346874998,6534.79
2,Office,600000,448.54277140589994,7.62
26,Service,1500000,188.21001293765997,14.73
14,Education,230000,211.99444172099996,44.12
18,Lodging,270000,390.4690980606666,8.74
12,Religious worship,3200,266.516521959375,240.4
2,Office,194000,447.3496598293298,14.73
13,Public assembly,20750,208.0354046660241,1461.43
13,Public assembly,114000,548.7409858436841,240.4
2,Office,110000,312.79205225781817,14.73
8,Outpatient health care,20000,91.631691189,488.97
5,Nonrefrigerated warehouse,60000,93.573025875,611.8
91,Other,54000,199.25885949333332,134.42
7,Public order and safety,600000,370.79275361655,8.91
13,Public assembly,2750,16.165266283636363,2934.43
2,Office,290000,119.78975733113792,14.73
13,Public assembly,14000,68.50732971857143,2934.43
2,Office,3750,126.10368371999998,4084.96
14,Education,345000,350.77756104652167,5.91
15,Food service,4900,686.2140999367346,1195.14
18,Lodging,108000,157.2094307875,7.62
2,Office,63000,125.59474319999998,240.4
13,Public assembly,106000,327.90332186490565,14.73
17,Nursing,53000,212.96958501056605,134.42
2,Office,4500,215.79989374,2934.43
5,Nonrefrigerated warehouse,170000,149.1848661875294,27.28
5,Nonrefrigerated warehouse,118000,85.42536151652543,68.56
4,Laboratory,186000,685.1425697530644,50.29
18,Lodging,240000,345.5627791815,8.91
5,Nonrefrigerated warehouse,65000,191.3110811930769,27.28
8,Outpatient health care,162000,106.94089309166667,69.38
14,Education,330000,120.87333526254545,44.12
14,Education,144000,63.616491563125,324.59
13,Public assembly,150000,227.21456033879997,115.51
26,Service,1600,158.05087385624998,2934.43
18,Lodging,5700,151.57085482105262,4384.99
14,Education,8000,192.52699364249997,4384.99
2,Office,50000,305.261787825,240.4
8,Outpatient health care,500001,618.3137346799306,14.73
2,Office,35000,74.98829967685714,611.8
14,Education,69000,265.7543198673913,97.52
13,Public assembly,44000,190.95844546022727,240.4
91,Other,164000,154.06005782963413,58.57
2,Office,700000,137.87761105131426,7.75
18,Lodging,2200,365.37321722727273,4384.99
5,Nonrefrigerated warehouse,265000,14.95269707943396,27.28
14,Education,80000,229.39606710562498,97.52
23,Strip shopping mall,98000,520.3407683341836,395.28
18,Lodging,132000,142.48929333545453,97.52
