building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
BATIMENT0000000240880382_part0,196ae7db347bb314,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,d7b6673d41370c83679eb691d06ab1024e32f91f76362a493fe0f506d5d46754,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,602.8165,602.8165,602.8165,602.8165,13,
BATIMENT0000000240880383_part0,55c88e54601e4169,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,89d32f66c373dad65a8ff6873b7014d67c3695a8af987b8b5a9195375fa48f91,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,2754.6723,2754.6723,2754.6723,2754.6723,14,
BATIMENT0000000240880384_part0,eb1dd6ffa1a5f622,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,f6ba6262e018cc3b49a423dbcfe37c5bb78908b2c297a44d9dae21ac02c5ac53,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,5400.5304,5400.5304,5400.5304,5400.5304,19,near_duplicate_vertex_tolerated_box
BATIMENT0000000240880388_part0,6d367453a0ff36d2,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,4419b8445efdac5271dcd65434b32fe22db6d861791fa260e6d1de4b535b745e,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,2528.2701,2528.2701,2528.2701,2528.2701,17,
BATIMENT0000000240880393_part0,3de72deabdd1d19f,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,726e6fbc9182d4d7590d5b606e9e2d963ec14f31e62a4b7feda24c547fea4c9d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,1993.9126,1993.9126,1993.9126,1993.9126,15,
BATIMENT0000000240880395_part0,cfa0f4f4fe5df272,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,19248fc6267496c5e528f9fccff219f2fe11a9de560700deb579daea9d4515ba,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,3189.682,3189.682,3189.682,3189.682,17,
BATIMENT0000000240880400_part0,6113bc866b5f52e1,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,f4e9089e77a8f305b7f00a3fd0995a4cbd5dbdc478215ec42d48a866c08a72a3,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,2932.5856,2932.5856,2932.5856,2932.5856,13,near_duplicate_vertex_tolerated_box
BATIMENT0000000240880404_part0,91c6724e25159d0e,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,6526b50c1c5b6c0c76c02f733eaebe6b47e9b14d07394074795fd371a4c32f38,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,708.917,708.917,708.917,708.917,8,
BATIMENT0000000240880408_part0,4d9322593e27efa0,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,db494de3c97eb5fe7325622a64c81b8b772e816f21b93ceec94872d22c6622c2,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,2203.6117,2203.6117,2203.6117,2203.6117,13,
BATIMENT0000000240880566_part0,6b282db012f29f1e,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,8eb05fbd68db5bdb67773415d0c5201cf0698f1ebc5fc35f29ad5f014392da03,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,307.8902,307.8902,307.8902,307.8902,15,
BATIMENT0000000240880567_part0,6a7a8d30f72ba0b3,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,c80a422dd9ea50afb5b6f2e71d1fc57b45ce50c2acf13685d89b8950c96aab1c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,460.9786,460.9786,460.9786,460.9786,18,near_duplicate_vertex_tolerated_box
BATIMENT0000000240880569_part0,3d3967936ab33189,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,300c40e8e5507ad197d485c34cee5d9d54d028de2f8acf9e69672bb98b4e8456,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,2574.7435,2574.7435,2574.7435,2574.7435,11,
BATIMENT0000000240880570_part0,70f15bd8ccc42132,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,7c557c006ed12c8007b0b24b3017c431dca1477fdaa2ae025c416d50bf794e77,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,1382.1825,1382.1825,1382.1825,1382.1825,15,
BATIMENT0000000240880572_part0,dd1d33feca834272,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,d36d5095d5a31b96f7049d1f843ca1c25c6ec4cae60294a1a165e0019a0cd37d,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,361.5122,361.5122,361.5122,361.5122,16,near_duplicate_vertex_tolerated_box
BATIMENT0000000240880573_part0,72e42190402e4f01,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,c14c54ab3cd697fab3cb3b6ccd61618a2970296f4255e003e3b6eb8e89607811,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,465.0425,465.0425,465.0425,465.0425,14,
BATIMENT0000000240880615_part0,b83be4812355ecd0,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,e3c676e669bcf3d55fa9e8d8d56e3240e854c37424cac35643da1fe8bb176be8,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,244.176,244.176,244.176,244.176,13,
BATIMENT0000000240880624_part0,d7b28c6c542f9a86,FR.N.AB.01.Gen.ReEx.001.001,AB,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,52ec6c0759d350140013aadec5b98256c31758b22c3bf5eebee739a0a93e863a,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,896.1726,896.1726,896.1726,896.1726,15,
BATIMENT0000000240880639_part0,c8ecee0a0419bf90,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,fb269ad1766a497140643b5a1e9f27f3099781803533f9a27eb6e90acd56ed09,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,202.6024,202.6024,202.6024,202.6024,16,
BATIMENT0000000240880640_part0,9347344a53315012,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,7c88edc03b2248749f0734ac11e45caf28c23defb6075e4f562533a49c94a93c,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,447.7399,447.7399,447.7399,447.7399,16,
BATIMENT0000000240881070_part0,8b07eace1dde9a4c,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,39a9ad9bb599e3aba10a76f939eb1ad6cf86a6e409372ae287c1c046a99801d2,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,492.4714,492.4714,492.4714,492.4714,17,
BATIMENT0000000240881079_part0,ea37bfa177fbb9b9,FR.N.MFH.01.Gen.ReEx.001.001,MFH,FR.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,4430eeaa6ec6e1fb413f4064addcc9743b30258c81273e32365bd98cc7e02477,2cf15311b9c6d1124f856d80e6deed5e4a7d6f48389681305b90b6dbee88cc2c,,648.5084,648.5084,648.5084,648.5084,16,
