Date/Time,BATIMENT0000000240877101_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,3396244.488378492,2176566.5823546294,2440580.3494652123,6238996.705754296 
 01/01  02:00:00,3970862.949055192,2781789.294691451,3073936.385674076,7293409.46705766 
 01/01  03:00:00,4299857.056489014,3140700.3824532498,3445829.146597701,7837888.131348851 
 01/01  04:00:00,4534345.223240792,3404492.959842241,3720795.8039844674,8254085.391570239 
 01/01  05:00:00,4709955.506086175,3612344.893014888,3937700.8890909054,8548760.033470284 
 01/01  06:00:00,4940808.507327904,3875540.561295222,4212297.723168418,8938670.368965141 
 01/01  07:00:00,5071202.931382889,4034044.38490677,4379455.668179298,9184274.323989818 
 01/01  08:00:00,5221078.972054022,4210196.601973189,4564806.650223438,9469461.831710067 
 01/01  09:00:00,5473476.3460595105,4492214.770074282,4860857.1576720225,9903467.0952112 
 01/01  10:00:00,5314348.53793135,4408532.925992444,4796349.843648967,9594925.60459576 
 01/01  11:00:00,3118697.6125181597,2413660.072072517,2819372.5621959986,6003311.625903431 
 01/01  12:00:00,321729.9873026699,131223.05634446384,271629.93894652755,1194155.21592687 
 01/01  13:00:00,0.0,0.0,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0,0.0 
 01/01  18:00:00,577422.3876264441,0.0,0.0,1898118.5904156973 
 01/01  19:00:00,1355150.0765043078,95159.86665239761,240603.31038302978,2979799.515237299 
 01/01  20:00:00,1829338.9280343137,586191.6997215173,804252.6787945186,3694784.7163115568 
 01/01  21:00:00,2173892.49625821,951215.3450592598,1156287.8220080866,4170483.221957489 
 01/01  22:00:00,2405652.037583222,1160492.6578459274,1376056.0253938357,4485914.228265467 
 01/01  23:00:00,2668826.4541643267,1415117.3251862726,1646957.468549913,4954900.454116534 
 01/01  24:00:00,2850844.7886293526,1610612.4893017262,1851137.3631355905,5251335.801355377 
 01/02  01:00:00,2985294.4611229063,1775138.4002473352,2017505.331291561,5364808.282388255 
