rule,count,detail,attribution
refurbishment_variants,166,"Variants ending .002 or .003 excluded; .001 is the existing-state variant.","Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)"
unclassified_es_test_region,4,"ES.TestRegion.MUH1..MUH4.SyAv.001.001 have no construction-year class.","Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)"
