Time,WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Load [W],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],WAY_432411824_F0_WHOLE::Des Latent Heat Load [W],WAY_432411824_F0_WHOLE::Des Latent Cool Load [W],WAY_432411824_F0_WHOLE::Des Latent Heat Mass Flow [kg/s],WAY_432411824_F0_WHOLE::Des Latent Cool Mass Flow [kg/s],WAY_432411824_F0_WHOLE::Des Heat Load No DOAS [W],WAY_432411824_F0_WHOLE::Des Sens Cool Load No DOAS [W],WAY_432411824_F0_WHOLE::Des Latent Heat Load No DOAS [W],WAY_432411824_F0_WHOLE::Des Latent Cool Load No DOAS [W],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],WAY_432411824_F0_WHOLE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,6.215275E+03,0.000000E+00,2.031210E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999218E+01,4.512663E+01,3.088538E+01,1.512151E+01
00:20:00,6.279344E+03,0.000000E+00,2.052142E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999223E+01,4.517500E+01,3.064773E+01,1.530632E+01
00:30:00,6.329693E+03,0.000000E+00,2.068592E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999227E+01,4.520879E+01,3.041972E+01,1.549032E+01
00:40:00,6.366243E+03,0.000000E+00,2.080532E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999229E+01,4.523277E+01,3.019740E+01,1.567455E+01
00:50:00,6.388697E+03,0.000000E+00,2.087865E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999230E+01,4.525209E+01,2.997840E+01,1.586048E+01
01:00:00,6.396666E+03,0.000000E+00,2.090466E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999230E+01,4.526951E+01,2.976174E+01,1.604887E+01
01:10:00,6.424903E+03,0.000000E+00,2.099695E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999229E+01,4.528607E+01,2.954777E+01,1.623923E+01
01:20:00,6.453350E+03,0.000000E+00,2.108992E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999229E+01,4.530048E+01,2.920188E+01,1.658927E+01
01:30:00,6.481909E+03,0.000000E+00,2.118325E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999228E+01,4.531241E+01,2.883004E+01,1.700306E+01
01:40:00,6.510550E+03,0.000000E+00,2.127685E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999226E+01,4.532257E+01,2.839396E+01,1.752783E+01
