osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,total_eui_kwh_m2,fans_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/192352435,1716.1330551490182,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",22.4370389121157,22.23129232093915,26.4651005984,44.06327609260918,115.19670792406404,0.6061584359433676,4.061104043092942,8.2884482534311,9.866930525900274,16.428023099055295,38.64450592147961,0.0,success,,-103.48869898759433,3.3958148006434815e-05
way/205360641,2151.7744609536085,2.0,7.0,LargeOffice,perimeter_core,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback",13.40174451202195,17.63796812919341,26.465100598330263,44.063276092493055,101.56808933203868,0.6350241389591861,2.425715756675973,6.575928381670921,9.866930525874276,16.428023099012,35.29659776323317,0.0,success,,-103.48867219918085,-8.0919978984561e-05
way/206374244,557.3319341815726,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",31.776934335802377,24.602180082681052,26.465100598399996,44.06327609260916,126.90749110949258,0.737115952283007,5.75162511478023,9.172381595865811,9.866930525900273,16.428023099055288,41.2189603356016,0.0,success,,-103.48873850184974,9.66420965811112e-06
way/206374820,1255.1439935671974,1.0,3.5,MediumOffice,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",18.946571447056193,20.033746562672107,26.465100598399996,44.063276092609165,109.50869470073746,0.5267390846629623,3.429329431917171,7.469141663467916,9.866930525900273,16.428023099055288,37.193424720340644,0.0,success,,-103.48865915712842,3.044777510152379e-05
way/206374822,2771.7169482357604,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",14.138420435815494,18.35846299111815,26.465100598400003,44.06327609260917,103.02526011794282,0.44154752908944445,2.5590540988826045,6.8445490400525975,9.866930525900276,16.42802309905529,35.698556763890764,0.0,success,,-103.4887104159185,3.979270188859447e-05
way/206375383,781.7045473644088,3.0,10.5,Courthouse,perimeter_core,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",59.33474812924064,59.94171573242756,19.67665488982745,28.256190303263576,167.20930905475922,1.1956779520018526,10.739589411392554,22.347949993089504,7.336007889264589,10.534698918385152,50.9582462121318,6.167935775549033e-05,success,,-103.48875435411018,3.1047966441039815e-05
way/206375384,719.8484334412722,2.0,7.0,MediumOffice,perimeter_core,no_height,49.56036385103189,36.704037598172235,26.46510059819614,44.06327609226973,156.79277813967,1.3139839864557532,8.970425857036771,13.684292929651358,9.866930525824271,16.42802309892874,48.94967241144114,3.093612989085185e-05,success,,-103.48876105913747,2.0704777570273845e-05
way/206375385,946.797796150249,2.0,7.0,MediumOffice,perimeter_core,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",41.08591251114207,33.930154879806985,26.465100152178813,44.06327534966972,145.54444289279758,1.1466934915345544,7.4365501645167145,12.650111783528677,9.866930359536523,16.428022822066662,46.38161512964858,1.3343414517195209e-05,success,,-103.4887475511437,-3.552990452603976e-05
way/206375846,281.2572702869536,1.0,3.5,FullServiceRestaurant,single_zone,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",26.46834420975582,57.81091238791854,72.73404014249999,85.23808021557309,242.25137695574745,1.287033760361222,4.790770301965804,21.553526843762892,27.117286718247986,31.779142970611684,85.24072683458837,0.0,success,,-103.48874388489732,2.400397505337958e-09
way/206376319,285.1663318204128,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",43.80190115296865,22.53524841130002,26.465100598399996,27.764778058354107,120.56702822102278,0.9101100837849753,7.9281441086873246,8.401771594688164,9.866930525900273,10.351486673940045,36.54833290321581,0.0,success,,-103.4887339043201,-1.7876030724176922e-05
