site_id,country,city,unit_type,unit_name,unit_code,classifier,geometry_source,boundary_source,area_km2,west,south,east,north,centroid_lon,centroid_lat,total_buildings,residential,unknown_use,nonresidential,res_share,res_per_km2,dwellings,dwellings_source,res_footprint_m2,median_res_footprint_m2,storeys_coverage,mean_storeys,gfa_proxy_m2,gfa_proxy_m2_per_km2,boundary_sha256
ES-MAD-BERRUGUETE,ES,Madrid,barrio,Berruguete,10671427,OSM building tag via openubem/data/osm_to_use_class.json,OpenStreetMap building ways/relations (Overpass),OSM admin_level=10 barrio relation (Ayuntamiento de Madrid boundary set),0.6043,-3.711403,40.453976,-3.698399,40.463907,-3.704917,40.459605,1434,1195,188,51,0.8333,1977.5,,,272822,169.7,0.861,3.81,1047020,1732676,2b04b1a2b22dd177bb5cdaa7110578ad015cbcfdb2e66fa07de4e7f13884c738
GB-LDN-STDUNSTANS,GB,London,electoral ward,St Dunstan's (Tower Hamlets),E05009329,OSM building tag via openubem/data/osm_to_use_class.json,OpenStreetMap building ways/relations (Overpass),"ONS Open Geography Portal, Wards Dec-2022 BFC (full resolution)",0.6791,-0.050013,51.512597,-0.033744,51.524248,-0.040004,51.518428,1372,1241,78,53,0.9045,1827.5,,,141285,48.7,0.908,2.5,411958,606637,f5286cf28ff4cea079a87b68b9f0942e31542d2833e9ede1350830665e140bbc
IT-BOL-GALVANI2,IT,Bologna,area statistica,GALVANI-2 (Santo Stefano / Galvani),54,"ISTAT 2011 census section variables E1/E3 (edifici, edifici ad uso residenziale)",Comune di Bologna CTC edifici volumetrici (c_a944ctc_edifici_pl),"Comune di Bologna, aree statistiche (90 units)",0.9006,11.339551,44.484404,11.358017,44.492249,11.349303,44.4882,1166,1010,0,156,0.8662,1121.5,8963,ISTAT E27 (interni in edifici residenziali),397592,96.5,1.0,,,,7d7dcb8d9553ca2325f71ee5b7ca82ef3180ae4365627ef247007523d956714b
FR-LYO-HAUTCOEURPENTES,FR,Lyon,quartier,"Haut et Coeur des Pentes (Croix-Rousse, Lyon 1er)",7016,IGN BD TOPO V3 batiment.usage_1 / usage_2,IGN BD TOPO V3 batiment (Geoplateforme WFS),"Metropole de Lyon, adr_voie_lieu.adrquartier",0.3753,4.823612,45.768891,4.83745,45.774784,4.831888,45.772313,868,544,278,52,0.6267,1449.6,6387,BD TOPO nombre_de_logements (coverage 1.000),106889,154.4,1.0,5.45,637506,1698727,8832ec13e7bb96aff3cca4fee52b76d0f8644bffb9157a56c6eed2c77f4b0739
