city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov
Lyon,871,Quartier Croix-Rousse Est et Rhône,0.5911,1497,659,795,43,0.4402,0.5311,1114.9,0.897,0.0
Lyon,7016,Quartier Haut et Coeur des Pentes,0.3753,853,380,434,39,0.4455,0.5088,1012.6,0.989,0.0
Lyon,2076,Quartier Brotteaux,0.5582,1053,539,450,64,0.5119,0.4274,965.5,0.67,0.002
Lyon,3960,Quartier Sans-Souci Dauphiné,1.0671,1554,840,453,261,0.5405,0.2915,787.2,0.898,0.002
Lyon,7017,Quartier Bas des Pentes Presqu'île,0.4343,729,319,382,28,0.4376,0.524,734.5,0.843,0.003
Lyon,4700,Quartier Bellecour Cordeliers,0.6063,856,436,384,36,0.5093,0.4486,719.2,0.498,0.002
Lyon,1108,Quartier Guillotière,1.3162,1743,934,636,173,0.5359,0.3649,709.6,0.879,0.005
Lyon,8166,Quartier Bellecombe Village,0.3879,578,274,242,62,0.474,0.4187,706.4,0.617,0.0
Lyon,19,Quartier Mutualité Préfecture Moncey,0.6496,804,458,299,47,0.5697,0.3719,705.1,0.71,0.004
Lyon,6787,Quartier Villette Paul Bert,1.0723,1298,725,395,178,0.5586,0.3043,676.1,0.866,0.001
Lyon,1178,Quartier Bellecour Carnot,0.9438,1181,611,497,73,0.5174,0.4208,647.4,0.457,0.003
Lyon,3855,Quartier Voltaire Part-Dieu,1.3077,1143,660,302,181,0.5774,0.2642,504.7,0.909,0.005
Lyon,870,Quartier Croix-Rousse Centre,0.6286,1371,294,989,88,0.2144,0.7214,467.7,0.561,0.0
Lyon,3151,Quartier Monplaisir,1.2452,1490,567,794,129,0.3805,0.5329,455.3,0.658,0.0
Lyon,6768,Quartier Jean Macé,1.1805,1063,532,393,138,0.5005,0.3697,450.6,0.831,0.008
Lyon,6793,Quartier Montchat,2.2676,4725,1009,3387,329,0.2135,0.7168,445.0,0.407,0.001
Lyon,8075,Quartier Saxe Roosevelt,0.5769,724,253,436,35,0.3494,0.6022,438.6,0.387,0.004
Lyon,652,Quartier Quartiers Anciens,0.9274,1123,346,704,73,0.3081,0.6269,373.1,0.376,0.02
Lyon,2859,Quartier Ouest des Pentes,0.7016,1017,260,694,63,0.2557,0.6824,370.6,0.708,0.004
Lyon,1649,Quartier Bachut Transvaal,1.2162,1559,426,947,186,0.2733,0.6074,350.3,0.57,0.026
Lyon,1826,Quartier La Plaine Santy,0.8457,1317,222,1020,75,0.1686,0.7745,262.5,0.486,0.0
Lyon,3330,Quartier Grand-Trou Moulin-à-Vent Petite-Guille,1.1424,1123,282,774,67,0.2511,0.6892,246.8,0.259,0.004
Lyon,6895,Quartier Vaise Rochecardon Industrie,2.4776,2480,595,1647,238,0.2399,0.6641,240.2,0.565,0.003
Lyon,6792,Quartier Etats-Unis,1.3155,960,273,606,81,0.2844,0.6312,207.5,0.63,0.004
Lyon,3204,Quartier Parc Duquesne,2.2424,1056,373,562,121,0.3532,0.5322,166.3,0.713,0.005
Lyon,3781,Quartier Laënnec Mermoz,0.8941,748,127,551,70,0.1698,0.7366,142.0,0.583,0.0
Lyon,4773,Quartier Champvert Gorge-de-Loup,1.7531,1205,245,869,91,0.2033,0.7212,139.7,0.49,0.0
Lyon,1454,Quartier Ménival Battières La Plaine,1.3199,1539,151,1305,83,0.0981,0.848,114.4,0.497,0.0
Lyon,6821,Quartier Champvert Point-du-Jour Jeunet,1.8828,1873,213,1563,97,0.1137,0.8345,113.1,0.178,0.005
Lyon,62,Quartier Perrache Confluence,1.8075,804,159,477,168,0.1978,0.5933,88.0,0.736,0.006
Lyon,6767,Quartier Colline des Funiculaires,2.0506,2012,176,1702,134,0.0875,0.8459,85.8,0.267,0.0
Lyon,6791,Quartier Gerland,7.1129,1854,562,924,368,0.3031,0.4984,79.0,0.772,0.0
Lyon,279,Quartier Croix-Rousse Saône,0.6084,217,40,153,24,0.1843,0.7051,65.7,0.375,0.0
Lyon,6897,Quartier La Duchère,1.1308,381,60,255,66,0.1575,0.6693,53.1,0.65,0.017
Lyon,847,Quartier Croix-Rousse Ouest,1.1048,1129,53,985,91,0.0469,0.8725,48.0,0.321,0.0
Lyon,6898,Quartier Saint-Rambert Ile-Barbe,2.1508,1733,91,1589,53,0.0525,0.9169,42.3,0.429,0.022
