city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov
Madrid,10671427,Berruguete,0.6043,1433,1194,188,51,0.8332,0.1312,1975.9,0.861,0.0
Madrid,8816048,Embajadores,1.0222,1787,1678,27,82,0.939,0.0151,1641.6,0.241,0.0
Madrid,10668283,Bellas Vistas,0.7165,1506,1025,407,74,0.6806,0.2703,1430.6,0.418,0.0
Madrid,8815803,Universidad,0.94,1588,1158,316,114,0.7292,0.199,1232.0,0.127,0.001
Madrid,8816045,Palos de la Frontera,0.6522,894,770,41,83,0.8613,0.0459,1180.6,0.214,0.0
Madrid,8815802,Justicia,0.7358,1030,832,102,96,0.8078,0.099,1130.7,0.109,0.004
Madrid,8816050,Sol,0.4461,693,501,81,111,0.7229,0.1169,1122.9,0.287,0.0
Madrid,10671426,Valdeacederas,1.161,1776,1278,465,33,0.7196,0.2618,1100.8,0.121,0.0
Madrid,8816049,Cortes,0.5665,800,612,82,106,0.765,0.1025,1080.4,0.114,0.0
Madrid,8815807,Gaztambide,0.5083,567,516,32,19,0.9101,0.0564,1015.2,0.037,0.0
Madrid,9241615,Chopera,0.5764,541,502,6,33,0.9279,0.0111,870.9,0.44,0.0
Madrid,10671425,Almenara,1.0003,951,850,65,36,0.8938,0.0683,849.7,0.048,0.0
Madrid,8815800,Lista,0.5287,479,436,20,23,0.9102,0.0418,824.6,0.197,0.0
Madrid,8815805,Trafalgar,0.6181,842,502,317,23,0.5962,0.3765,812.1,0.608,0.0
Madrid,8815798,Goya,0.7708,766,604,139,23,0.7885,0.1815,783.6,0.189,0.0
Madrid,4482799,Ibiza,0.4968,409,363,12,34,0.8875,0.0293,730.7,0.253,0.0
Madrid,8816051,Palacio,1.4623,1171,1001,63,107,0.8548,0.0538,684.6,0.263,0.001
Madrid,4482802,Pacífico,0.7551,564,481,36,47,0.8528,0.0638,637.0,0.347,0.002
Madrid,8815799,Recoletos,0.8741,740,529,159,52,0.7149,0.2149,605.2,0.104,0.0
Madrid,10671389,Castillejos,0.7014,526,410,90,26,0.7795,0.1711,584.5,0.502,0.0
Madrid,4482801,Niño Jesús,0.638,437,363,22,52,0.8307,0.0503,568.9,0.242,0.0
Madrid,8816046,Las Acacias,1.068,651,604,8,39,0.9278,0.0123,565.5,0.465,0.0
Madrid,8815806,Arapiles,0.5806,539,321,204,14,0.5955,0.3785,552.9,0.034,0.0
Madrid,8815801,Castellana,0.7709,559,416,111,32,0.7442,0.1986,539.6,0.183,0.0
Madrid,10664349,Cuatro Caminos,1.1755,979,614,281,84,0.6272,0.287,522.3,0.464,0.0
Madrid,9241613,Delicias,1.0444,638,509,56,73,0.7978,0.0878,487.4,0.279,0.0
Madrid,8816047,Imperial,0.9679,465,388,24,53,0.8344,0.0516,400.9,0.206,0.0
Madrid,4482797,Adelfas,0.6195,326,245,56,25,0.7515,0.1718,395.5,0.229,0.0
Madrid,9238815,Fuente del Berro,0.8537,1097,337,743,17,0.3072,0.6773,394.8,0.047,0.0
Madrid,9238816,Guindalera,1.5959,1459,594,836,29,0.4071,0.573,372.2,0.096,0.0
Madrid,8815804,Almagro,0.9356,721,347,325,49,0.4813,0.4508,370.9,0.063,0.0
Madrid,8815808,Ríos Rosas,0.9872,638,313,287,38,0.4906,0.4498,317.1,0.211,0.0
Madrid,4482798,Estrella,1.0213,336,263,35,38,0.7827,0.1042,257.5,0.144,0.0
Madrid,10742399,Nueva España,1.7925,1242,383,803,56,0.3084,0.6465,213.7,0.462,0.0
Madrid,10742401,Prosperidad,1.0954,884,233,629,22,0.2636,0.7115,212.7,0.305,0.0
Madrid,10742398,Castilla,2.1803,524,349,63,112,0.666,0.1202,160.1,0.404,0.0
Madrid,10742400,Hispanoamérica,1.7175,1034,247,738,49,0.2389,0.7137,143.8,0.453,0.0
Madrid,10742402,El Viso,1.714,1296,231,1009,56,0.1782,0.7785,134.8,0.1,0.0
Madrid,9241614,Legazpi,1.4103,408,186,178,44,0.4559,0.4363,131.9,0.382,0.0
Madrid,4482800,Jerónimos,1.9167,365,200,64,101,0.5479,0.1753,104.3,0.155,0.005
Madrid,10742491,Ciudad Jardín,0.709,1026,66,942,18,0.0643,0.9181,93.1,0.03,0.0
Madrid,8815809,Vallehermoso,1.0721,485,64,391,30,0.132,0.8062,59.7,0.109,0.016
Madrid,9241616,Atocha,0.7871,72,21,12,39,0.2917,0.1667,26.7,0.143,0.0
Madrid,13677494,Comillas,0.6661,1,0,1,0,0.0,1.0,0.0,0.0,0.0
