code,name,quartiere,zona,area_km2,n_sez,edifici_totali,edifici_utilizzati,edifici_residenziali,res_per_km2,res_share_of_all_buildings,edifici_non_residenziali_utilizzati,res_muratura_portante,res_calcestruzzo_armato,res_altro_materiale,res_ante1919,res_1919_1945,res_1946_1960,res_1961_1970,res_1971_1980,res_1981_1990,res_1991_2000,res_2001_2005,res_post2005,res_1piano,res_2piani,res_3piani,res_4piu_piani,res_1interno,res_2interni,res_3_4interni,res_5_8interni,res_9_15interni,res_16piu_interni,interni_totali,res_stato_ottimo,res_stato_buono,res_stato_mediocre,res_stato_pessimo
36,VILLAGGIO DELLA BARCA,Borgo Panigale - Reno,Barca,1.3028676148399074,35,192,190,148,113.595578180202,0.7708333333333334,42,33,95,20,0,2,62,61,19,3,0,1,0,2,18,34,94,18,7,10,18,39,56,2663,95,47,6,0
63,SCANDELLARA,San Donato - San Vitale,S. Vitale,0.7937728797303677,12,170,155,90,113.38255853559976,0.5294117647058824,65,83,3,4,18,21,18,5,4,3,9,12,0,2,36,39,13,29,24,12,14,8,3,357,60,24,2,4
79,FOSSOLO,Savena,Mazzini,1.2621814648871053,24,222,207,141,111.71135365437459,0.6351351351351351,66,41,80,20,7,8,22,9,60,5,25,3,2,3,10,12,116,8,6,7,13,19,88,4300,78,57,6,0
7,DUCATI-VILLAGGIO INA,Borgo Panigale - Reno,Borgo Panigale,0.723561822000904,16,139,139,79,109.1821010975083,0.5683453237410072,60,16,63,0,1,5,44,23,1,0,1,4,0,2,15,3,59,9,1,0,11,17,41,1584,43,34,2,0
80,DUE MADONNE,Savena,Mazzini,0.510878568874458,14,90,89,55,107.65767708982828,0.6111111111111112,34,27,28,0,0,0,37,1,7,8,0,1,1,1,2,4,48,1,3,1,2,11,37,1420,16,36,3,0
87,MONTE DONATO,Savena,S. Ruffillo,3.075714005176862,17,361,355,312,101.43986062256108,0.8642659279778393,43,220,67,25,54,55,77,49,39,13,21,1,3,15,144,102,51,172,62,48,21,6,3,707,100,156,52,4
69,CROCE DEL BIACCO,San Donato - San Vitale,S. Vitale,1.401008192148083,18,227,219,134,95.6454078934012,0.5903083700440529,85,84,50,0,32,5,36,19,12,4,7,2,17,9,42,26,57,26,19,23,21,8,37,1909,72,49,12,1
12,CASERME ROSSE-MANIFATTURA,Navile,Bolognina,1.216487022581093,18,205,183,112,92.06838866423985,0.5463414634146342,71,43,68,1,7,9,47,28,6,10,2,3,0,7,28,19,58,23,12,11,17,31,18,976,54,42,12,4
44,PILASTRO,San Donato - San Vitale,San Donato,1.2530446009542058,25,208,206,110,87.78618088792204,0.5288461538461539,96,35,75,0,3,12,19,28,11,15,5,12,5,4,27,10,69,23,4,11,14,7,51,3101,39,58,10,3
84,CAVEDONE,Savena,Mazzini,0.35065735564502193,10,48,48,29,82.701815698848,0.6041666666666666,19,9,14,6,0,5,1,10,13,0,0,0,0,0,2,3,24,2,1,0,2,1,23,1411,5,21,3,0
64,VIA LARGA,San Donato - San Vitale,S. Vitale,1.0163852323625036,12,124,121,79,77.72643431307145,0.6370967741935484,42,14,61,4,1,0,9,0,0,0,22,46,1,0,16,24,39,11,3,23,7,3,32,1057,71,5,3,0
1,LAVINO DI MEZZO,Borgo Panigale - Reno,Borgo Panigale,0.9228198650791944,2,78,78,68,73.68718703748796,0.8717948717948718,10,47,2,19,30,16,11,3,2,0,2,4,0,3,42,19,4,21,10,21,11,5,0,238,37,29,2,0
21,MULINO DEL GOMITO,Navile,Corticella,0.554800100216837,5,67,56,28,50.46862823034194,0.417910447761194,28,18,10,0,5,2,12,7,0,1,1,0,0,2,13,4,9,10,3,7,2,2,4,185,11,7,8,2
65,ROVERI,San Donato - San Vitale,S. Vitale,3.0915773317064392,40,510,486,141,45.60778685816443,0.27647058823529413,345,105,35,1,11,27,58,3,3,3,17,9,10,7,115,14,5,84,26,19,9,2,1,299,86,40,14,1
27,LAZZARETTO,Navile,Lame,1.2669023308229288,11,104,100,56,44.202302448701516,0.5384615384615384,44,48,8,0,4,11,33,0,0,0,4,2,2,3,26,23,4,26,12,8,7,2,1,164,29,23,4,0
16,EX MERCATO ORTOFRUTTICOLO,Navile,Bolognina,0.7061737417581532,4,44,41,25,35.402052670151356,0.5681818181818182,16,25,0,0,0,5,5,14,0,0,0,1,0,1,5,2,17,4,2,1,3,13,2,232,4,19,0,2
