city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov
London,E05009329,St Dunstan's,0.6814,1400,1269,78,53,0.9064,0.0557,1862.3,0.908,0.001
London,E05009324,Island Gardens,1.0393,2021,1852,52,117,0.9164,0.0257,1781.9,0.856,0.001
London,E05013705,Hillrise,1.0203,2207,1611,506,90,0.73,0.2293,1578.9,0.496,0.001
London,E05013712,Tollington,0.816,1696,1042,615,39,0.6144,0.3626,1277.0,0.592,0.0
London,E05009386,Victoria,0.7632,1272,970,184,118,0.7626,0.1447,1270.9,0.687,0.002
London,E05009380,Lea Bridge,1.0613,1841,1179,546,116,0.6404,0.2966,1110.9,0.566,0.0
London,E05009367,Brownswood,0.4873,833,536,273,24,0.6435,0.3277,1099.8,0.16,0.0
London,E05009334,Stepney Green,0.6569,842,694,79,69,0.8242,0.0938,1056.4,0.565,0.0
London,E05009372,Hackney Central,0.7774,1026,658,243,125,0.6413,0.2368,846.4,0.734,0.0
London,E05009374,Hackney Wick,1.6325,1635,1350,150,135,0.8257,0.0917,827.0,0.714,0.0
London,E05009325,Lansbury,1.2689,1175,1004,104,67,0.8545,0.0885,791.2,0.577,0.002
London,E05013701,Canonbury,0.8748,1264,688,539,37,0.5443,0.4264,786.5,0.445,0.001
London,E05013702,Clerkenwell,0.9351,1644,725,749,170,0.441,0.4556,775.3,0.779,0.0
London,E05009326,Limehouse,0.3983,361,302,31,28,0.8366,0.0859,758.3,0.871,0.0
London,E05009370,Dalston,0.5313,748,386,298,64,0.516,0.3984,726.5,0.407,0.005
London,E05013704,Highbury,1.0835,1590,755,803,32,0.4748,0.505,696.8,0.279,0.0
London,E05009376,Homerton,0.8023,895,557,123,215,0.6223,0.1374,694.2,0.989,0.005
London,E05013713,Tufnell Park,0.8487,1214,585,593,36,0.4819,0.4885,689.3,0.528,0.0
London,E05013709,Mildmay,0.8983,996,603,334,59,0.6054,0.3353,671.3,0.415,0.002
London,E05013703,Finsbury Park,0.8409,1286,536,705,45,0.4168,0.5482,637.4,0.272,0.0
London,E05009332,Shadwell,0.6276,609,397,161,51,0.6519,0.2644,632.5,0.652,0.003
London,E05009327,Mile End,1.2062,981,761,73,147,0.7757,0.0744,630.9,0.75,0.0
London,E05009320,Bow West,1.3585,1191,842,251,98,0.707,0.2107,619.8,0.462,0.0
London,E05013711,St Peter's & Canalside,0.6484,1140,392,701,47,0.3439,0.6149,604.6,0.469,0.0
London,E05009381,London Fields,1.0235,1239,616,474,149,0.4972,0.3826,601.9,0.482,0.002
London,E05009317,Bethnal Green,1.2091,1197,725,287,185,0.6057,0.2398,599.6,0.674,0.007
London,E05009336,Whitechapel,0.9577,1152,557,447,148,0.4835,0.388,581.6,0.424,0.0
London,E05013708,Laycock,0.8688,1573,503,1010,60,0.3198,0.6421,579.0,0.243,0.002
London,E05009321,Bromley North,0.6,535,342,145,48,0.6393,0.271,570.0,0.848,0.0
London,E05009318,Blackwall & Cubitt Town,1.3525,1079,753,80,246,0.6979,0.0741,556.7,0.887,0.0
London,E05013706,Holloway,0.7843,850,429,391,30,0.5047,0.46,547.0,0.284,0.0
London,E05009371,De Beauvoir,0.5928,1040,303,695,42,0.2913,0.6683,511.1,0.287,0.0
London,E05009382,Shacklewell,0.4388,449,224,201,24,0.4989,0.4477,510.4,0.643,0.009
London,E05009385,Stoke Newington,0.9538,987,474,475,38,0.4802,0.4813,496.9,0.059,0.0
London,E05013710,St Mary's & St James',0.7511,1479,371,1065,43,0.2508,0.7201,494.0,0.164,0.0
London,E05013697,Arsenal,0.8113,598,380,166,52,0.6355,0.2776,468.4,0.318,0.0
London,E05009333,Spitalfields & Banglatown,0.9125,1366,425,730,211,0.3111,0.5344,465.7,0.346,0.0
London,E05009331,St Peter's,1.0841,1001,489,387,125,0.4885,0.3866,451.1,0.364,0.0
London,E05009330,St Katharine's & Wapping,1.0625,722,449,154,119,0.6219,0.2133,422.6,0.441,0.0
London,E05009373,Hackney Downs,1.0176,964,419,487,58,0.4346,0.5052,411.7,0.253,0.002
London,E05013707,Junction,1.0572,1309,408,859,42,0.3117,0.6562,385.9,0.319,0.0
London,E05009335,Weavers,0.6724,735,250,436,49,0.3401,0.5932,371.8,0.408,0.004
London,E05013698,Barnsbury,0.8967,2346,331,1965,50,0.1411,0.8376,369.1,0.311,0.0
London,E05009319,Bow East,1.8683,1125,683,240,202,0.6071,0.2133,365.6,0.417,0.0
London,E05013700,Caledonian,0.8746,872,298,467,107,0.3417,0.5356,340.7,0.386,0.0
London,E05009379,King's Park,1.9052,912,639,206,67,0.7007,0.2259,335.4,0.57,0.003
London,E05009322,Bromley South,0.6916,343,228,47,68,0.6647,0.137,329.7,0.583,0.0
London,E05009323,Canary Wharf,1.4239,761,460,78,223,0.6045,0.1025,323.1,0.891,0.0
London,E05009375,Haggerston,0.8709,715,278,368,69,0.3888,0.5147,319.2,0.568,0.0
