city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov,fam,fam_per_km2
Bologna,48,MICHELINO (San Donato),0.4909,502,44,389,69,0.0876,0.7749,89.6,0.091,0.0,2559,5213.0
Bologna,57,SIEPELUNGA (Murri),0.4598,662,6,651,5,0.0091,0.9834,13.0,0.167,0.0,2285,4970.0
Bologna,37,BATTINDARNO (Barca),0.9351,702,66,572,64,0.094,0.8148,70.6,0.212,0.0,4567,4884.0
Bologna,53,GALVANI-1 (Galvani),0.2162,691,18,642,31,0.026,0.9291,83.3,0.111,0.0,1043,4824.0
Bologna,73,SAN GIUSEPPE (Costa Saragozza),0.7287,914,52,855,7,0.0569,0.9354,71.4,0.538,0.0,3403,4670.0
Bologna,18,SAN SAVINO (Corticella),1.1223,955,45,825,85,0.0471,0.8639,40.1,0.289,0.0,4592,4092.0
Bologna,84,CAVEDONE (Mazzini),0.3507,109,35,67,7,0.3211,0.6147,99.8,0.229,0.0,1417,4040.0
Bologna,89,CORELLI (S. Ruffillo),1.2036,619,73,524,22,0.1179,0.8465,60.6,0.192,0.0,4420,3672.0
Bologna,85,VIA ARNO (Mazzini),1.013,409,249,116,44,0.6088,0.2836,245.8,0.711,0.0,3649,3602.0
Bologna,79,FOSSOLO (Mazzini),1.2622,663,172,452,39,0.2594,0.6817,136.3,0.64,0.0,4489,3556.0
Bologna,38,CANALE DI RENO (Barca),1.0837,715,119,573,23,0.1664,0.8014,109.8,0.345,0.0,3231,2981.0
Bologna,80,DUE MADONNE (Mazzini),0.5109,193,84,36,73,0.4352,0.1865,164.4,0.952,0.0,1512,2959.0
Bologna,26,PESCAROLA (Lame),0.7895,501,33,417,51,0.0659,0.8323,41.8,0.0,0.0,2231,2826.0
Bologna,8,BORGO CENTRO (Borgo Panigale),1.5429,766,387,324,55,0.5052,0.423,250.8,0.14,0.0,4158,2695.0
Bologna,43,SAN DONNINO (San Donato),0.5704,216,17,181,18,0.0787,0.838,29.8,0.412,0.0,1530,2682.0
Bologna,9,TRIUMVIRATO-PIETRA (Borgo Panigale),1.0874,547,237,283,27,0.4333,0.5174,218.0,0.059,0.0,2820,2593.0
Bologna,44,PILASTRO (San Donato),1.253,357,28,285,44,0.0784,0.7983,22.3,0.5,0.0,3240,2586.0
Bologna,71,STADIO-MELONCELLO (Costa Saragozza),0.7996,629,66,541,22,0.1049,0.8601,82.5,0.758,0.015,2000,2501.0
Bologna,11,CASTELDEBOLE (Borgo Panigale),1.087,278,80,181,17,0.2878,0.6511,73.6,0.7,0.0,2503,2303.0
Bologna,7,DUCATI-VILLAGGIO INA (Borgo Panigale),0.7236,207,74,94,39,0.3575,0.4541,102.3,0.0,0.0,1614,2231.0
Bologna,22,LA DOZZA (Corticella),0.2949,204,18,180,6,0.0882,0.8824,61.0,0.0,0.0,646,2191.0
Bologna,39,AGUCCHI (S. Viola),1.0919,751,2,608,141,0.0027,0.8096,1.8,0.0,0.0,2326,2130.0
Bologna,36,VILLAGGIO DELLA BARCA (Barca),1.3029,349,70,233,46,0.2006,0.6676,53.7,0.0,0.0,2762,2120.0
Bologna,50,OSSERVANZA (Colli),1.1214,997,29,944,24,0.0291,0.9468,25.9,0.172,0.0,2297,2048.0
Bologna,28,BEVERARA (Lame),1.8627,904,54,644,206,0.0597,0.7124,29.0,0.037,0.0,3645,1957.0
Bologna,5,LA BIRRA (Borgo Panigale),0.5802,300,210,85,5,0.7,0.2833,361.9,0.0,0.0,1002,1727.0
Bologna,20,CROCE COPERTA (Corticella),1.876,914,32,553,329,0.035,0.605,17.1,0.656,0.0,3059,1631.0
Bologna,69,CROCE DEL BIACCO (S. Vitale),1.401,528,88,353,87,0.1667,0.6686,62.8,0.886,0.0,2146,1532.0
Bologna,90,PONTE SAVENA-LA BASTIA (S. Ruffillo),0.4778,206,2,192,12,0.0097,0.932,4.2,0.5,0.0,651,1362.0
Bologna,51,SAN MICHELE IN BOSCO (Colli),1.01,589,21,515,53,0.0357,0.8744,20.8,0.381,0.0,1243,1231.0
Bologna,64,VIA LARGA (S. Vitale),1.0164,371,9,297,65,0.0243,0.8005,8.9,0.111,0.0,1106,1088.0
Bologna,74,RAVONE (Costa Saragozza),0.6759,285,11,268,6,0.0386,0.9404,16.3,0.091,0.0,616,911.0
Bologna,16,EX MERCATO ORTOFRUTTICOLO (Bolognina),0.7062,128,11,52,65,0.0859,0.4062,15.6,0.455,0.0,625,885.0
Bologna,12,CASERME ROSSE-MANIFATTURA (Bolognina),1.2165,343,29,226,88,0.0845,0.6589,23.8,0.034,0.0,1030,847.0
Bologna,24,LA NOCE (Lame),0.9825,169,3,146,20,0.0178,0.8639,3.1,0.0,0.0,716,729.0
Bologna,63,SCANDELLARA (S. Vitale),0.7938,209,0,173,36,0.0,0.8278,0.0,0.0,0.0,492,620.0
Bologna,31,PRATI DI CAPRARA-OSPEDALE MAGGIORE (Saffi),0.564,135,0,89,46,0.0,0.6593,0.0,0.0,0.0,245,434.0
Bologna,21,MULINO DEL GOMITO (Corticella),0.5548,129,0,121,8,0.0,0.938,0.0,0.0,0.0,236,425.0
Bologna,27,LAZZARETTO (Lame),1.2669,269,14,191,64,0.052,0.71,11.1,0.357,0.0,417,329.0
Bologna,1,LAVINO DI MEZZO (Borgo Panigale),0.9228,105,47,57,1,0.4476,0.5429,50.9,0.0,0.0,269,292.0
Bologna,87,MONTE DONATO (S. Ruffillo),3.0757,608,2,598,8,0.0033,0.9836,0.7,0.0,0.0,716,233.0
Bologna,66,OSPEDALE SANT'ORSOLA (S. Vitale),0.2319,188,2,112,74,0.0106,0.5957,8.6,0.5,0.0,38,164.0
Bologna,13,CNR (Bolognina),0.2985,142,0,122,20,0.0,0.8592,0.0,0.0,0.0,32,107.0
Bologna,65,ROVERI (S. Vitale),3.0916,916,0,257,659,0.0,0.2806,0.0,0.0,0.0,287,93.0
Bologna,70,STRADELLI GUELFI (S. Vitale),1.8402,137,0,128,9,0.0,0.9343,0.0,0.0,0.0,156,85.0
Bologna,19,SAVENA ABBANDONATO (Corticella),6.0286,591,1,500,90,0.0017,0.846,0.2,0.0,0.0,502,83.0
Bologna,81,LUNGO SAVENA (Mazzini),0.8285,64,7,45,12,0.1094,0.7031,8.4,0.0,0.0,57,69.0
Bologna,2,VIA DEL VIVAIO (Borgo Panigale),6.1227,378,21,332,25,0.0556,0.8783,3.4,0.0,0.0,405,66.0
Bologna,32,SCALO RAVONE (Saffi),0.6666,160,0,128,32,0.0,0.8,0.0,0.0,0.0,44,66.0
Bologna,41,CADRIANO-CALAMOSCO (San Donato),6.0772,490,2,392,96,0.0041,0.8,0.3,0.0,0.0,392,65.0
Bologna,10,RIGOSA (Borgo Panigale),8.7298,612,32,517,63,0.0523,0.8448,3.7,0.0,0.0,517,59.0
Bologna,3,BARGELLINO (Borgo Panigale),0.6847,135,0,42,93,0.0,0.3111,0.0,0.0,0.0,40,58.0
Bologna,55,GIARDINI MARGHERITA (Murri),0.2635,27,0,23,4,0.0,0.8519,0.0,0.0,0.0,15,57.0
Bologna,45,CAAB (San Donato),3.1597,344,3,239,102,0.0087,0.6948,0.9,0.0,0.0,180,57.0
Bologna,25,TIRO A SEGNO (Lame),1.5456,174,0,158,16,0.0,0.908,0.0,0.0,0.0,83,54.0
Bologna,4,AEROPORTO (Borgo Panigale),4.3704,545,0,333,212,0.0,0.611,0.0,0.0,0.0,233,53.0
Bologna,23,LAGHETTI DEL ROSARIO (Lame),4.6066,275,1,235,39,0.0036,0.8545,0.2,1.0,0.0,231,50.0
Bologna,86,OSPEDALE BELLARIA (Mazzini),0.7724,178,2,88,88,0.0112,0.4944,2.6,0.0,0.0,33,43.0
Bologna,76,SAN LUCA (Costa Saragozza),7.646,341,1,324,16,0.0029,0.9501,0.1,0.0,0.0,296,39.0
Bologna,52,PADERNO (Colli),22.5927,1183,6,1134,43,0.0051,0.9586,0.3,0.167,0.0,703,31.0
Bologna,6,LUNGO RENO (Borgo Panigale),0.2682,8,1,7,0,0.125,0.875,3.7,0.0,0.0,6,22.0
Bologna,75,VIA DEL GENIO (Costa Saragozza),0.4024,13,0,13,0,0.0,1.0,0.0,0.0,0.0,8,20.0
Bologna,46,SCALO MERCI SAN DONATO (San Donato),1.154,78,0,78,0,0.0,1.0,0.0,0.0,0.0,14,12.0
Bologna,42,FIERA (San Donato),1.5297,472,0,243,229,0.0,0.5148,0.0,0.0,0.0,10,7.0
