city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov
Lyon,693840103,Commandant Arnaud-Dumont d'Urville [Habitat],0.0942,346,230,111,5,0.6647,0.3208,2441.7,0.987,0.0
Lyon,693810304,Chardonnet [Habitat],0.0444,133,90,42,1,0.6767,0.3158,2027.4,0.989,0.0
Lyon,693840202,Grande Rue-Bertone [Habitat],0.0805,411,152,253,6,0.3698,0.6156,1888.3,0.934,0.0
Lyon,693860602,Bossuet Ney [Habitat],0.0655,219,123,92,4,0.5616,0.4201,1877.1,0.732,0.0
Lyon,693870101,Pasteur [Habitat],0.0633,168,110,41,17,0.6548,0.244,1738.6,0.891,0.0
Lyon,693870201,Saint-Michel [Habitat],0.1199,315,203,97,15,0.6444,0.3079,1693.7,0.872,0.0
Lyon,693810202,Capucins-Griffon [Habitat],0.0867,305,145,157,3,0.4754,0.5148,1671.7,0.869,0.0
Lyon,693820401,Gailleton-Auguste Comte [Habitat],0.0751,205,114,87,4,0.5561,0.4244,1517.6,0.746,0.0
Lyon,693860603,Juliette Récamier [Habitat],0.0652,167,98,65,4,0.5868,0.3892,1502.7,0.643,0.0
Lyon,693830202,Voltaire [Habitat],0.0702,185,99,81,5,0.5351,0.4378,1410.4,0.848,0.0
Lyon,693840203,Place Croix Rousse-Austerlitz [Habitat],0.095,360,132,219,9,0.3667,0.6083,1389.8,0.947,0.0
Lyon,693870302,Saint-Louis [Habitat],0.0576,124,80,30,14,0.6452,0.2419,1388.6,0.9,0.0
Lyon,693850103,Saint-Georges [Habitat],0.1049,291,144,136,11,0.4948,0.4674,1372.9,0.292,0.007
Lyon,693870202,Le Prado [Habitat],0.1065,208,141,51,16,0.6779,0.2452,1324.4,0.95,0.0
Lyon,693830701,Genas CFEL [Habitat],0.2022,595,262,267,66,0.4403,0.4487,1296.0,0.798,0.0
Lyon,693860303,Vitton [Habitat],0.0894,219,112,101,6,0.5114,0.4612,1252.6,0.893,0.0
Lyon,693830601,Rouget de Lisle-Félix Faure [Habitat],0.1315,258,164,63,31,0.6357,0.2442,1247.1,0.963,0.0
Lyon,693810501,Mairie-Martinière [Habitat],0.0849,187,103,76,8,0.5508,0.4064,1213.1,0.864,0.0
Lyon,693820202,Bellecour-Antonin Gourju [Habitat],0.1211,256,144,107,5,0.5625,0.418,1189.0,0.354,0.014
Lyon,693820302,Ampère-Ainay [Habitat],0.091,185,106,70,9,0.573,0.3784,1165.2,0.189,0.0
Lyon,693830502,Paul Bert-Maisons Neuves [Habitat],0.1823,400,210,151,39,0.525,0.3775,1151.7,0.881,0.0
Lyon,693810302,Trois Gaules [Habitat],0.0864,201,91,102,8,0.4527,0.5075,1053.8,0.989,0.0
Lyon,693830203,Saxe-Villeroy [Habitat],0.1022,155,106,34,15,0.6839,0.2194,1037.0,0.83,0.0
Lyon,693870203,Mairie [Habitat],0.086,153,86,52,15,0.5621,0.3399,999.7,0.93,0.023
Lyon,693860304,Les Brotteaux [Habitat],0.1197,230,119,100,11,0.5174,0.4348,993.8,0.824,0.0
Lyon,693840303,Mairie-Tabareau [Habitat],0.105,281,101,166,14,0.3594,0.5907,961.6,0.297,0.0
Lyon,693810303,Annonciade-Saint-Benoit [Habitat],0.0814,220,78,132,10,0.3545,0.6,957.7,0.654,0.013
Lyon,693860702,Les Charmettes-Lafayette [Habitat],0.1987,392,182,187,23,0.4643,0.477,915.9,0.544,0.0
Lyon,693830201,Moncey [Habitat],0.097,175,82,88,5,0.4686,0.5029,845.1,0.598,0.012
