Date/Time,BATIMENT0000000240877151_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877151_PART0_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,5778382.850678929,4564793.585131079,4465821.0240657125,4600461.439173247,5451947.029850877,12498439.901550123 
 01/01  02:00:00,6317705.746347742,5120942.045329351,5031387.7124386085,5188441.3028268665,6114878.270182232,13881951.555256449 
 01/01  03:00:00,6587121.199237186,5402851.544286791,5318551.1182264285,5488565.763980232,6453526.162419909,14504982.826282594 
 01/01  04:00:00,6727130.621051135,5553739.039053282,5474603.667752698,5656869.121468196,6656422.654410253,14940859.17207723 
 01/01  05:00:00,6828527.526287307,5664334.736830104,5589263.018959529,5780749.401211835,6804557.686356384,15213175.320285471 
 01/01  06:00:00,7034450.290018353,5881095.223712166,5810370.120791124,6010762.210962241,7061825.0743997265,15671260.809076596 
 01/01  07:00:00,7100075.959784113,5956887.233678209,5890314.161572807,6098699.2231562305,7172217.518876839,15915406.27864682 
 01/01  08:00:00,7204127.692391089,6069545.508075971,6007424.957836444,6224212.860426437,7321913.604825547,16242387.56085368 
 01/01  09:00:00,7507252.9507199265,6385373.914925242,6327723.732496283,6551943.704618544,7679539.899349165,16901503.643298477 
 01/01  10:00:00,7730690.379037356,6622026.27023573,6563028.825476913,6778859.744570647,7888305.689801593,17226915.478567265 
 01/01  11:00:00,6890715.114419393,5784599.828011939,5711386.256009012,5821734.456782448,6564416.618140989,15079226.197466394 
 01/01  12:00:00,5278947.974979447,4163928.851144971,4054955.5669219214,3713393.4082088093,4106511.739861468,11541261.79333305 
 01/01  13:00:00,3951802.2141002296,2813868.005438816,2651994.3889246234,1781493.416674386,1989275.7552531026,8778367.868931731 
 01/01  14:00:00,3108946.4642075268,1963644.5127222948,1806163.558040737,1024494.1079699784,797723.6581003846,6484750.883789454 
 01/01  15:00:00,2703045.4633457996,1538380.3061231915,1413419.9993404385,1070224.113479146,607248.2014568086,5116411.85431669 
 01/01  16:00:00,2927088.550591711,1730857.284201379,1614976.9689538372,1524818.5176304164,1550416.9052662563,5406203.825850863 
 01/01  17:00:00,3500833.543824626,2267155.534417526,2134745.1265754993,2086748.6959829028,2543515.1230888413,7302979.260358792 
 01/01  18:00:00,4272736.717257355,3026742.8539440385,2901682.906691224,2906738.2752278442,3494306.2954634083,9130270.10784383 
 01/01  19:00:00,4811342.8677385,3569506.0490933573,3447793.331951543,3477981.228406107,4120488.4540521363,10093735.078859398 
 01/01  20:00:00,5147407.676767806,3909907.358147716,3791297.250229141,3842856.0295290495,4527957.853463525,10699948.773430139 
 01/01  21:00:00,5329648.692600426,4094966.69934945,3977603.8784654057,4043993.545836533,4751789.012154989,10921024.107370513 
 01/01  22:00:00,5348749.141573391,4116950.3086159704,4001165.043637867,4080670.4936015303,4803691.4605059195,10917582.086445155 
 01/01  23:00:00,5338470.292398351,4110254.589052979,3999494.7110451586,4097652.3191695134,4855833.435758745,11182213.121396808 
 01/01  24:00:00,5302472.124868324,4077621.9990000394,3970638.7349100756,4083584.5333233997,4868099.456066976,11255218.104271507 
 01/02  01:00:00,5325123.8172475565,4100096.8368202425,3992673.8598967325,4110421.8767265845,4892368.8441340765,11105541.120408833 
 01/02  02:00:00,5320586.402086719,4096855.858339562,3988629.0063856645,4108908.251983195,4880530.315136714,10867873.560252707 
 01/02  03:00:00,5463974.329050925,4241665.572916266,4133585.4256786383,4257580.776717758,5029506.2773613725,10995480.08082775 
 01/02  04:00:00,5791804.3609388955,4575023.555211947,4467458.464372543,4594886.160728211,5375433.368279492,11397888.441879675 
 01/02  05:00:00,6134979.876864592,4926681.037588842,4819878.9426982375,4949505.546633868,5735826.518024033,11847087.861714952 
 01/02  06:00:00,6364290.837689451,5164795.295699968,5060208.526293802,5194611.750620906,5995292.817573316,12252854.570344903 
 01/02  07:00:00,6383210.547386395,5190255.621294814,5087149.691823174,5224503.490556492,6029625.336912135,12278890.513375808 
 01/02  08:00:00,6485948.320381458,5298470.224691814,5196834.363775191,5336914.719023024,6146953.978002519,12446260.964585496 
 01/02  09:00:00,6724396.781287791,5546107.500062366,5446478.42409114,5589433.790208749,6412327.337581232,12872930.450742142 
 01/02  10:00:00,6842183.069284665,5672584.704433621,5570442.548116943,5704682.789678758,6520402.206850695,13091450.892026806 
 01/02  11:00:00,6614513.782964842,5446015.810012873,5326601.555012435,5403320.728616915,6097020.8155801315,12549458.155875828 
 01/02  12:00:00,5934200.440040476,4756771.643949582,4610229.741951355,4476236.527430677,4964754.426148528,11009962.063458024 
 01/02  13:00:00,5285313.883052907,4089026.457992534,3909085.9518342363,3541619.2888759635,3960832.0972797084,9664750.392706582 
 01/02  14:00:00,5460366.856700529,4246516.076118302,4079098.076115456,3988653.458253108,4522666.705590009,10378254.809757488 
 01/02  15:00:00,6296759.218701487,5092706.441101079,4941909.355300965,4947254.465587422,5602387.074408666,12021832.722896459 
 01/02  16:00:00,7161373.874389762,5977281.1837730585,5842319.690469744,5888576.303210904,6639897.749943037,13662166.029019102 
 01/02  17:00:00,7829128.768290961,6665070.081089525,6545382.201013658,6626392.460624572,7455849.668186074,14983230.652491506 
 01/02  18:00:00,9548169.619603276,8424283.741428709,8301436.63241237,8395324.259169344,9328984.297014654,18157317.6119822 
 01/02  19:00:00,10387920.641659196,9290362.04195495,9166970.183982318,9263285.822043018,10225955.41945657,19393465.32358435 
 01/02  20:00:00,10693846.820546689,9620146.72719813,9501529.296367694,9605581.180951511,10588528.054634675,19828417.266964532 
 01/02  21:00:00,10883806.47509454,9831665.349348158,9717605.186842304,9828245.228956405,10826806.212108847,20118464.011339124 
 01/02  22:00:00,11335310.995492509,10304920.541677615,10195343.047455398,10312047.806450281,11329058.139150795,20757044.942753803 
 01/02  23:00:00,11860195.167262198,10852615.950905323,10747539.844782574,10870047.556775214,11909478.656520933,21556484.842721425 
 01/02  24:00:00,12492574.123995833,11514754.298622092,11414903.383159557,11544110.060225468,12621709.032543171,22727211.556775566 
 01/03  01:00:00,13181666.616194064,12236811.111626389,12142480.846880792,12278651.040947381,13402157.550959475,24102980.107845478 
 01/03  02:00:00,13201379.03008165,12299486.813361004,12244486.020781351,12430204.769503016,13649328.639734888,24953969.370402697 
 01/03  03:00:00,13533900.32484134,12658852.560654523,12619459.708205886,12825567.417073904,14098600.602772985,25839353.051855028 
 01/03  04:00:00,13847198.683748921,12993270.055766545,12961733.791947972,13177885.28589987,14486431.802092858,26532129.830742717 
 01/03  05:00:00,14046791.427324554,13210090.031019757,13185113.978807285,13409873.8827067,14747545.781994924,27012181.542958178 
 01/03  06:00:00,14119485.706188846,13293723.090138882,13273361.652406748,13505149.39444502,14865192.226476653,27274862.70135565 
 01/03  07:00:00,14201320.239700919,13383179.46211493,13366332.185659751,13604862.63297104,14988081.698893363,27549341.747011445 
 01/03  08:00:00,14274715.50409142,13465291.45843765,13451914.332054164,13695870.666241787,15097197.704390613,27776962.856783364 
 01/03  09:00:00,14369190.562740134,13570407.828005677,13561092.124634873,13809640.029106472,15225445.976184279,28001382.93402732 
 01/03  10:00:00,14295813.152304783,13502995.053425625,13493315.615380771,13738321.933146004,15151432.78750401,27892309.554096002 
 01/03  11:00:00,13954034.77695745,13143376.568071457,13112623.646447835,13318350.56937053,14668711.44456085,27196569.664009415 
 01/03  12:00:00,13372740.475228282,12510041.813694987,12427693.124221668,12535318.505592639,13743936.667896483,25925467.17501408 
 01/03  13:00:00,12670708.990713904,11766226.625779023,11638550.844966263,11584188.085206445,12645417.115529642,24746150.611156046 
 01/03  14:00:00,12128795.63434468,11222808.755341452,11093663.184752151,10964484.952169646,11864589.896252347,23675261.220451064 
 01/03  15:00:00,11708518.297161356,10800857.049313748,10686493.761830172,10628842.689455036,11245329.170737132,22585108.829535645 
 01/03  16:00:00,11290197.396235446,10387590.45571377,10307839.432031225,10374946.529722674,11096654.710219946,21381287.360179417 
 01/03  17:00:00,11365675.672631038,10465973.406736663,10410311.319686849,10557719.020018963,11735473.015315708,23143433.290233143 
