building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version
relation/12582232,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,9f0bb674bf61889cca24c75e1ad930bea8db37231c16d584eb247fbc1e77072c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1089.2109,,,,
relation/12582233,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,171b7d1830b88ff2f18c8bddb552fd777e7a2c1b9ac26ca12b50a925f0be7356,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1445.3732,,,,
relation/12582234,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,5eb4d2c9f0da664c0119eee86c84f90afcdc27b105457ecaa69eafe965833784,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1696.2127,,,,
relation/12586384,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,b7d361f5dd2e0c4b1fc8f75b28bf38b7709ca7839cf96bae600094c467b12965,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,2208.1458,,,,
relation/12628570,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,eeb4d1b0feee585fbabee82f8ae3d49839943d18d6466b0d8c61693c04b2844b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1732.2151,,,,
relation/12628571,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,f267831f2f79c9592773696e1a541f511826e4b84d004e023769f77ad83e79d3,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1785.3522,,,,
relation/12628572,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,c32c29cddca34f2cc637d1739ceaedfd6b46c5851e5057bffc7fed4ea45190fb,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,3644.9371,,,,
relation/12638102,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,3ace180bb7682437b37303a2d12a55ab2f3b582b17b51be3e49b66afc764f520,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,293.3479,,,,
relation/12638103,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,bc6bdb13407164e9459145c546171e4da21e08cca0d40b6ba058d25dd4d1d77b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1959.5458,,,,
relation/12700585,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,41d84500c09af9eea57456d06b978e29bb3e8430ffd3326e64a6ef38c36052be,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,2740.6898,,,,
