osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,elevators_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_elevators_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,floor_area_m2,floor_area_provenance,centroid_lon,centroid_lat
way/187382924,5580.999777959323,1.0,3.5,Hospital,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",0.10558088304450139,36.43921909807629,88.06271538851585,88.07014301565451,11.899279313797962,0.0,7.039021974416201,0.0,7.039021974416201,59.44535999997878,0.0,6.675672382727209,297.7369920562113,0.01911013983105475,13.585561177897588,32.832246052869586,32.83501528024044,4.436384508004666,0.0,1.2740629773693324,10.759610159996159,0.0,2.4888775831074197,98.23086787931624,0.0,success,,5581.0,eio_simulated,-103.48878235748272,-3.855446100517949e-05
way/199742457,270.45381687348544,1.0,3.5,RetailStandalone,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",19.691272078348703,30.49148011518962,58.282949609064474,48.9753876466214,11.617866293712936,0.0,0.0,4.868972067193565,4.868972067193565,0.0,0.0,0.0,173.9279278101307,3.564120246181115,11.368077548385916,21.72951553684829,18.259395825514563,4.331465854552406,0.0,1.8152891178676422,0.0,0.0,0.0,61.067864129349935,0.0,success,,270.45,eio_simulated,-103.48874388364493,-1.004921242369143e-09
way/199742458,22117.70301153823,7.0,24.5,Hospital,perimeter_core,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback",0.0006489459261505616,51.99724328236944,88.06273196063509,88.0572031592283,39.48072490056243,11.153261561742932,6.617574305565344,0.0,6.617574305565344,59.42461188376885,0.0,6.673344696552121,351.46734469635066,0.00011745921263325164,19.386028218479233,32.83225223141966,32.83019093944876,14.719519703226888,4.158248201541494,1.1977809493073273,10.755854750962161,0.0,2.488009756526134,118.3680022101243,0.027099888169834375,success,,154823.90000000002,eio_simulated,-103.48880449055426,-1.1696438968698108e-05
way/199742459,310.9600229938144,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",8.963946894694002,20.519680247141448,26.465105033333653,27.764782711083377,7.885860547003784,0.0,0.0,3.2775175732741415,3.2775175732741415,0.0,0.0,0.0,94.87689300653041,1.6224743879396144,7.650311347181251,9.86693217936772,10.351488408607793,2.9400696160183264,0.0,1.2219503218086516,0.0,0.0,0.0,33.653226260923354,0.0,success,,310.96,eio_simulated,-103.48874388437697,-4.540522647214148e-13
way/199742460,319.70091142605617,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",10.118059042343155,23.174225308357762,26.465176043178417,27.764857208158233,8.942378273667423,0.0,0.0,3.222392314212665,3.222392314212665,0.0,0.0,0.0,99.68708818991766,1.831368686664111,8.640000073264408,9.866958653826122,10.351516183203218,3.3339690070148778,0.0,1.2013980817232794,0.0,0.0,0.0,35.22521068569601,0.0,success,,319.7,eio_simulated,-103.48875598124746,1.0193607895523955e-05
way/199742463,2554.676967924229,8.0,28.0,LargeOffice,perimeter_core,"generic_tag,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",15.18609069274429,34.9149814193328,26.465069187648353,44.06322379503419,41.41288909546625,12.502114500025028,2.202987166278319,0.0,2.202987166278319,0.0,0.0,6.860203007077687,183.60755886360693,2.7486824153867166,13.017282692607008,9.86691881509256,16.428003601055007,15.43988461568449,4.661138344815331,0.39874067709637573,0.0,0.0,2.55767576672276,65.11832692846025,0.0005955547756889527,success,,20437.44,eio_simulated,-103.48874388428814,2.0664517968055816e-10
way/199742464,461.9427952884796,1.0,3.5,RetailStandalone,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",20.999892981938387,34.649795867859034,58.28248208058558,48.974994780634994,13.460753169431394,0.0,0.0,3.8535890350037985,3.8535890350037985,0.0,0.0,0.0,180.2215079154532,3.800980629730848,12.918414093822147,21.72934122914056,18.259249354074583,5.018545682652768,0.0,1.436725892742396,0.0,0.0,0.0,63.1632568821633,0.0,success,,461.94,eio_simulated,-103.48872594119507,-8.025429755828166e-07
way/199742466,285.60068901222144,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",9.08258535605918,22.480217890506985,26.46515589973736,27.764836075490756,8.581234757726726,0.0,0.0,3.47106222015753,3.47106222015753,0.0,0.0,0.0,97.84509219967853,1.6439479494467115,8.381254675681937,9.866951143787281,10.351508304353068,3.1993245922537397,0.0,1.2941091854168916,0.0,0.0,0.0,34.73709585093963,0.0,success,,285.6,eio_simulated,-103.48874388439626,-1.696491250162813e-11
way/199742467,169.14296816210103,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.356493496823688,25.821440803572923,26.46556502259651,27.765265290008216,10.341064965335818,0.0,0.0,5.077738656496327,5.077738656496327,0.0,0.0,0.0,106.82756823483348,2.0555253229250874,9.626956131914486,9.867103676244612,10.351668327543184,3.855438568896222,0.0,1.8931231478242125,0.0,0.0,0.0,37.649815175347804,0.0,success,,169.14,eio_simulated,-103.48874388438763,-1.3420375813043989e-12
way/199742468,304.6816903265209,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.871737350950026,26.4397668384409,26.465250068970292,27.76493486929064,10.692491701085826,0.0,0.0,3.324770659081722,3.324770659081722,0.0,0.0,0.0,106.55895148781941,2.148784460521955,9.857485390842243,9.866986252714057,10.351545137447891,3.9864602959324262,0.0,1.2395675952841203,0.0,0.0,0.0,37.45082913274269,0.0,success,,304.68,eio_simulated,-103.48874109575193,-1.4463847783032695e-05
