osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/187382924,5580.999777959323,1.0,3.5,Hospital,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",0.13878514233112135,35.284617778807544,88.06271999999998,88.0701471606205,11.33928824244855,0.0,7.039621654654816,0.0,7.039621654654816,59.44536236501882,0.0,289.3805423438813,0.025120110761932966,13.155093477237259,32.832247772159995,32.835016825599816,4.227604156855608,0.0,1.2741715194925216,10.759610588068407,0.0,95.10886445017555,0.0,success,,-103.48878235748272,-3.855446100517949e-05
way/199742457,270.45381687348544,1.0,3.5,RetailStandalone,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",19.690995279872784,30.49104567116835,58.282119999999985,48.974690522920554,11.617700995583029,0.0,0.0,4.868903356048488,4.868903356048488,0.0,0.0,173.9254558255932,3.5640701456569737,11.367915575490354,21.729206235359992,18.259135918279423,4.331404226781229,0.0,1.8152635004288455,0.0,0.0,61.06699560199683,0.0,success,,-103.48874388364493,-1.004921242369143e-09
way/199742458,22117.70301153823,7.0,24.5,Hospital,perimeter_core,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback",0.0007820583965345512,50.46398723768146,88.0627199700462,88.05719116939036,37.76623123476517,10.857016853019996,6.6175701635372794,0.0,6.6175701635372794,59.42460379253577,0.0,341.2501024793728,0.00014155256977275375,18.814387433850303,32.83224776099239,32.83018646930147,14.08030845879503,4.047799879277739,1.1977801996002475,10.755853286448973,0.0,114.5587050408359,0.022856379620444706,success,,-103.48880449055426,-1.1696438968698108e-05
way/199742459,310.9600229938144,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",8.963946362990443,20.519677039540532,26.4651005984,27.76477805835411,7.885859334956378,0.0,0.0,3.2775173319706346,3.2775173319706346,0.0,0.0,94.87687872621208,1.6224742917012702,7.650310151297817,9.866930525900274,10.351486673940046,2.9400691641331167,0.0,1.2219502318439477,0.0,0.0,33.65322103881647,0.0,success,,-103.48874388437697,-4.540522647214148e-13
way/199742460,319.70091142605617,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",10.118030144444557,23.174158951313753,26.465100598399992,27.76477805835411,8.942352784385776,0.0,0.0,3.222383127558773,3.222383127558773,0.0,0.0,99.68680366445696,1.8313634561444647,8.639975333500404,9.866930525900273,10.351486673940046,3.33395950389698,0.0,1.2013946566814822,0.0,0.0,35.22511015006364,0.0,success,,-103.48875598124746,1.0193607895523955e-05
way/199742463,2554.676967924229,8.0,28.0,LargeOffice,perimeter_core,"generic_tag,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",15.52973872876615,34.3459920473546,26.465100598310475,44.063276092460114,41.202710494749006,12.346868134368018,2.2069901104060623,0.0,2.2069901104060623,0.0,0.0,176.1606762064144,2.810882709906673,12.80514752303112,9.866930525866897,16.42802309899972,15.361524148336281,4.6032581528001595,0.39946520998349727,0.0,0.0,62.275231368924345,0.0005980401461119366,success,,-103.48874388428814,2.0664517968055816e-10
way/199742464,461.9427952884796,1.0,3.5,RetailStandalone,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",20.99976741122921,34.649582683538696,58.282119999999985,48.97469052292056,13.460670424077083,0.0,0.0,3.8535657292366716,3.8535657292366716,0.0,0.0,180.22039677100219,3.8009579014324872,12.918334612738365,21.729206235359992,18.259135918279426,5.018514832867811,0.0,1.4367172036998497,0.0,0.0,63.162866704377926,0.0,success,,-103.48872594119507,-8.025429755828166e-07
way/199742466,285.60068901222144,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",9.082562809119844,22.480167313682763,26.465100598399996,27.764778058354104,8.581215818858421,0.0,0.0,3.471053844875499,3.471053844875499,0.0,0.0,97.84487844329063,1.6439438684506917,8.381235819225717,9.866930525900273,10.351486673940043,3.1993175313133473,0.0,1.2941060628772425,0.0,0.0,34.73702048170731,0.0,success,,-103.48874388439626,-1.696491250162813e-11
way/199742467,169.14296816210103,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.356294157315544,25.8205088783596,26.465100598399996,27.764778058354104,10.340782009838401,0.0,0.0,5.07764955102072,5.07764955102072,0.0,0.0,106.82511325328835,2.0554892424741134,9.626608684101052,9.866930525900273,10.351486673940043,3.8553330751640313,0.0,1.8930899268079528,0.0,0.0,37.64893812838747,0.0,success,,-103.48874388438763,-1.3420375813043989e-12
way/199742468,304.6816903265209,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",11.871671622634794,26.439618495369945,26.465100598400003,27.764778058354104,10.69243152467471,0.0,0.0,3.324752215254263,3.324752215254263,0.0,0.0,106.55835251468783,2.1487725636968977,9.857430084391785,9.866930525900276,10.351486673940043,3.9864378604814226,0.0,1.2395607189088163,0.0,0.0,37.45061842731925,0.0,success,,-103.48874109575193,-1.4463847783032695e-05
