building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/396524044,residential,apartments,238.9,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396524045,residential,apartments,218.3,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396524046,residential,apartments,370.3,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396524527,residential,house,57.5,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396524529,residential,house,64.5,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396524531,residential,house,36.0,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396524532,residential,house,43.8,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396581865,residential,house,99.5,,9.0,assumed 9.0 m,,no_idf,,,,,
way/396585005,residential,house,49.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396585006,residential,house,38.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396585541,residential,apartments,526.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396586805,residential,house,126.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/396591271,residential,house,53.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396591273,residential,apartments,245.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396595549,residential,apartments,141.1,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,423.3,423.3,0.0
way/396595550,residential,apartments,69.2,3.0,9.0,storeys x 3.0 m,1928.0,no_idf,,,,,
way/396595551,residential,apartments,109.1,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,327.4,327.4,0.0
way/396619806,residential,house,46.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619808,residential,house,49.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619810,residential,house,46.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619811,residential,house,52.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619812,residential,house,53.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619813,residential,house,52.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619814,residential,house,51.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/396619815,residential,house,52.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
