eplus_return_code,severe_errors,fatal_errors,heating_kwh,platform,energyplus_version,run_seconds,building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,floor_area_m2,eui_kwh_m2
0,0,0,116031.7079611462,,,242,relation/12582232,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,1089.3143,106.51811691184646
0,0,0,126097.78442033942,,,659,relation/12582233,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,,1445.2265,87.25122630974413
0,2,0,391229.16809357185,,,4543,relation/12582234,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,1696.2497,230.6436181498348
0,0,0,186197.48287661324,,,251,relation/12586384,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,,2208.1458,84.32300207559359
0,1,0,191242.07382613752,,,661,relation/12628571,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,1785.3612,107.11674132166506
0,0,0,183394.45306321868,,,167,relation/12638102,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,293.3104,625.2572464638781
0,1,0,162205.3287106951,,,181,relation/12638103,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,1959.5629,82.77628072602063
,14,1,,,,2,relation/12700585,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,,2740.6914,
,19,1,,,,1,relation/12700645,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,,1954.8024,
0,0,0,92624.17115023332,,,131,relation/12702624,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,,986.5181,93.88998656003709
