neighbourhood_id,country_stock_code,building_id,building_type,year_built,archetype_id,mapping_status,reason,layout_ready,type_provenance,dwellings_provenance,age_band,completeness_band,shape_class,native_crs,observed_dwellings,observed_storeys,units_per_floor_measured,layout_status_measured,layout_reason_measured,simulation_mode_expected
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000013365727_part0,MFH,1998.0,FR.N.MFH.07.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,NEW_POST_1945,HIGH_MAPPING_INPUT_COMPLETENESS,SIMPLE_CONVEX,EPSG:32631,2.0,3.0,1,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_ONE_ZONE_PER_FLOOR
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877101_part0,MFH,1860.0,FR.N.MFH.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32631,10.0,4.0,3,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877110_part0,,1850.0,,EXCLUDED_MISSING_OR_AMBIGUOUS_INPUT,TYPOLOGY_SIGNALS_DISAGREE,False,OBSERVED_TAG,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,LOW_OR_INCOMPLETE_MAPPING_INPUTS,IRREGULAR_OR_COURTYARD,EPSG:32631,10.0,5.0,,NOT_ATTEMPTED_MAPPING_BLOCKED,TYPOLOGY_SIGNALS_DISAGREE,NOT_SCOPED
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877122_part0,SFH,1800.0,FR.N.SFH.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32631,1.0,1.0,1,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_ONE_ZONE_PER_FLOOR
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877130_part0,MFH,1900.0,FR.N.MFH.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,SIMPLE_CONVEX,EPSG:32631,11.0,4.0,3,DWELLING_LAYOUT_EMITTED,,EUROPEAN_DWELLING_LAYOUT
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877151_part0,AB,1900.0,FR.N.AB.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32631,17.0,6.0,3,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877159_part0,MFH,1850.0,FR.N.MFH.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,SIMPLE_CONVEX,EPSG:32631,6.0,3.0,2,DWELLING_LAYOUT_EMITTED,,EUROPEAN_DWELLING_LAYOUT
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877160_part0,,1870.0,,EXCLUDED_MISSING_OR_AMBIGUOUS_INPUT,TYPOLOGY_SIGNALS_DISAGREE,False,OBSERVED_TAG,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,LOW_OR_INCOMPLETE_MAPPING_INPUTS,SIMPLE_CONVEX,EPSG:32631,10.0,6.0,,NOT_ATTEMPTED_MAPPING_BLOCKED,TYPOLOGY_SIGNALS_DISAGREE,NOT_SCOPED
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877169_part0,MFH,1850.0,FR.N.MFH.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,SIMPLE_CONVEX,EPSG:32631,5.0,4.0,2,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_ONE_ZONE_PER_FLOOR
FR-LYO-HAUTCOEURPENTES,FR,BATIMENT0000000240877179_part0,MFH,1900.0,FR.N.MFH.01.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,DERIVED_BDTOPO_TWO_SIGNAL,BDTOPO_SURPLUS_TAGS_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,SIMPLE_CONVEX,EPSG:32631,3.0,3.0,1,DWELLING_LAYOUT_EMITTED,,EUROPEAN_DWELLING_LAYOUT
