neighbourhood_id,country_stock_code,building_id,building_type,year_built,archetype_id,mapping_status,reason,layout_ready,type_provenance,dwellings_provenance,age_band,completeness_band,shape_class,native_crs,observed_dwellings,observed_storeys,units_per_floor_measured,layout_status_measured,layout_reason_measured,simulation_mode_expected,s3_cell,s3_cell_base_quota,s3_cell_selected,s3_selection_basis
ES-MAD-BERRUGUETE,ES,relation/12582232,AB,1924.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,18.0,4.0,5.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12582234,AB,1923.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,21.0,5.0,5.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12586384,AB,1930.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,1.0,7.0,1.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12628571,AB,1925.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,39.0,6.0,7.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12638102,AB,1930.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,1.0,5.0,1.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12638103,AB,1928.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,27.0,5.0,6.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12700645,AB,1920.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,39.0,7.0,6.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12702624,AB,1930.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,1.0,4.0,1.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12702625,AB,1925.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,9.0,3.0,3.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
ES-MAD-BERRUGUETE,ES,relation/12702626,AB,1925.0,ES.ME.AB.02.Gen.ReEx.001.001,MAPPED_LAYOUT_READY,,True,OBSERVED_TAG,CATASTRO_INSPIRE_BU_OBSERVED,OLD_PRE_1945,HIGH_MAPPING_INPUT_COMPLETENESS,IRREGULAR_OR_COURTYARD,EPSG:32630,16.0,4.0,4.0,FALLBACK_PENDING_LAYOUT,COURTYARD_TOPOLOGY_UNSUPPORTED,FALLBACK_ONE_ZONE_PER_FLOOR,ES|AB|OLD_PRE_1945,6,12,LADDER_INPUTS_ONLY_COUNTRY_TYPE_AGE_CELLS_BUILDING_ID_ORDER
