building_id,run_slug,neighbourhood_id,country_stock_code,archetype_id,building_type,age_band,s3_cell,layout_mode,simulation_mode,zone_count,idf_sha256,weather_fold,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds
relation/12582232,relation_12582232,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,4,21fb249272fa6539711b6bcc8d685cda956e05823119fe26e1a4e49971ed881e,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,109578.787357,1089.2873,100.596773,3.814
relation/12582233,relation_12582233,ES-MAD-BERRUGUETE,ES,ES.ME.AB.03.Gen.ReEx.001.001,AB,NEW_POST_1945,ES|AB|NEW_POST_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,7,d7ba3650d23e59221980d9fc8d7f3e8c3a6bdea60ed0f17edf5d63d375c5e013,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,139205.404352,1445.2801,96.317249,5.138
relation/12582234,relation_12582234,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,5,d64622bc45f5e8f014b9e039b196b97b7df1c0a53addcaa74b02489449b21837,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,192911.833901,1696.2899,113.725746,8.621
relation/12586384,relation_12586384,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,7,4ffb2f5fb6548374e08024854a30d9f23d9f46441ff8101f3e05e2f73ddf22db,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,185129.87526,2208.1458,83.839516,5.656
relation/12628570,relation_12628570,ES-MAD-BERRUGUETE,ES,ES.ME.AB.04.Gen.ReEx.001.001,AB,NEW_POST_1945,ES|AB|NEW_POST_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,4,7d46a00dc957406d5f313c78e5675716c1151011dcc0a2dc17b5051dff766288,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,139148.70843,1732.358,80.323298,4.931
relation/12628571,relation_12628571,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,6,7f28a0c1ff3d3c724783cca06be9a387769e789c75302d684140c077954946a1,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,155108.469819,1785.3522,86.87836,4.343
relation/12638102,relation_12638102,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,5,cff7293d9498b09a35ad9d7c61a5d124108874289314e72e598dc864ad6ef6af,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,171861.39517,1467.115,117.14242,8.823
relation/12638103,relation_12638103,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,5,65b4e90bf91e5f7f3c17e1caffd584027b72720ec4ad25f2f8e2152745fd0761,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,199750.624798,1959.6288,101.932891,7.429
relation/12700585,relation_12700585,ES-MAD-BERRUGUETE,ES,ES.ME.AB.04.Gen.ReEx.001.001,AB,NEW_POST_1945,ES|AB|NEW_POST_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,6,e28b4b73b7c9d80ae18cb79deb58b3c948fdaf2815fd34aa2dfef4e40a599d1a,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,198969.457284,2740.6687,72.598871,5.32
relation/12700645,relation_12700645,ES-MAD-BERRUGUETE,ES,ES.ME.AB.02.Gen.ReEx.001.001,AB,OLD_PRE_1945,ES|AB|OLD_PRE_1945,FALLBACK_PENDING_LAYOUT,FALLBACK_ONE_ZONE_PER_FLOOR,7,55feb5b1bff0fb8c602719143028cfc5d409847adf200c29d34ca6ea724cbcc1,es,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,219187.576022,1954.8622,112.12431,11.087
