district,building_id,building_tag,footprint_area_m2,levels_observed,height_m,year_built_observed,epc_certificate_found,blocker,district_blocker_histogram,touching_prepared_neighbours,touching_neighbour_age_bands,nearest_prepared_id,nearest_prepared_distance_m,nearest_prepared_age_band,nearest_prepared_type,nearest_prepared_levels,proposed_imputed_age_band,imputation_source
ES-MAD-BERRUGUETE,way/340701292,house,40.5,2.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.03,relation/4835801,0.0,ES.03,AB,5.0,ES.03,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/391276770,apartments,944.0,6.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.06,way/391276768,0.0,ES.06,AB,2.0,ES.06,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/433014840,apartments,152.7,,,,,gpkg_null:year_built+levels+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.02,way/433014841,0.0,ES.02,AB,,ES.02,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/435508455,apartments,61.9,4.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.05,way/435508454,0.0,ES.05,AB,4.0,ES.05,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/435508458,apartments,169.7,4.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.04,way/435508459,0.0,ES.04,AB,4.0,ES.04,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/435823583,house,53.9,1.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.05,way/435823571,0.0,ES.05,AB,5.0,ES.05,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/435927688,apartments,239.8,4.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,1,ES.05,way/435927695,0.0,ES.05,AB,3.0,ES.05,touching_prepared_neighbours_agree
ES-MAD-BERRUGUETE,way/435927689,apartments,456.9,4.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,0,,way/435938302,6.4,ES.03,AB,3.0,ES.03,nearest_prepared_neighbour_6.4m
ES-MAD-BERRUGUETE,way/435929955,house,94.8,4.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,0,,way/965718572,8.3,ES.06,AB,4.0,ES.06,nearest_prepared_neighbour_8.3m
ES-MAD-BERRUGUETE,way/941927256,house,67.7,1.0,,,,gpkg_null:year_built+height_m,IDF_ASSEMBLY_FAILED_RuntimeError 6; MISSING_OBSERVED_YEAR_BUILT 7; MISSING_OBSERVED_YEAR_BUILT+DWELLING_COUNT 4; MISSING_OBSERVED_DWELLING_COUNT 1; TYPOLOGY_SIGNALS_DISAGREE 1,4,ES.02|ES.04,way/941927255,0.0,ES.02,TH,2.0,ES.02,nearest_prepared_neighbour_0.0m
