building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
29087,residential,Edificio generico,711.6,,9.0,assumed 9.0 m,,massing_box,5,0,3670.4,3670.4,0.0
31100,residential,Edificio generico,142.6,,9.0,assumed 9.0 m,,massing_box,5,0,712.9,712.9,0.0
29108,residential,Edificio generico,194.1,,9.0,assumed 9.0 m,,massing_box,7,0,1358.9,1358.9,0.0
29213,residential,Edificio generico,62.1,,9.0,assumed 9.0 m,,massing_box,5,0,310.7,310.7,0.0
28081,residential,Edificio generico,667.1,,9.0,assumed 9.0 m,,ruled,9,16,5269.7,4850.0,8.0
29232,residential,Edificio generico,734.9,,9.0,assumed 9.0 m,,massing_box,7,0,5144.0,5144.0,0.0
27410,residential,Edificio generico,625.8,,9.0,assumed 9.0 m,,massing_box,6,0,3754.5,3754.5,0.0
29237,residential,Edificio generico,118.3,,9.0,assumed 9.0 m,,massing_box,3,0,354.7,354.7,0.0
29258,residential,Edificio generico,250.1,,9.0,assumed 9.0 m,,massing_box,6,0,1616.6,1616.6,0.0
28864,residential,Edificio generico,583.6,,9.0,assumed 9.0 m,,massing_box,6,0,3501.3,3501.3,0.0
29028,residential,Edificio generico,358.7,,9.0,assumed 9.0 m,,massing_box,6,0,2152.3,2152.3,0.0
28861,residential,Edificio generico,177.4,,9.0,assumed 9.0 m,,massing_box,5,0,886.9,886.9,0.0
28843,residential,Edificio generico,89.6,,9.0,assumed 9.0 m,,ruled,7,16,737.7,491.1,33.4
28903,residential,Edificio generico,245.7,,9.0,assumed 9.0 m,,ruled,5,16,1031.3,798.8,22.5
29106,residential,Edificio generico,280.4,,9.0,assumed 9.0 m,,massing_box,6,0,1682.3,1682.3,0.0
29109,residential,Edificio generico,463.2,,9.0,assumed 9.0 m,,massing_box,5,0,2408.8,2408.8,0.0
28517,residential,Edificio generico,248.7,,9.0,assumed 9.0 m,,massing_box,6,0,1492.2,1492.2,0.0
29059,residential,Edificio generico,930.7,,9.0,assumed 9.0 m,,massing_box,5,0,4653.3,4653.3,0.0
29431,residential,Edificio generico,835.8,,9.0,assumed 9.0 m,,ruled,8,16,6684.9,6083.3,9.0
29484,residential,Edificio generico,144.4,,9.0,assumed 9.0 m,,massing_box,6,0,866.5,866.5,0.0
28025,residential,Edificio generico,181.0,,9.0,assumed 9.0 m,,massing_box,7,0,1419.5,1419.5,0.0
28273,residential,Edificio generico,108.5,,9.0,assumed 9.0 m,,massing_box,6,0,652.9,652.9,0.0
29180,residential,Edificio generico,223.2,,9.0,assumed 9.0 m,,massing_box,7,0,1562.3,1562.3,0.0
28621,residential,Edificio generico,443.8,,9.0,assumed 9.0 m,,massing_box,5,0,2219.2,2219.2,0.0
28175,residential,Edificio generico,1096.8,,9.0,assumed 9.0 m,,massing_box,6,0,6580.9,6580.9,0.0
27746,residential,Edificio generico,45.8,,9.0,assumed 9.0 m,,ruled,3,5,111.8,103.6,7.3
28754,residential,Edificio generico,713.3,,9.0,assumed 9.0 m,,massing_box,5,0,3727.3,3727.3,0.0
29210,residential,Edificio generico,440.0,,9.0,assumed 9.0 m,,massing_box,7,0,3080.0,3080.0,0.0
29219,residential,Edificio generico,461.2,,9.0,assumed 9.0 m,,massing_box,5,0,2305.9,2305.9,0.0
28020,residential,Edificio generico,35.4,,9.0,assumed 9.0 m,,massing_box,4,0,141.6,141.6,0.0
29272,residential,Edificio generico,241.3,,9.0,assumed 9.0 m,,massing_box,5,0,1206.3,1206.3,0.0
27610,residential,Edificio generico,5761.8,,9.0,assumed 9.0 m,,massing_box,6,0,46872.3,46872.3,0.0
28380,residential,Edificio generico,203.4,,9.0,assumed 9.0 m,,massing_box,5,0,1020.0,1020.0,0.0
29320,residential,Edificio generico,242.9,,9.0,assumed 9.0 m,,ruled,4,5,574.7,552.8,3.8
29523,residential,Edificio generico,154.1,,9.0,assumed 9.0 m,,massing_box,5,0,770.7,770.7,0.0
29117,residential,Edificio generico,392.1,,9.0,assumed 9.0 m,,massing_box,7,0,2744.8,2744.8,0.0
29444,residential,Edificio generico,103.4,,9.0,assumed 9.0 m,,massing_box,6,0,620.7,620.7,0.0
28968,residential,Edificio generico,350.5,,9.0,assumed 9.0 m,,massing_box,6,0,2102.7,2102.7,0.0
28969,residential,Edificio generico,864.4,,9.0,assumed 9.0 m,,massing_box,6,0,5186.5,5186.5,0.0
29413,residential,Edificio generico,241.5,,9.0,assumed 9.0 m,,massing_box,5,0,1207.3,1207.3,0.0
28912,residential,Edificio generico,330.8,,9.0,assumed 9.0 m,,massing_box,7,0,2315.5,2315.5,0.0
28700,residential,Edificio generico,168.5,,9.0,assumed 9.0 m,,massing_box,5,0,842.4,842.4,0.0
28708,residential,Edificio generico,357.8,,9.0,assumed 9.0 m,,massing_box,6,0,2146.8,2146.8,0.0
28685,residential,Edificio generico,327.0,,9.0,assumed 9.0 m,,ruled,7,16,1620.2,1208.7,25.4
81070,residential,,35.8,,9.0,assumed 9.0 m,,ruled,3,5,87.8,81.4,7.3
32109,residential,Edificio generico,1125.0,,9.0,assumed 9.0 m,,massing_box,6,0,6750.1,6750.1,0.0
31948,residential,Edificio generico,356.0,,9.0,assumed 9.0 m,,ruled,4,5,842.3,810.3,3.8
30573,residential,Edificio generico,212.7,,9.0,assumed 9.0 m,,massing_box,6,0,1276.0,1276.0,0.0
31951,residential,Edificio generico,270.1,,9.0,assumed 9.0 m,,massing_box,4,0,1081.0,1081.0,0.0
33362,residential,Edificio generico,163.5,,9.0,assumed 9.0 m,,massing_box,3,0,490.6,490.6,0.0
29605,residential,Edificio generico,460.9,,9.0,assumed 9.0 m,,massing_box,7,0,3226.1,3226.1,0.0
29735,residential,Edificio generico,353.1,,9.0,assumed 9.0 m,,massing_box,5,0,1765.5,1765.5,0.0
28217,residential,Edificio generico,1181.8,,9.0,assumed 9.0 m,,massing_box,8,0,11013.4,11013.4,0.0
29680,residential,Edificio generico,28.1,,9.0,assumed 9.0 m,,ruled,2,1,28.1,28.1,0.0
29360,residential,Edificio generico,129.8,,9.0,assumed 9.0 m,,massing_box,6,0,778.6,778.6,0.0
32350,residential,Edificio generico,135.4,,9.0,assumed 9.0 m,,massing_box,4,0,540.0,540.0,0.0
31975,residential,Edificio generico,373.2,,9.0,assumed 9.0 m,,ruled,4,5,882.9,849.3,3.8
33487,residential,Edificio generico,412.0,,9.0,assumed 9.0 m,,ruled,6,16,2113.8,1787.3,15.4
29701,residential,Edificio generico,306.7,,9.0,assumed 9.0 m,,massing_box,7,0,2146.7,2146.7,0.0
32123,residential,Edificio generico,80.5,,9.0,assumed 9.0 m,,ruled,4,5,190.4,183.2,3.8
32493,residential,Edificio generico,140.8,,9.0,assumed 9.0 m,,massing_box,7,0,985.5,985.5,0.0
32496,residential,Edificio generico,83.4,,9.0,assumed 9.0 m,,massing_box,4,0,333.5,333.5,0.0
32499,residential,Edificio generico,432.4,,9.0,assumed 9.0 m,,massing_box,5,0,2161.8,2161.8,0.0
32505,residential,Edificio generico,99.9,,9.0,assumed 9.0 m,,massing_box,3,0,299.9,299.9,0.0
31114,residential,Edificio generico,191.8,,9.0,assumed 9.0 m,,massing_box,5,0,1010.1,1010.1,0.0
31115,residential,Edificio generico,160.3,,9.0,assumed 9.0 m,,massing_box,5,0,801.3,801.3,0.0
31123,residential,Edificio generico,142.4,,9.0,assumed 9.0 m,,massing_box,5,0,712.0,712.0,0.0
31237,residential,Edificio generico,274.4,,9.0,assumed 9.0 m,,massing_box,5,0,1460.8,1460.8,0.0
30001,residential,Edificio generico,320.6,,9.0,assumed 9.0 m,,massing_box,5,0,1650.3,1650.3,0.0
95739,residential,Edificio generico,1491.5,,9.0,assumed 9.0 m,,massing_box,7,0,11658.9,11658.9,0.0
30425,residential,Edificio generico,187.1,,9.0,assumed 9.0 m,,massing_box,2,0,187.1,187.1,0.0
30971,residential,Edificio generico,275.0,,9.0,assumed 9.0 m,,massing_box,8,0,2199.4,2199.4,0.0
27683,residential,Edificio generico,1488.5,,9.0,assumed 9.0 m,,massing_box,5,0,8020.0,8020.0,0.0
28719,residential,Edificio generico,65.2,,9.0,assumed 9.0 m,,massing_box,3,0,196.8,196.8,0.0
33388,residential,Edificio generico,572.5,,9.0,assumed 9.0 m,,massing_box,5,0,2946.5,2946.5,0.0
30872,residential,Edificio generico,384.0,,9.0,assumed 9.0 m,,massing_box,4,0,1536.1,1536.1,0.0
30478,residential,Edificio generico,103.4,,9.0,assumed 9.0 m,,massing_box,5,0,517.0,517.0,0.0
30348,residential,Edificio generico,837.8,,9.0,assumed 9.0 m,,massing_box,6,0,5026.7,5026.7,0.0
31663,residential,Edificio generico,176.7,,9.0,assumed 9.0 m,,massing_box,5,0,934.6,934.6,0.0
30508,residential,Edificio generico,322.4,,9.0,assumed 9.0 m,,massing_box,6,0,1934.4,1934.4,0.0
30046,residential,Edificio generico,134.1,,9.0,assumed 9.0 m,,massing_box,7,0,938.4,938.4,0.0
32184,residential,Edificio generico,149.3,,9.0,assumed 9.0 m,,ruled,3,5,367.5,340.6,7.3
29404,residential,Edificio generico,71.0,,9.0,assumed 9.0 m,,ruled,4,5,166.6,160.3,3.8
93401,residential,Edificio generico,32.2,,9.0,assumed 9.0 m,,ruled,4,5,76.1,73.2,3.8
32634,residential,Edificio generico,372.6,,9.0,assumed 9.0 m,,massing_box,5,0,1929.7,1929.7,0.0
32345,residential,Edificio generico,65.1,,9.0,assumed 9.0 m,,massing_box,5,0,325.2,325.2,0.0
32194,residential,Edificio generico,494.7,,9.0,assumed 9.0 m,,massing_box,8,0,3956.7,3956.7,0.0
32202,residential,Edificio generico,301.7,,9.0,assumed 9.0 m,,massing_box,6,0,1908.7,1908.7,0.0
