cell,city,archetype_id,heating_eui,heating_eui,heating_eui,cooling_eui,cooling_eui,cooling_eui,lighting_eui,lighting_eui,lighting_eui,equipment_eui,equipment_eui,equipment_eui,fans_eui,fans_eui,fans_eui,pumps_eui,pumps_eui,pumps_eui,dhw_eui,dhw_eui,dhw_eui,cooking_eui,cooking_eui,cooking_eui,refrig_eui,refrig_eui,refrig_eui,total_eui,total_eui,total_eui,phaseE_total_eui,phaseE_total_eui,phaseE_total_eui
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
austin_centre,AUS,Courthouse,19.24779188880002,16.740143781130506,18,54.474844021892636,54.38197378109062,18,19.67665442448845,19.676654701361606,18,28.25618963502207,28.256190032617745,18,29.641291051353733,37.1947553658765,18,0.5174926834043168,0.5130694247416994,18,3.2223070139941212,2.8011173335941506,18,0.0,0.0,18,0.0,0.0,18,155.03657071895535,155.73976297056402,18,162.31601010052847,160.9018084621844,18
austin_centre,AUS,FullServiceRestaurant,72.54747193290937,61.2714388116969,9,157.726729701899,159.40846053676657,9,20.871809054751207,20.922304014318907,9,224.61656564801837,224.58343144914576,9,67.62022519934108,58.537692552992155,9,0.24248045316736355,0.24244468614572776,9,214.33005298073485,214.32773056970078,9,456.10700352535866,456.03972113182675,9,33.82889892953307,28.164802903933904,9,1247.891237425713,1223.7004510377851,9,1044.5637826884004,1069.620630255286,9
austin_centre,AUS,HighriseApartment,6.787587294831324,1.7639091434301315,8,21.08547418092473,18.725368421057638,8,4.05111720882464,4.1541841325292905,8,36.62655248019237,37.558390759730685,8,9.844929682137902,8.895518149263378,8,2.102459455590528,1.6395584386881414,8,45.553907506758435,46.71307482112657,8,0.0,0.0,8,0.0,0.0,8,126.05202780925993,117.97956747847775,8,98.89303714479917,105.2356546636016,8
austin_centre,AUS,LargeOffice,7.224462568697926,6.527816738918288,36,29.75673517495615,27.100534166567098,36,10.415807423137075,10.366409379330491,36,85.63676696403364,88.01331414924842,36,16.76768837949436,16.85410722095436,36,6.743273121529872,5.598828524515866,36,8.411095357159379,4.787365310051378,36,3.4680777200989414,0.0,36,0.09310294944336069,0.0,36,168.5170096585507,159.6639919578235,36,161.4412812549295,170.4631307162228,36
austin_centre,AUS,MediumOffice,13.124720906962336,14.711813023906226,69,34.24359288169374,36.248463076164846,69,9.447656378057172,9.438981331146136,69,36.13431915710016,36.11612834151914,69,9.635382347617576,10.230235219814553,69,0.008175721607607805,0.00817160586666646,69,7.544456603989823,7.543398580077449,69,0.0,0.0,69,0.0,0.0,69,110.13830399702842,114.30113194124652,69,128.2855260643381,124.06648376627737,69
austin_centre,AUS,OpenUBEMUnknown,20.61992797806237,17.219270542383093,37,92.85471239691388,92.25796510206031,37,34.25295113041703,34.68460176888508,37,206.42603830942315,203.28493211280815,37,40.07348120869335,30.25056289612419,37,0.0332916533814653,0.0,37,39.17034261674902,34.41148736443369,37,0.0,0.0,37,0.0,0.0,37,433.4307452936403,425.37763116541527,37,415.5540343730325,411.4960293199991,37
austin_centre,AUS,QuickServiceRestaurant,85.09859790161505,45.2775159714961,22,173.4909642286829,170.1287694036676,22,25.38395132049892,25.355414749057125,22,286.833926358526,286.7408228313636,22,81.65729098930272,59.70970227174743,22,1.1219695544554212e-08,1.1216053482488343e-08,22,224.18657873606662,224.10019965747543,22,805.1532420096208,804.8918970296937,22,62.151117729099994,43.40877972370052,22,1743.955669284633,1663.70437182779,22,1535.4584396100202,1560.6591907289976,22
austin_centre,AUS,RetailStandalone,13.031735915810854,11.678358846389706,13,40.827236707826245,37.77749879533975,13,22.205151898619405,22.22094318419292,13,23.542271866431193,23.52741817030546,13,48.3853165625378,35.94689748244112,13,0.0,0.0,13,11.699055643339518,11.690874414578529,13,0.0,0.0,13,0.0,0.0,13,159.69076859456501,142.8441739295894,13,182.9219865887897,186.90744331450423,13
austin_centre,AUS,SecondarySchool,38.26508595210762,38.26508595210762,2,85.26023324619885,85.26023324619885,2,4.89015572809776,4.89015572809776,2,16.76129673738907,16.76129673738907,2,49.75444588631994,49.75444588631994,2,1.7563544273128455,1.7563544273128455,2,6.253200041977243,6.253200041977243,2,6.40702708600918,6.40702708600918,2,62.29265841368298,62.29265841368298,2,271.6404575190955,271.6404575190955,2,213.75175847723057,213.75175847723057,2
