cell,SmallHotel_total,SmallHotel_simple,SmallHotel_complex,LargeHotel_total,LargeHotel_simple,LargeHotel_complex,combined_total,combined_simple
nyc_centre,0,0,0,26,15,11,26,15
la_urban,3,1,2,2,2,0,5,3
la_centre,1,1,0,3,1,2,4,2
austin_centre,0,0,0,2,1,1,2,1
nyc_rural,4,0,4,0,0,0,4,0
nyc_suburban,0,0,0,0,0,0,0,0
nyc_urban,0,0,0,0,0,0,0,0
la_suburban,0,0,0,0,0,0,0,0
la_rural,0,0,0,0,0,0,0,0
austin_urban,0,0,0,0,0,0,0,0
austin_suburban,0,0,0,0,0,0,0,0
austin_rural,0,0,0,0,0,0,0,0
