Date/Time,RELATION_12628570_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12628570_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12628570_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12628570_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/01  01:00:00,31554863.466230787,31020137.531905763,33354041.1430809,60937830.83361644 
 01/01  02:00:00,32829242.739308387,32344982.06084492,34754064.706112616,63476346.77186518 
 01/01  03:00:00,32932325.410739057,32475001.6877013,34906046.57999567,63744437.94576275 
 01/01  04:00:00,33446560.09883404,33023222.990470715,35490700.51976838,64703285.60678779 
 01/01  05:00:00,33940702.506799154,33555127.780392066,36053445.10997283,65519306.69129713 
 01/01  06:00:00,33756882.15131064,33385488.599552266,35894675.06019959,65366132.2705772 
 01/01  07:00:00,33629314.08656661,33268006.79001816,35779388.364280075,65150326.83315262 
 01/01  08:00:00,33768067.294707194,33426593.561895706,35947420.0868603,65328948.61456022 
 01/01  09:00:00,33891345.64719707,33571871.27599196,36099019.018586546,65356563.42550457 
 01/01  10:00:00,33179455.903221894,32886996.770453718,35372154.94803731,63417050.2119578 
 01/01  11:00:00,31330813.502484776,31121354.091347508,33474589.146363918,57682002.61324244 
 01/01  12:00:00,27945438.32774166,27788627.902066335,29947747.679050025,49538283.808995396 
 01/01  13:00:00,25072723.331995495,24930786.237573083,26913100.336787276,42963444.62707258 
 01/01  14:00:00,23827010.0805676,23662860.863674954,25538537.493757576,40098051.8625155 
 01/01  15:00:00,22214040.762762703,22058682.1814088,23858808.68686871,37016075.34154394 
 01/01  16:00:00,18514005.30100173,18365047.556027178,20062771.450631075,30370770.557581544 
 01/01  17:00:00,16517940.367102945,16305481.42439961,18075805.557572708,29932749.479641248 
 01/01  18:00:00,16009144.97528922,15709849.994344788,17658184.65664778,33381695.74426318 
 01/01  19:00:00,23995206.399498153,23283802.64571325,25229754.741398066,46741730.40981037 
 01/01  20:00:00,25429510.487385333,24747886.968958702,26755693.8258185,49125713.422057256 
 01/01  21:00:00,26080441.34473579,25404529.362114117,27453081.163912438,50523795.27269652 
 01/01  22:00:00,26825857.006397307,26164691.185501695,28254398.29754141,51907418.1562818 
 01/01  23:00:00,28240911.37878936,27608295.75108358,29780416.246271357,54879362.857484624 
 01/01  24:00:00,29444994.580582436,28851968.814222552,31092716.392271653,57105948.4816801 
 01/02  01:00:00,29616819.885934487,29035701.92217648,31310818.147262998,57898709.66789856 
 01/02  02:00:00,29725843.243196957,29147058.365129896,31475599.25720921,59066204.535497814 
 01/02  03:00:00,30169025.296426047,29605858.487576626,32006669.35732612,60814706.923109494 
 01/02  04:00:00,32658202.677914925,32158513.046822846,34702876.39267143,65928188.72849774 
 01/02  05:00:00,35195142.75918008,34776607.64211391,37457986.52771383,70835069.09729308 
 01/02  06:00:00,36190623.812440045,35827468.93250946,38572447.820254326,72515778.44906044 
 01/02  07:00:00,36410659.308377944,36085345.202325,38854275.91054111,72668860.04762551 
 01/02  08:00:00,35208533.310286544,34884773.10984002,37637691.52480302,70791855.22094387 
 01/02  09:00:00,34132377.052492306,33791056.30885387,36533152.803049654,69443238.99516195 
 01/02  10:00:00,32905525.22616211,32549923.883482546,35235395.1321674,66745315.86209395 
 01/02  11:00:00,30887044.862482443,30463378.696772255,32807857.704426788,57397113.304046 
 01/02  12:00:00,27151545.962795384,26527211.340074178,28251845.486996256,42608186.32066731 
 01/02  13:00:00,23994331.248707257,23167538.88695729,24373095.68418113,31866151.280833263 
 01/02  14:00:00,22386242.943282664,21478341.679381203,22400113.64284109,26719999.27524104 
 01/02  15:00:00,22375122.84922462,21492400.669251695,22469033.4881048,28137120.005102772 
 01/02  16:00:00,21558086.408977702,20676530.054833956,21699466.941132806,28650373.18580846 
 01/02  17:00:00,19965618.214511238,19057304.938890614,20174562.956754304,28954695.916876454 
 01/02  18:00:00,19414676.488493446,18465149.373449262,19828926.964453243,33292037.684335545 
 01/02  19:00:00,25403603.88985671,24519795.40775522,26193776.606019862,46341226.12464291 
 01/02  20:00:00,26689551.077934638,25840453.134650715,27611460.82364421,49022781.014333375 
 01/02  21:00:00,27283654.66121847,26468976.99117185,28342875.75985312,51138361.00345358 
 01/02  22:00:00,27536588.959892005,26753307.01955496,28705584.974646103,52416406.40611522 
 01/02  23:00:00,28414791.65859174,27675453.099694796,29702982.38986769,54187101.913091056 
 01/02  24:00:00,29081153.647638377,28389852.15113562,30458863.8012753,54939865.73400066 
 01/03  01:00:00,29551123.34384144,28894672.314630948,30985919.453399144,55413581.620684505 
 01/03  02:00:00,30612488.17333129,29992102.136273913,32175881.355107833,58095018.6482048 
 01/03  03:00:00,31346720.242654752,30753270.18794959,33043225.14855133,60822462.572811574 
 01/03  04:00:00,32467459.18626526,31917869.38948,34302971.19688102,63432969.2821611 
 01/03  05:00:00,33872448.25389551,33385924.3055818,35852398.013627864,65916080.03431395 
 01/03  06:00:00,35097510.01659034,34665734.25886224,37225468.83464915,68592217.2934658 
 01/03  07:00:00,35275525.815338224,34880278.01659477,37493969.95976995,69378273.5396841 
 01/03  08:00:00,34432648.08975031,34050700.76834667,36625011.44651318,67177328.62268151 
 01/03  09:00:00,33868433.64744857,33479627.272096027,36038703.722069316,66223372.00618908 
 01/03  10:00:00,32938361.521485996,32539386.091735672,35039438.76768136,63813754.58214077 
 01/03  11:00:00,29656015.46675069,29178590.308869503,31262276.768799245,51636449.2882702 
 01/03  12:00:00,24654473.661482003,24012083.406956825,25553925.602930654,36821540.148120455 
 01/03  13:00:00,23961911.59319035,23305335.572463453,24756376.729177915,35323516.99640921 
 01/03  14:00:00,22607171.338443134,21923612.170788016,23184211.731980894,31196033.958127838 
 01/03  15:00:00,22320060.514583953,21629856.216592833,22899629.491297103,31785998.750569325 
 01/03  16:00:00,22699022.443707157,21992582.508261435,23349909.51885843,34581354.94852197 
 01/03  17:00:00,26734948.83931421,26024166.635596063,27725201.678594604,47135135.30654727 
 01/03  18:00:00,27442572.181442793,26750396.528362006,28537361.8804852,49428970.92456463 
 01/03  19:00:00,26761221.184119597,26060554.141907483,27902637.28165775,49281252.35417658 
 01/03  20:00:00,26387077.985429578,25676336.894497503,27536200.205800362,48985956.84071209 
 01/03  21:00:00,26181824.735157546,25462625.832517453,27338019.101057008,48897520.18884846 
 01/03  22:00:00,25862514.312313877,25126343.453686006,27011946.690843187,48685165.35042061 
 01/03  23:00:00,25807447.60119809,25044432.441690154,26940734.989688694,48896040.845649265 
 01/03  24:00:00,26776749.077338587,26039100.579728954,27989390.580779824,50635585.78978054 
 01/04  01:00:00,27623289.42657825,26918478.29126068,28919543.9715786,52157498.799191825 
 01/04  02:00:00,27829698.694651496,27136927.987614088,29163135.837917794,52632336.0318546 
 01/04  03:00:00,27329061.12504757,26642551.395572916,28669884.964511756,51852582.84698118 
 01/04  04:00:00,27371620.297292493,26684333.478904806,28717034.46046584,51941273.22095376 
 01/04  05:00:00,27303159.956270233,26633189.58563246,28677536.914896876,51821030.05608619 
 01/04  06:00:00,27123786.761072878,26466141.35326071,28507539.718661845,51414457.87637643 
 01/04  07:00:00,26903336.581979867,26256811.702219393,28295886.928924993,50994449.07162917 
 01/04  08:00:00,26525400.35469,25869178.92908645,27894661.234473415,50368771.49777988 
 01/04  09:00:00,26278841.006670706,25606444.035123393,27621876.374897394,49999000.36217023 
 01/04  10:00:00,25726162.81136659,25042177.166703954,27020638.52633492,48675048.509299174 
 01/04  11:00:00,25055946.672267705,24364015.861817427,26229334.71458151,45569030.45708232 
 01/04  12:00:00,23174615.35768829,22451755.009491082,24120769.547294717,39852219.78689804 
 01/04  13:00:00,21414256.95277544,20659215.905262165,22105562.631448373,34016016.62611562 
 01/04  14:00:00,20259764.079833668,19485552.851333603,20741074.87777984,29572974.63016982 
 01/04  15:00:00,20813291.957510583,20037745.560119893,21357062.337794118,32287438.513812605 
 01/04  16:00:00,23796131.42443717,22971705.275265604,24569760.09909832,42352440.22526015 
 01/04  17:00:00,24002764.62056827,23175043.844435196,24783955.09376769,42972472.67150485 
 01/04  18:00:00,23981943.855428647,23161630.93171593,24786693.714775544,43151873.76755712 
 01/04  19:00:00,24019932.67566824,23206471.329019833,24847695.987063594,43438423.652135246 
 01/04  20:00:00,24061538.93377253,23258060.984908782,24924578.682236355,43806154.34927217 
 01/04  21:00:00,22939917.43937141,22122727.473981872,23847531.170708306,43464404.28283501 
 01/04  22:00:00,23257494.196295477,22441099.231725432,24212927.941450227,44580694.88726639 
 01/04  23:00:00,24093196.738273926,23294907.907338645,25124049.53477692,46307794.52199441 
 01/04  24:00:00,25737707.587343905,24984554.467053898,26876491.939016253,48726008.631932534 
 01/05  01:00:00,26637329.161358245,25922000.021613672,27853278.19426914,50020794.997643866 
 01/05  02:00:00,25926399.484556325,25202643.350807063,27129381.118456155,48990085.26066765 
 01/05  03:00:00,25311745.706724763,24566074.403368175,26477726.77416674,48082609.39346743 
 01/05  04:00:00,25559744.550111365,24819437.95777441,26748351.113639746,48551122.86594075 
 01/05  05:00:00,25726276.16268285,25003617.327187978,26949564.51455245,48834803.49133783 
 01/05  06:00:00,25979580.059069917,25263560.898528893,27196489.74940792,48893532.34404301 
 01/05  07:00:00,25903491.288634196,25197825.619816788,27142239.391666483,48890903.122078925 
 01/05  08:00:00,25739172.742389686,25038665.14864359,26996014.567615215,48823229.207839996 
 01/05  09:00:00,25531135.060156498,24832625.512089167,26787312.535198394,48466546.01702092 
 01/05  10:00:00,25445819.698787026,24751739.08799414,26688520.180934798,47915443.67180481 
 01/05  11:00:00,24433699.41021749,23741868.119869843,25603406.67570251,45120645.53782762 
 01/05  12:00:00,20961663.06162484,20215149.777265657,21785956.54420802,35872315.01937242 
 01/05  13:00:00,14998775.623154677,14054879.966816109,14858829.999382975,17645150.06909731 
 01/05  14:00:00,11944424.804813256,10798712.846806793,11027006.466683242,9758023.497046784 
 01/05  15:00:00,10717969.171440512,9389933.14746293,9454791.249421176,8000508.391432272 
 01/05  16:00:00,10591451.658097873,9208490.316906944,9413622.009714589,9427802.527382795 
 01/05  17:00:00,11426743.708201192,10119391.550701013,10638292.996442316,14427023.149677828 
 01/05  18:00:00,11524907.011597514,10156246.379618993,10946308.636151385,19055126.709625617 
 01/05  19:00:00,19497903.89440293,18189702.25749349,19348839.288719025,34931377.76184185 
 01/05  20:00:00,21561829.171136193,20326125.38160104,21646695.924490713,39112286.50141031 
 01/05  21:00:00,22295431.30066067,21109062.530112535,22534572.458253086,40976447.51619266 
 01/05  22:00:00,23178894.637058634,22053928.525255296,23581488.13969845,42923311.98040805 
 01/05  23:00:00,24607495.0747557,23556734.092155635,25199119.23516088,45740218.59394104 
 01/05  24:00:00,25999312.908237018,25011810.824776307,26815672.119261064,49763223.33362717 
 01/06  01:00:00,26890066.561513286,25954234.176975578,27914712.253657915,53219596.343043685 
 01/06  02:00:00,27465892.66530936,26580027.078295767,28655529.97335142,55387604.69087404 
 01/06  03:00:00,28261962.045752384,27434020.333485685,29619531.757935192,57593842.80310349 
 01/06  04:00:00,29314194.298518665,28550601.082673624,30824860.50275074,59600353.53811088 
 01/06  05:00:00,31309303.612827186,30633952.795779914,33003107.15793629,62650685.110455506 
 01/06  06:00:00,32787364.766291708,32190926.515178803,34650791.84940542,65266302.23549892 
 01/06  07:00:00,32603448.472317904,32046751.616188705,34544226.899716,65216790.5328719 
 01/06  08:00:00,32062556.33082301,31524218.260215003,34032536.66313034,64522733.2666773 
 01/06  09:00:00,31344193.741808243,30818048.366538495,33326756.467308614,63456839.4041878 
 01/06  10:00:00,30580615.10318735,30068850.981385965,32539753.258548044,61522019.82149866 
 01/06  11:00:00,28798956.64624828,28336650.19650691,30608292.658971943,54369046.295259275 
 01/06  12:00:00,23964678.035708398,23467787.754113264,25254649.305718984,38854753.38203885 
 01/06  13:00:00,19639662.34689929,19096198.450382415,20394539.64370209,25508109.52646307 
 01/06  14:00:00,19460033.6573992,18895713.01985848,20052620.224337406,24085323.369220838 
 01/06  15:00:00,19706347.49560686,19137591.528423596,20355596.385014102,26284457.577117126 
 01/06  16:00:00,18006902.4873415,17475950.612022426,18750002.511870094,25119388.6365592 
 01/06  17:00:00,15816517.166699693,15295012.171840118,16771623.55753061,25751657.398500726 
 01/06  18:00:00,17213631.29333562,16528472.851407621,18306815.50875725,34688802.38830078 
 01/06  19:00:00,26807597.38141201,25941970.768666867,27935329.43228125,52664212.35634178 
 01/06  20:00:00,29430227.05891547,28643486.797439046,30826509.0907347,58394499.263214536 
 01/06  21:00:00,30793352.18497812,30074284.444252275,32382148.009956274,61452059.193212986 
 01/06  22:00:00,31581558.08554792,30922499.323737033,33314124.609721854,63056723.50491643 
 01/06  23:00:00,33052668.286935385,32465269.426286228,34951011.289664,65692208.04333211 
 01/06  24:00:00,34233215.50154297,33707661.381663255,36269541.85443949,67771568.2942431 
 01/07  01:00:00,35195607.07431155,34715769.50388722,37314209.50627822,68858348.93439157 
 01/07  02:00:00,36784775.66382196,36376175.92818144,39040917.71757683,71289809.42412642 
 01/07  03:00:00,37462177.17403774,37112442.834426954,39828855.19420916,72514695.10842232 
 01/07  04:00:00,36260910.50578191,35940627.89623017,38608624.631636515,69793283.72845641 
 01/07  05:00:00,35138193.770651385,34824616.2487822,37437189.897585064,67277183.36807208 
 01/07  06:00:00,35328524.68617491,35044290.94621704,37657591.866389245,67421799.27858274 
 01/07  07:00:00,35906404.95043679,35663704.83593711,38296074.963523746,68287540.01453227 
 01/07  08:00:00,36173477.431437775,35961664.687261224,38604140.814885646,68672782.42276104 
 01/07  09:00:00,36267081.417083845,36078007.36818637,38722676.3606881,68761246.91998677 
