cell,mode,remote_dir,local_dir,n_fleet_lst,n_files_total,n_end,n_sql,n_err,n_eio
la_rural,auto,/speed-scratch/o_iseri/fleets/r05probe_la_rural_auto,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\la_rural_auto,149,596,149,149,149,0
la_rural,building,/speed-scratch/o_iseri/fleets/r05probe_la_rural_building,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\la_rural_building,149,596,149,149,149,0
la_rural,floor,/speed-scratch/o_iseri/fleets/r05probe_la_rural_floor,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\la_rural_floor,149,596,149,149,149,0
la_rural,layout_assign,/speed-scratch/o_iseri/fleets/r05probe_la_rural_layout_assign,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\la_rural_layout_assign,149,596,149,149,149,0
la_rural,fast_zone,/speed-scratch/o_iseri/fleets/r05probe_la_rural_fast_zone,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\la_rural_fast_zone,149,596,149,149,149,0
nyc_rural,auto,/speed-scratch/o_iseri/fleets/r05probe_nyc_rural_auto,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\nyc_rural_auto,198,792,198,198,198,0
nyc_rural,building,/speed-scratch/o_iseri/fleets/r05probe_nyc_rural_building,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\nyc_rural_building,198,792,198,198,198,0
nyc_rural,floor,/speed-scratch/o_iseri/fleets/r05probe_nyc_rural_floor,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\nyc_rural_floor,198,792,198,198,198,0
nyc_rural,layout_assign,/speed-scratch/o_iseri/fleets/r05probe_nyc_rural_layout_assign,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\nyc_rural_layout_assign,198,792,198,198,198,0
nyc_rural,fast_zone,/speed-scratch/o_iseri/fleets/r05probe_nyc_rural_fast_zone,C:\Users\o_iseri\AppData\Local\Temp\ubem_r05_harvest\nyc_rural_fast_zone,198,792,198,198,198,0
