Date/Time,BATIMENT0000000240880049_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880049_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880049_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880049_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2372546.7506826315,2230480.5888344,2364305.388217916,3293493.9974672943 
 01/01  02:00:00,2580702.183257307,2455553.4769431795,2608356.517837452,3659348.3291533785 
 01/01  03:00:00,2689366.9667742006,2573813.2189609185,2734744.4616581895,3833173.1675036643 
 01/01  04:00:00,2748082.8002651995,2640135.2756886245,2808796.5897807013,3948347.9229634767 
 01/01  05:00:00,2789998.786668548,2687379.2628102526,2861135.3965414446,4023787.731087078 
 01/01  06:00:00,2870995.229642209,2775647.1774170953,2955136.5320440517,4149744.493175505 
 01/01  07:00:00,2899684.320210955,2810236.6616435125,2994179.1091774623,4210609.6324289385 
 01/01  08:00:00,2937873.279055106,2853219.8388358667,3042801.4321454503,4290198.733752339 
 01/01  09:00:00,3051883.356731895,2975912.0487873144,3171238.21553951,4460851.023219355 
 01/01  10:00:00,3122757.137588409,3050689.5155424117,3233764.945232992,4482898.908584436 
 01/01  11:00:00,2745509.4999685246,2655029.2803341458,2777461.011459445,3556033.950815581 
 01/01  12:00:00,2052921.9938327833,1940341.9833511626,1996358.6743271393,2015583.4420436225 
 01/01  13:00:00,1493183.5828451402,1359305.608321893,1367677.1652171141,750770.5256943519 
 01/01  14:00:00,1157170.6234140687,1008601.3027793423,996314.817521946,64600.57830840378 
 01/01  15:00:00,1019852.9704592009,852466.8418333489,828702.3218445189,5910.4227929303315 
 01/01  16:00:00,1144748.9666759719,962035.4678472148,953374.1823738654,541590.7144791876 
 01/01  17:00:00,1424929.2538615693,1228285.896997038,1252506.2908764754,1420821.406258021 
 01/01  18:00:00,1773622.8376576626,1589778.6648206827,1666536.979820172,2214637.881163127 
 01/01  19:00:00,1981593.3100745725,1807148.2343669494,1894192.7384650991,2525792.836631854 
 01/01  20:00:00,2115613.8625918212,1948484.5596750602,2043151.883216718,2731997.3921799455 
 01/01  21:00:00,2191945.8495915993,2028604.7281048622,2125583.22304207,2833872.8527525314 
 01/01  22:00:00,2206360.0057532988,2045071.3937947666,2143802.043601406,2863354.4259562124 
 01/01  23:00:00,2206982.824603307,2049512.1868872542,2158625.4210796263,2939035.5524292313 
 01/01  24:00:00,2197438.308784601,2042595.7728078845,2158334.7933380427,2967587.4098557625 
 01/02  01:00:00,2206749.4207194587,2050605.3069142045,2163045.9022525814,2951492.3545823707 
 01/02  02:00:00,2208887.587625034,2051752.0231598793,2159382.655655301,2916606.134263516 
 01/02  03:00:00,2262558.2381786522,2106278.760754882,2212763.6090788054,2971139.025845128 
 01/02  04:00:00,2388575.9221716323,2237632.8908421737,2343107.6147809518,3105227.069568662 
 01/02  05:00:00,2520974.405729911,2376747.519969791,2481435.8000157243,3251891.2007102617 
 01/02  06:00:00,2612443.86476789,2474701.91406649,2581982.602396814,3374041.174291855 
 01/02  07:00:00,2625597.600958673,2490929.306578849,2598524.3588434756,3389817.3116141846 
 01/02  08:00:00,2665745.8003809294,2533720.1365856514,2641996.7713026367,3441425.6660295045 
 01/02  09:00:00,2756816.6773307417,2631507.4032259556,2741555.823575905,3560751.2036228916 
 01/02  10:00:00,2788117.300001623,2664080.281826091,2763528.3613103954,3571582.5754349898 
 01/02  11:00:00,2651206.8938981765,2511825.4679858396,2563258.0761797465,3207261.651697982 
 01/02  12:00:00,2329324.1256901016,2167648.2659578314,2161953.7718610964,2420967.9576231847 
 01/02  13:00:00,2040882.6815445158,1856125.8580049668,1806398.5856157597,1804070.098293823 
 01/02  14:00:00,2153456.8785682833,1962985.4755548052,1940582.7952933914,2325975.132449232 
 01/02  15:00:00,2499386.0047597797,2330258.0955791953,2346465.4949907367,2956229.1922836723 
 01/02  16:00:00,2849678.51269631,2706620.664118678,2758123.5394001035,3517402.2642776784 
 01/02  17:00:00,3115043.018841085,2993998.4176130705,3076673.067851044,3955885.56275342 
 01/02  18:00:00,4177274.4693625653,4097062.2372418293,4186059.473662809,5182681.806575852 
 01/02  19:00:00,4548934.587932847,4484563.5043469425,4570280.9726736285,5580203.356806938 
 01/02  20:00:00,4648232.423952652,4595248.727195773,4683952.959909589,5700956.164004703 
 01/02  21:00:00,4716136.134570699,4672782.953795757,4763905.7806298,5785905.818973612 
 01/02  22:00:00,4858619.826569544,4826018.873043649,4920065.089825917,5957317.719946186 
 01/02  23:00:00,5035793.323742177,5014803.18911837,5112228.206169704,6174762.838661342 
 01/02  24:00:00,5298344.2186124865,5293984.782459083,5396827.3051003665,6513557.880872516 
 01/03  01:00:00,5608479.516871336,5624174.82734474,5733577.365882061,6919926.813525734 
 01/03  02:00:00,5318481.601062955,5363462.765477473,5530262.611569054,6943634.870923783 
 01/03  03:00:00,5368961.055082854,5429636.0716844,5617316.815327284,7130188.445192846 
 01/03  04:00:00,5479814.914838953,5550647.781649411,5746786.092423148,7307525.882339923 
 01/03  05:00:00,5548590.65023188,5626623.391984429,5829510.3826723695,7426401.600283729 
 01/03  06:00:00,5567930.817937265,5648463.363930741,5856040.588965122,7481647.190389284 
 01/03  07:00:00,5587321.884649368,5667638.6098487275,5879221.05137372,7536258.644047167 
 01/03  08:00:00,5609741.813623651,5692195.71348573,5907482.756254092,7586642.498312123 
 01/03  09:00:00,5643156.615037756,5729890.450854657,5948435.296075283,7640828.754000876 
 01/03  10:00:00,5611027.230400496,5697054.609828319,5910506.047222575,7584255.317749116 
 01/03  11:00:00,5454986.2479386395,5518451.321654106,5692666.39143021,7266107.682986444 
 01/03  12:00:00,5176490.961138105,5188051.560021605,5278275.551757276,6646433.956955839 
 01/03  13:00:00,4854955.009433419,4825685.990403604,4844320.5625400245,5965105.996283014 
 01/03  14:00:00,4639716.598938902,4609038.192086467,4615751.451927263,5511317.142186809 
 01/03  15:00:00,4473152.353513852,4444079.635656426,4455660.047047936,5137870.789142889 
 01/03  16:00:00,4327399.90343934,4308899.387390071,4353261.6490720995,4881468.376469876 
 01/03  17:00:00,4410675.007786941,4407930.196475033,4531161.264250973,5648314.61157019 
 01/03  18:00:00,4975507.741464872,5028812.290922622,5264595.369325861,7114069.416023664 
 01/03  19:00:00,5504767.138231536,5589099.090759842,5852356.0550906025,7904900.822121575 
 01/03  20:00:00,5622931.95190275,5721319.769225394,5999195.743122797,8126195.1433315165 
 01/03  21:00:00,5841930.407032284,5961766.3962398255,6256200.970498534,8459208.32050295 
 01/03  22:00:00,6117696.361180672,6261785.833445952,6572986.917436555,8873368.101330182 
 01/03  23:00:00,6178470.779217044,6330950.631410192,6656292.932007398,9049268.1584174 
 01/03  24:00:00,6410873.182890219,6576114.69061646,6925562.57125297,9515106.77462841 
 01/04  01:00:00,6781688.464274393,6959125.4822855005,7316960.4341541175,10025295.827689555 
 01/04  02:00:00,7067767.745240234,7250643.643306821,7602241.32596914,10321280.405537339 
 01/04  03:00:00,7299954.182830377,7479198.1518592145,7796685.067545772,10309826.290952267 
 01/04  04:00:00,7434936.29928964,7608496.432401385,7896233.523683863,10247630.239764787 
 01/04  05:00:00,7528462.245920483,7703816.454093542,7988584.110475476,10357236.51528242 
 01/04  06:00:00,7656174.924436886,7845398.6815195335,8133265.030683109,10512846.999277009 
 01/04  07:00:00,7778371.789519319,7979748.335561026,8270129.502328245,10662806.884321364 
 01/04  08:00:00,7790586.169673125,7994930.549591357,8284098.446333356,10672839.501698853 
 01/04  09:00:00,7795911.695343168,8002782.833216418,8289471.3444157,10663988.260248624 
 01/04  10:00:00,7773952.173697328,7976567.609875452,8240266.261220196,10548623.858976712 
 01/04  11:00:00,7352548.390995979,7508034.560115242,7685415.049875205,9720878.732707929 
 01/04  12:00:00,6694553.976451715,6774130.10657311,6840295.343811202,8397609.765342524 
 01/04  13:00:00,5879711.985987212,5880708.3743757345,5839916.812496126,6657284.859101141 
 01/04  14:00:00,5231700.990088799,5189434.362897678,5109725.5335481735,5637157.570740793 
 01/04  15:00:00,4804026.339835985,4741859.67607433,4665535.755708696,5083807.086566732 
 01/04  16:00:00,4558186.861643609,4496715.550123858,4453318.7711239215,4806334.428970062 
 01/04  17:00:00,4540659.669783631,4509372.614779559,4547704.177294183,5253710.05993396 
 01/04  18:00:00,4826794.641601263,4849571.312427899,5002684.094280326,6386487.85532584 
 01/04  19:00:00,5070149.942450002,5108171.5731097665,5276996.975462648,6744217.029390596 
 01/04  20:00:00,5227574.893673203,5277038.023979506,5457094.606724094,6979524.271048537 
 01/04  21:00:00,5190985.752726704,5240768.399113903,5427029.257773221,6968099.339617337 
 01/04  22:00:00,5197908.140721417,5244427.503727942,5435582.887666142,7009703.24650641 
 01/04  23:00:00,5159221.325089935,5207371.249130092,5403302.058688563,6983096.682993868 
 01/04  24:00:00,5088844.645863973,5135370.599687356,5332987.966941526,6898036.219899919 
 01/05  01:00:00,5195446.415230006,5242867.726900856,5444725.219261045,7055728.66922212 
 01/05  02:00:00,5229174.295633469,5275378.355057533,5479961.000027059,7123929.988038178 
 01/05  03:00:00,5186603.335701662,5227584.909332834,5432369.994852342,7085098.22520663 
 01/05  04:00:00,5201452.09505822,5239006.345068663,5444614.023669303,7117406.30981471 
 01/05  05:00:00,5197505.087222057,5235465.983991414,5442453.160187321,7117060.134968115 
 01/05  06:00:00,5180446.534855358,5218434.126780897,5426103.475190732,7096043.0190877495 
 01/05  07:00:00,5177392.10433756,5213987.274919985,5421629.669612611,7093963.777959314 
