building_id,archetype_id,building_type,age_band,geometry_outcome,construction_period_provenance,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
relation/12628571,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,b251f08866be35c7b8330c834956cdcf2c70591f58e63038a82efab6a7f2fb24,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,1,0,181511.967145,1785.306,101.669947,887,hostname=magic-node-02.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12628571.json
relation/12702626,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,dc06c224165b5c76f452af3bef0bcca024fdfc4bf21d84802afd79deea2e719f,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1,24,1,,922.8565,,4,hostname=magic-node-03.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12702626.json
relation/12707195,ES.ME.AB.01.Gen.ReEx.001.001,AB,ES.01,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,32461d5732e1ad3a390938b970ac6161fe8c82ef930e22a969e69f944e02d6df,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,43628.622815,284.6536,153.269176,2056,hostname=magic-node-04.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12707195.json
relation/12800463,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,4fd828cab33a1720bf8ec49be5a45b50af0d0803615774ffd220e058f2532596,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,198448.33322,1366.2824,145.246937,4242,hostname=magic-node-05.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12800463.json
relation/12800464,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,582feb39d4201b911a8b37c2220149829d5863dd48318fdb083a96a9bcc6b8bd,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1,4,1,,1524.1327,,4,hostname=magic-node-06.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12800464.json
relation/12800465,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,c86a59f4379f5cf8314989711fc2db979a0f6ccaf64c5133e90591c81dc5c328,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,181562.530763,1216.161,149.291525,4426,hostname=magic-node-07.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12800465.json
relation/12818819,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,14c1ece166103e36585ecb03627932c02519d1dbac2e4bd7791dc60fecd0f39e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,118496.785025,1944.8707,60.927847,1094,hostname=magic-node-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12818819.json
relation/12993356,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,f7b2e551324c4ba553993c939f99f45ada722a17079737a3216da6f1e24752f3,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1,9,1,,1341.6166,,2,hostname=magic-node-09.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/12993356.json
relation/13033801,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,d0082dc04ebb2ce2ce2d837badd445a3f8c49f04cecb4ae69bd4f7a59576c3f1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,1,9,1,,1276.2851,,4,hostname=magic-node-10.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/13033801.json
relation/13160791,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED_BEST_EFFORT,,54c33b8e3333fae9333621ccb9bbbe4807600c85fccdc9288d79f9e65a5efbd1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,0,0,0,311897.806802,1697.2098,183.77092,2800,hostname=speed-08.encs.concordia.ca / kernel=Linux 5.14.0-687.39.1.el9_8.x86_64,"EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2026.09.08 15:00",openubem/outputs/eu_evidence/EU-11/ES-MAD-BERRUGUETE_recut_2026-09-08/layouts/relation/13160791.json
