osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,total_eui_kwh_m2,fans_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/222366800,149.9448426763864,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",81.0514108646527,24.654339346429,26.4651005984,27.764778058354104,159.9356288678358,1.534263558066403,14.670305366502138,5.116071266456175,5.491825955375181,5.761524624445177,31.03972721277867,0.0,success,,-121.48874388438703,-1.9522738459850797e-12
way/472960895,103.43904160744512,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,62.750587496821844,14.252557051725953,3.9654911444110037,43.39802549902604,124.36666119198483,0.9290231443159145,11.357856336924753,2.957576618917756,0.8228869983590162,9.005611067353891,24.143931021555417,0.17166703282392495,success,,-121.48873263854128,3.3394542381410837e-06
way/472960930,30.457532800081186,1.0,3.5,Warehouse,single_zone,no_floors,17.3221881147506,13.568525907018339,4.863584832,11.300399999999998,47.05469885376893,0.4191626259094787,3.1353160487698584,2.8156319480171894,1.009252215657984,2.3449686047999996,9.30516881724503,1.6903376119088909,success,,-121.48874388438848,4.028040855850104e-12
way/472960931,30.007834769405076,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,17.610628123620145,12.439541752449633,4.863584831770343,11.3003999994664,46.21415470730653,0.39548929590259935,3.1875236903752464,2.5813541881343283,1.0092522156103274,2.3449686046892717,9.123098698809173,1.5845661546284813,success,,-121.48874388598108,3.647581531397764e-10
way/472960932,34.21969449069258,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,15.959944976985662,11.36465451787109,4.863584822386046,11.300399977662254,43.48858429490505,0.35823807161413423,2.8887500408344047,2.3583021883124657,1.0092522136629731,2.3449686001646497,8.601273042974494,1.5619090280676404,success,,-121.48874522812717,-4.930791803261185e-06
way/472960933,473.24762621644567,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,4.594065575950912,3.9478027114672316,4.863584811269604,11.30039995183352,24.705853050521267,0.11088351639043297,0.8315258692471151,0.8192164362619881,1.0092522113561782,2.344968594804877,5.0049631116701585,1.1960513397101362,success,,-121.48874065409863,1.9853385142459382e-05
way/472960934,87.2318146088054,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,8.568434613172222,7.120706628733583,4.863584858987017,11.300400062703563,31.853126163596386,0.20930021297259135,1.5508866649841722,1.4776320739417632,1.0092522212581139,2.344968617811742,6.382739577995792,1.466039675291146,success,,-121.48873523562573,4.72909647430532e-06
way/472960935,855.503390077185,2.0,7.0,Warehouse,perimeter_core,no_floors|narrow_perimeter_fallback,3.733204484455093,2.9829030645478296,4.86358483237021,11.300400000860176,22.880092382233308,0.08320476372542364,0.6757100116863718,0.6189881807304493,1.0092522157348072,2.344968604978497,4.648919013130126,1.03358769938665,success,,-121.48872987878687,-2.3545021306482314e-05
way/472960936,1455.9721065065871,3.0,10.5,MediumOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",71.66419970475968,32.200810342243436,26.4650997188485,44.06327462819303,174.39338439404466,1.6797058444820125,12.971220146561501,6.68205455573962,5.49182577285769,9.143658244645591,34.288758719804406,0.0023905274116878534,success,,-121.48874389300587,-2.223890372180052e-09
way/472960937,1351.3233380314025,2.0,7.0,MediumOffice,perimeter_core,"generic_tag,no_floors,no_function",81.01773394395744,35.1202916159744,26.465101457597715,44.06327752313712,186.66640454066666,1.8747946005702434,14.664209843856296,7.28788195381408,5.491826133669017,9.14365884538123,36.587576776720624,0.00397846662851784,success,,-121.48874385014197,1.0776829444793306e-08
