building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version
way/1054785374,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,709fe57fb244de6d92c6e808c206e45a8328f70b5c5ae6b920511c7292cd239c,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,448.8596,,,,
way/1054785381,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,7d1cff194d91869cbed6cab792e54d164eee98e4a3bbd189b013b8f3d27dc48d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,203.7356,,,,
way/1054785382,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,8ed5d4339857025d072dad5ab10fc07c6c69d4bc5a7804caff5f0bc2d8d28455,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,209.211,,,,
way/1057093131,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,3f80795c963437a3dcf24bdc0ec8c2ba434e062d0b3627e83c42d3bd69b38da8,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,205.6941,,,,
way/1057093136,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,bd2cf7ecf466a80e65019839575b2891f7cbb2b9492c59b12924aa337ebb1f64,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,506.2655,,,,
way/1057529442,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,ac5c492210ca52faec893963789cf3733477e9ee188843505d2ae20c89dd389b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,243.1459,,,,
way/1057529443,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,5cd9ed416629cc9f0d7064ebb270adbcb515a24f34ab14999c20edeaedefcb01,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,213.9742,,,,
way/1057823423,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,364ce466b84d3916145f3c09f3794ea4d0c6a3dfa09421972db6d3b70582261b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,412.3748,,,,
way/1058252118,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,069fdaab1c0ece6b58353251be8cb8ac79c9b66348c65bfc8009a9123fce80e9,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,510.3249,,,,
way/1058252123,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,71f148df4615d431f21ef2d81c94d9c5ea5a54bdad892f03a98466e5e9451403,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,498.2733,,,,
way/14325891,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,a2433a1dc19638343c1723b6d52d2bd712444354794871776a95cdcd9eecf454,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,2557.0208,,,,
