Date/Time,BATIMENT0000000240877101_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877101_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1855196.9797961838,980145.4176721061,1288455.3301066794,5268694.5939269075 
 01/01  02:00:00,2065746.5931511666,1218277.70889592,1582067.7280805288,5981551.041582938 
 01/01  03:00:00,2184114.04960085,1355668.717642364,1751472.3156831306,6319781.542543862 
 01/01  04:00:00,2260840.2700485312,1449923.3891322976,1875337.2294654795,6588093.429145339 
 01/01  05:00:00,2317726.28045367,1521030.5636826954,1968008.825925091,6758708.08991514 
 01/01  06:00:00,2406227.6342215305,1624252.0310770103,2093130.4542738793,7001620.076245254 
 01/01  07:00:00,2452707.963133457,1684250.4309190284,2171942.1253336044,7164272.853266185 
 01/01  08:00:00,2501958.9700660566,1745937.4490636084,2253365.4772946,7354725.017184093 
 01/01  09:00:00,2613393.0318429875,1872089.2269030528,2400794.6243028482,7673725.22043065 
 01/01  10:00:00,2650421.935681913,1914494.621830763,2437551.283573158,7717145.741560703 
 01/01  11:00:00,2212199.4408300295,1448369.58996127,1794870.5784004733,6136087.1264238935 
 01/01  12:00:00,1513136.0458184385,705134.7826304454,548037.2752569878,3604043.8924192456 
 01/01  13:00:00,942870.3079028006,99493.0539703586,0.0,1562119.3622999454 
 01/01  14:00:00,593824.0692485807,0.0,0.0,247199.71598975387 
 01/01  15:00:00,438155.5198795584,0.0,0.0,0.0 
 01/01  16:00:00,541137.0432426119,0.0,0.0,321145.4063677571 
 01/01  17:00:00,810540.2440669925,4905.128010310727,1666.1512955011858,1946002.9467817666 
 01/01  18:00:00,1228841.8586803877,223770.8255200931,249256.84137351927,3281667.2288083024 
 01/01  19:00:00,1418502.2193856451,438363.8945862346,521129.5349317043,3767734.163129742 
 01/01  20:00:00,1548611.464088929,589030.2190201954,718636.2566124342,4101540.3051142986 
 01/01  21:00:00,1625784.4937208574,681268.880866858,842185.859546865,4240794.653674778 
 01/01  22:00:00,1654999.2421017664,724461.0208615647,911260.76287642,4296301.47564569 
 01/01  23:00:00,1678031.1595425732,764987.086846686,990579.0851546924,4522336.607515304 
 01/01  24:00:00,1686761.0744966706,787973.7902073641,1044012.6706769589,4633001.234151308 
 01/02  01:00:00,1695830.9582883967,802598.2154010053,1066196.478360718,4559801.959564598 
 01/02  02:00:00,1700450.2346746973,812313.1954931509,1077797.3499011018,4443572.486410534 
 01/02  03:00:00,1746343.5707900785,863480.5901163949,1135842.5034793313,4488872.348990604 
 01/02  04:00:00,1854319.117480139,979199.7102765157,1261352.3946581285,4639681.225335899 
 01/02  05:00:00,1976041.509742404,1110100.2385055013,1399519.6703619491,4818612.769787505 
 01/02  06:00:00,2069494.5628465745,1214229.7377971306,1516435.8381845392,5015488.501898983 
 01/02  07:00:00,2097098.4783025938,1249736.7668910024,1558537.0940649335,5052934.963095024 
 01/02  08:00:00,2141852.310550013,1301248.801374093,1616399.5718341665,5137258.503049006 
 01/02  09:00:00,2228486.1867128587,1397031.9296521745,1722056.6757401587,5329834.274904342 
 01/02  10:00:00,2232861.044883647,1402495.3551461587,1721156.2368126404,5376526.783479186 
 01/02  11:00:00,1998261.4887589684,1140476.328591106,1380387.2974892154,4831204.406071092 
 01/02  12:00:00,1599791.6356423884,703354.2257270217,711234.836874203,3592139.0142529905 
 01/02  13:00:00,1259294.042327081,321494.31362303876,102144.50035421178,2620792.6448139395 
 01/02  14:00:00,1385728.0269064303,449396.9538234008,492312.47539387044,3492913.595395409 
 01/02  15:00:00,1752854.5999070783,844692.1809329686,1013787.5410044442,4449275.683618577 
 01/02  16:00:00,2132560.258050933,1258366.6220459782,1498334.2877103447,5318369.531444286 
 01/02  17:00:00,2436772.6611958914,1595793.833926235,1895314.3700529204,6036544.416148951 
 01/02  18:00:00,3608250.597381583,2805779.3799753315,3151726.5255862502,7863515.262716263 
 01/02  19:00:00,3968664.352097294,3186576.710424251,3545307.2515312317,8393965.082960129 
 01/02  20:00:00,4081279.778531773,3320249.861143268,3693705.7588100545,8583108.614776975 
 01/02  21:00:00,4174706.6619548574,3432782.3330125883,3818366.304148973,8737228.636681044 
 01/02  22:00:00,4300293.491569033,3577364.339442724,3976061.3149532117,8967608.60253197 
 01/02  23:00:00,4458666.52610331,3755543.2880184646,4169078.7058827747,9275829.45053332 
 01/02  24:00:00,4725824.713107845,4047713.9211678705,4483595.342825067,9829668.177676227 
 01/03  01:00:00,5054462.089827883,4405119.092104238,4867778.220079004,10523701.04655369 
 01/03  02:00:00,4831541.49503475,4240857.123741073,4797186.923088884,11037258.251020119 
 01/03  03:00:00,4899324.456579351,4339932.24813316,4940819.23318828,11500904.54026185 
 01/03  04:00:00,5028759.468404766,4491131.264712321,5118503.98738967,11869259.420530548 
 01/03  05:00:00,5118766.091888896,4599125.940149304,5248622.579998573,12143071.091140047 
 01/03  06:00:00,5162133.053986514,4655082.680028997,5322081.437878563,12325166.993054619 
 01/03  07:00:00,5202060.564437073,4705277.071576189,5390273.914267041,12509821.802860063 
 01/03  08:00:00,5240817.93707823,4754061.73071793,5453167.762214063,12657943.57582517 
 01/03  09:00:00,5285331.210309217,4808776.553639443,5518979.844425724,12782716.007293774 
 01/03  10:00:00,5262610.459132943,4788424.5238716435,5496648.217490812,12739036.711836582 
 01/03  11:00:00,5056072.673212249,4543564.5046327235,5197710.781523972,12285081.238572827 
 01/03  12:00:00,4645654.358897658,4039878.768670402,4566146.268917445,11368479.015004585 
 01/03  13:00:00,4198279.647890645,3511248.095651349,3863262.131857411,10419416.497533375 
 01/03  14:00:00,3963299.783220624,3263576.312400729,3480252.9387853537,9691682.783564812 
 01/03  15:00:00,3820110.437595014,3125337.136857199,3310726.3402677537,8977757.901340783 
 01/03  16:00:00,3762726.8529629605,3106610.1851739073,3437034.241384686,8382675.972405283 
 01/03  17:00:00,3959660.9469501497,3347902.6066684,3871298.615842208,9968734.994729914 
 01/03  18:00:00,4620717.359380297,4107770.578023615,4838763.807116109,12699205.056053946 
 01/03  19:00:00,5112592.537863172,4645028.533392595,5452017.47614923,14054705.70489192 
 01/03  20:00:00,5260290.472855154,4819144.765212952,5668199.817229172,14532800.442963509 
 01/03  21:00:00,5481883.741704058,5070157.25083487,5959178.24430993,15105293.558216665 
 01/03  22:00:00,5763930.985031803,5387012.9366176985,6319822.951409436,15838800.409531247 
 01/03  23:00:00,5860458.370030829,5507305.340362144,6482250.761940247,16325976.136897676 
 01/03  24:00:00,6101977.436180721,5782535.970738227,6829879.99899972,17380589.91280334 
 01/04  01:00:00,6450257.57613021,6157054.496984855,7250277.162223745,18294908.158634994 
 01/04  02:00:00,6723121.073090555,6442485.387993083,7545940.634674682,18711246.820109226 
 01/04  03:00:00,6931956.190255903,6641964.531945377,7688902.4936766345,18230784.272690188 
 01/04  04:00:00,7060097.321304463,6758349.632026791,7752201.492406834,17785203.36122416 
 01/04  05:00:00,7173893.750269971,6880280.600932363,7876638.564355621,17987131.154842526 
 01/04  06:00:00,7314916.160713421,7039360.542434213,8042191.865311173,18210543.42154327 
 01/04  07:00:00,7454339.133657857,7197118.235366162,8206053.869385919,18439650.57521278 
 01/04  08:00:00,7494111.040280558,7245250.953860705,8255109.619284604,18483179.43668842 
 01/04  09:00:00,7515266.126435399,7271555.412710937,8276512.237158234,18467418.412088547 
 01/04  10:00:00,7469526.813839611,7210636.270001106,8179674.722538023,18273331.911101192 
 01/04  11:00:00,6950702.045041254,6596281.826730623,7422927.182116021,16953098.856254674 
 01/04  12:00:00,6180065.449529267,5688035.941788362,6249229.111832118,14823428.837497259 
 01/04  13:00:00,5289712.9515888225,4654159.230194336,4734792.121011344,11989540.490055008 
 01/04  14:00:00,4643498.879316468,3936325.3271603454,3855792.7915634727,10294951.526572358 
 01/04  15:00:00,4251248.571846893,3523164.366064993,3535511.8989634677,9154697.32842199 
 01/04  16:00:00,4085064.821144915,3383943.798801446,3602222.2198139145,8371377.679922281 
 01/04  17:00:00,4178167.6565746884,3539180.2324548415,3919210.408631018,9040138.762340711 
 01/04  18:00:00,4578468.410147203,4032925.172556052,4600063.706525846,11052502.643459653 
 01/04  19:00:00,4780715.995789768,4252862.032032137,4854346.6434078645,11543535.578682667 
 01/04  20:00:00,4919819.938758293,4406940.276667139,5034561.868865624,11877355.714016808 
 01/04  21:00:00,4897880.153246843,4390317.887186514,5033126.580124985,11887856.205366226 
 01/04  22:00:00,4897855.352684574,4390213.465675444,5047724.797558865,11974190.51028246 
 01/04  23:00:00,4867859.36144247,4364825.62669031,5033713.826067711,11947235.76486039 
