archetype_id,mode,median_total_eui_kwh_m2,n_buildings
MidriseApartment,auto,105.6000223837879,1753
MidriseApartment,building,106.54469060781172,1753
MidriseApartment,floor,110.53562105551762,1753
MidriseApartment,fast_zone,112.47218350784894,1753
MidriseApartment,layout_assign,106.06075811328188,1753
MediumOffice,auto,145.95463694322984,105
MediumOffice,building,115.32698985051825,105
MediumOffice,floor,146.1508454458254,105
MediumOffice,fast_zone,150.3611045752796,105
MediumOffice,layout_assign,73.09968722024227,63
RetailStandalone,auto,160.4897379737829,90
RetailStandalone,building,155.67155899310913,90
RetailStandalone,floor,161.9699531716209,90
RetailStandalone,fast_zone,163.91418325300194,90
RetailStandalone,layout_assign,93.99805266893473,90
FullServiceRestaurant,auto,1270.0645643480811,4
FullServiceRestaurant,building,1273.576544004232,4
FullServiceRestaurant,floor,1278.892251245792,4
FullServiceRestaurant,fast_zone,1289.6909366670297,4
FullServiceRestaurant,layout_assign,1093.4636644158563,4
