district,building_id,stem,n_flagged_surfaces,defect_kind,defect_on,refused_by,min_edge_len_m,perp_dist_m,rel_area_change,would_clear_chord_0.020m
Bologna,28134,5b4ec92aa2bab440,28,collinear,interzone_pair,not_on_ring,2.6931247649041197,,,False
Bologna,28473,97d478bc56840531,29,collinear,interzone_pair,not_on_ring,4.222872122864586,,,False
Bologna,28527,027f230632b64c16,34,near_duplicate,cut_edge,not_on_ring,0.000137450768627103,,,False
Bologna,28696,859821451b9a1c4c,12,near_duplicate,interzone_pair,not_on_ring,6.318167095917541e-06,,,False
Bologna,28700,9f423f3a2ccf9b13,24,near_duplicate,footprint_ring,not_on_ring,0.00020114377848692456,,,False
Bologna,28721,02f186e541967f24,11,collinear,interzone_pair,not_on_ring,0.8070803136255539,,,False
Bologna,28749,862211dd1557cf0e,37,near_duplicate,cut_edge,not_on_ring,0.0006657077148217026,,,False
Bologna,28968,ba6960bfea4d1476,37,near_duplicate,cut_edge,not_on_ring,0.00046027038617672497,,,False
Bologna,28969,2b1ea068842e0aba,37,near_duplicate,cut_edge,not_on_ring,0.0007138028080709969,,,False
Bologna,29094,cba1b3d372058eee,51,near_duplicate,cut_edge,not_on_ring,0.0007965295511471656,,,False
Bologna,29108,1ef46361a8060ff9,15,near_duplicate,cut_edge,not_on_ring,0.000489822527194241,,,False
Bologna,29180,718c4df3ae194c98,14,near_duplicate,cut_edge,not_on_ring,0.00034315252757586586,,,False
Bologna,29211,4611fd1c8f6c49da,48,collinear,interzone_pair,not_on_ring,2.836727868341396,,,False
Bologna,29228,8e3d20ee6eeb2ab8,44,near_duplicate,cut_edge,not_on_ring,0.00023230159523826883,,,False
Bologna,29437,eb12587a32c14283,30,near_duplicate,interzone_pair,not_on_ring,0.000208767166064021,,,False
Bologna,29466,d9b0b602eafb8123,24,near_duplicate,footprint_ring,not_on_ring,0.004999999888241291,,,False
Bologna,29643,b6d29a0f97543673,48,near_duplicate,cut_edge,not_on_ring,0.0041747549548745155,,,False
Bologna,29718,e7d5d606936c3878,48,collinear,interzone_pair,not_on_ring,4.31541898324463,,,False
Bologna,29788,6354361f54aa3eb0,44,near_duplicate,cut_edge,not_on_ring,0.00024924576285266037,,,False
Bologna,29813,935c839fe55ba29a,37,near_duplicate,cut_edge,not_on_ring,0.0003757212650650799,,,False
Bologna,29822,834e7630d2fafc8b,8,near_duplicate,footprint_ring,not_on_ring,0.0003564134109280137,,,False
Bologna,30037,2d7af2d491812667,47,near_duplicate,interzone_pair,not_on_ring,0.00030160697791335104,,,False
Bologna,30139,9e722a31fb64e445,16,near_duplicate,cut_edge,not_on_ring,0.0006247105093071406,,,False
Bologna,30240,ea133efe99012bb9,44,collinear,interzone_pair,not_on_ring,2.8132575425206996,,,False
Bologna,30319,71c51cb5e434184b,26,near_duplicate,cut_edge,not_on_ring,9.925242360752977e-07,,,False
