district,building_id,stem,n_flagged_surfaces,defect_kind,defect_on,refused_by,min_edge_len_m,perp_dist_m,rel_area_change,would_clear_chord_0.020m
Madrid,way/435637794,855cb63f62aa1513,44,near_duplicate,cut_edge,not_on_ring,0.00022958822151613345,,,False
Madrid,way/435638255,c257b891ad3c6033,48,near_duplicate,cut_edge,not_on_ring,0.00030246524990762956,,,False
Madrid,way/435638870,d48b6476e707231d,84,near_duplicate,cut_edge,not_on_ring,0.00016724218172529677,,,False
Madrid,way/435823577,c5a0e5ea1e57a409,54,near_duplicate,cut_edge,not_on_ring,0.00031691036660668354,,,False
Madrid,way/435927686,dc10ae04eb77dc2a,107,near_duplicate,cut_edge,not_on_ring,0.00019655523897962591,,,False
Madrid,way/435938302,092e11f67f34368a,22,near_duplicate,cut_edge,not_on_ring,0.00025106919214397616,,,False
Madrid,way/942352870,8ba2f6490f155fe0,2,near_duplicate,cut_edge,not_on_ring,4.7700716456833016e-05,,,False
Madrid,way/942352877,03584e90f2394ee2,37,near_duplicate,cut_edge,not_on_ring,0.00016772274245077111,,,False
Madrid,way/942968868,1845875c268c7c84,10,near_duplicate,interzone_pair,not_on_ring,0.00011872467590433825,,,False
Madrid,way/948836434,28e7ea34024d49eb,20,near_duplicate,cut_edge,not_on_ring,0.000526533203950393,,,False
Madrid,way/965605243,39b9e0d4f9f62538,62,near_duplicate,cut_edge,not_on_ring,4.57630688317573e-08,,,False
Madrid,way/965605259,1c61496df7fcd520,88,near_duplicate,cut_edge,not_on_ring,0.00013114767779390008,,,False
Madrid,way/966274052,23e6d67d205f3a64,8,near_duplicate,cut_edge,not_on_ring,0.00041239575581975837,,,False
Madrid,way/968439455,5b887f063931b1b3,77,near_duplicate,cut_edge,not_on_ring,0.0001637846125796934,,,False
