Time,BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Des Heat Load [W],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],BLOCK LARGEHOTEL STOREY 0::Des Latent Heat Load [W],BLOCK LARGEHOTEL STOREY 0::Des Latent Cool Load [W],BLOCK LARGEHOTEL STOREY 0::Des Latent Heat Mass Flow [kg/s],BLOCK LARGEHOTEL STOREY 0::Des Latent Cool Mass Flow [kg/s],BLOCK LARGEHOTEL STOREY 0::Des Heat Load No DOAS [W],BLOCK LARGEHOTEL STOREY 0::Des Sens Cool Load No DOAS [W],BLOCK LARGEHOTEL STOREY 0::Des Latent Heat Load No DOAS [W],BLOCK LARGEHOTEL STOREY 0::Des Latent Cool Load No DOAS [W],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],BLOCK LARGEHOTEL STOREY 0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:10:00,1.129094E+05,1.621389E+04,3.809575E+00,1.593266E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093536E+01,3.191951E+01,2.397781E+01,7.046948E+01
00:20:00,1.124221E+05,1.660657E+04,3.793149E+00,1.631928E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093540E+01,3.193965E+01,2.397782E+01,7.071056E+01
00:30:00,1.118825E+05,1.693399E+04,3.774961E+00,1.664169E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093544E+01,3.194330E+01,2.397798E+01,7.074743E+01
00:40:00,1.112905E+05,1.719648E+04,3.755009E+00,1.690017E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093545E+01,3.194406E+01,2.397830E+01,7.071519E+01
00:50:00,1.106461E+05,1.739427E+04,3.733290E+00,1.709493E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093543E+01,3.194642E+01,2.397868E+01,7.069051E+01
01:00:00,1.099493E+05,1.752751E+04,3.709803E+00,1.722614E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093542E+01,3.194949E+01,2.397907E+01,7.068278E+01
01:10:00,1.100824E+05,1.715915E+04,3.714297E+00,1.686366E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093541E+01,3.195217E+01,2.397945E+01,7.067914E+01
01:20:00,1.102589E+05,1.675130E+04,3.720251E+00,1.646222E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093529E+01,3.196958E+01,2.398009E+01,7.089232E+01
01:30:00,1.104787E+05,1.630344E+04,3.727662E+00,1.602140E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093518E+01,3.199669E+01,2.398064E+01,7.129373E+01
01:40:00,1.107420E+05,1.581539E+04,3.736535E+00,1.554108E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.093510E+01,3.202513E+01,2.398109E+01,7.176361E+01
