building_id,run_slug,country_stock_code,building_type,layout_mode,zone_count,idf_missing,schedule_file_used,interpolate_no,hours_8760,csv_exists_and_reads,people_assignment_unique,n_eu_schedules,n_eu_gains,n_eu_people
BATIMENT0000000240877524_part0,BATIMENT0000000240877524_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240877527_part0,BATIMENT0000000240877527_part0,FR,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
BATIMENT0000000240877538_part0,BATIMENT0000000240877538_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240879409_part0,BATIMENT0000000240879409_part0,FR,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
BATIMENT0000000240879419_part0,BATIMENT0000000240879419_part0,FR,AB,FALLBACK_PENDING_LAYOUT,8,False,True,True,True,True,True,8,8,0
BATIMENT0000000240879449_part0,BATIMENT0000000240879449_part0,FR,AB,DWELLING_LAYOUT_EMITTED,5,False,True,True,True,True,True,5,5,0
BATIMENT0000000240879451_part0,BATIMENT0000000240879451_part0,FR,SFH,FALLBACK_PENDING_LAYOUT,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240879459_part0,BATIMENT0000000240879459_part0,FR,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
BATIMENT0000000240879467_part0,BATIMENT0000000240879467_part0,FR,AB,DWELLING_LAYOUT_EMITTED,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240879492_part0,BATIMENT0000000240879492_part0,FR,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
BATIMENT0000000240879546_part0,BATIMENT0000000240879546_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240879558_part0,BATIMENT0000000240879558_part0,FR,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
BATIMENT0000000240879564_part0,BATIMENT0000000240879564_part0,FR,AB,FALLBACK_PENDING_LAYOUT,8,False,True,True,True,True,True,8,8,0
BATIMENT0000000240879572_part0,BATIMENT0000000240879572_part0,FR,AB,FALLBACK_PENDING_LAYOUT,7,False,True,True,True,True,True,7,7,0
BATIMENT0000000240879577_part0,BATIMENT0000000240879577_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240879618_part0,BATIMENT0000000240879618_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240879644_part0,BATIMENT0000000240879644_part0,FR,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
BATIMENT0000000240879669_part0,BATIMENT0000000240879669_part0,FR,AB,FALLBACK_PENDING_LAYOUT,5,False,True,True,True,True,True,5,5,0
