Date/Time,BATIMENT0000000240879467_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879467_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,4724940.99429324,4296189.555361286,4875692.767913771,5356793.167645533 
 01/01  02:00:00,5218925.191729415,4727610.67586273,5364146.064706354,5906438.651486183 
 01/01  03:00:00,5436030.485080777,4910910.755154697,5574170.202489011,6149402.734347475 
 01/01  04:00:00,5592377.746623339,5044253.379503973,5724434.307378478,6320789.8791469075 
 01/01  05:00:00,5682276.381175319,5118470.196522707,5808013.841976148,6419027.036202565 
 01/01  06:00:00,5829386.6742808195,5243652.519350434,5951102.155915916,6584377.694133718 
 01/01  07:00:00,5910024.375117241,5312426.604916709,6027609.984319081,6671897.997143567 
 01/01  08:00:00,6018834.421585167,5407763.972267715,6133164.728292925,6790150.79007875 
 01/01  09:00:00,6226354.988097344,5591703.687046659,6339982.611874699,7022822.229850626 
 01/01  10:00:00,6299165.1606317535,5665597.21329044,6340015.754985898,7049649.129013244 
 01/01  11:00:00,5536530.283628333,4964952.070788987,5187458.939260909,5849561.56745246 
 01/01  12:00:00,4231014.123429814,3812496.564364664,3721746.6049036803,4224652.698260355 
 01/01  13:00:00,3018689.794333012,2903662.806720718,3025674.6510692867,3236824.957193068 
 01/01  14:00:00,1773177.5878642169,2273607.491205976,2630964.0011428217,2193248.807364391 
 01/01  15:00:00,805868.6704852736,1945593.892273894,2579306.398826818,1493734.8513340564 
 01/01  16:00:00,677721.671853876,2244854.339566039,2954263.286559985,1970827.6956726098 
 01/01  17:00:00,2156466.9601959446,2923342.0505792815,3361759.2490086746,3050385.0401243027 
 01/01  18:00:00,3441344.41655374,3337390.604244639,3799466.031142599,3990918.730262373 
 01/01  19:00:00,3779796.4969126955,3592595.2157842084,4091360.37272253,4362008.367139255 
 01/01  20:00:00,3995370.0476862798,3745072.1708877822,4265728.68603193,4594385.828743775 
 01/01  21:00:00,4064820.2259402666,3772622.2079063705,4299480.39298232,4666186.637967348 
 01/01  22:00:00,4070704.782033487,3750384.618532947,4274520.67658891,4664302.825015439 
 01/01  23:00:00,4217466.365776718,3865757.591083223,4398315.231507287,4810995.343969456 
 01/01  24:00:00,4266511.234089542,3896354.2836273327,4427742.408025364,4853073.073521343 
 01/02  01:00:00,4194608.739254411,3814852.2294686716,4337696.442632714,4771616.752778139 
 01/02  02:00:00,4086779.872838811,3701723.468092582,4213396.204537166,4652453.161316225 
 01/02  03:00:00,4114137.418099061,3712784.3271591105,4229533.622108436,4685349.393904432 
 01/02  04:00:00,4214445.909262025,3788048.5981315263,4321716.627188195,4806208.660658553 
 01/02  05:00:00,4329449.956092997,3875607.0278262342,4430213.934236331,4946414.171181184 
 01/02  06:00:00,4455091.031460165,3978566.0752508,4551722.028812476,5092223.449585179 
 01/02  07:00:00,4459268.659132926,3976179.575563208,4550988.710270521,5097852.915069361 
 01/02  08:00:00,4508760.097518358,4014612.8465657965,4597078.506722691,5155498.616139496 
 01/02  09:00:00,4636881.772355015,4124856.8113285587,4723632.624036818,5302416.019672499 
 01/02  10:00:00,4673741.064279754,4180645.7241545785,4752638.8732539285,5320110.906853283 
 01/02  11:00:00,4404654.849177943,4011241.138655074,4396727.148490398,4883317.524881664 
 01/02  12:00:00,3798657.1245471104,3535361.1894904557,3697036.369804951,4068988.2979032733 
 01/02  13:00:00,3254353.602228715,3145186.8008505837,3299080.020184641,3528687.6258997605 
 01/02  14:00:00,3570512.976663295,3436676.418868036,3675889.547938158,3913795.485928571 
 01/02  15:00:00,4185292.428087431,3906818.881384605,4272030.631363999,4647699.696760573 
 01/02  16:00:00,4757634.31354259,4348180.922173351,4838617.923927751,5343637.334287958 
 01/02  17:00:00,5198844.411508154,4700784.772075067,5297572.083330738,5895397.379726918 
 01/02  18:00:00,6210918.364115918,5432178.787206456,6305994.392903068,7204221.085891973 
 01/02  19:00:00,6567978.977783153,5724900.763334273,6667912.866650906,7640882.480041376 
 01/02  20:00:00,6682823.624941897,5824337.572855287,6784596.940512275,7774880.887118295 
 01/02  21:00:00,6756879.058537154,5885856.343170803,6859802.805941318,7863864.401896134 
 01/02  22:00:00,6941364.8122909805,6050829.3851201795,7047259.513475287,8073807.707514139 
 01/02  23:00:00,7178762.926485504,6261115.046238717,7288406.380412743,8346049.324619375 
 01/02  24:00:00,7538620.708445844,6568519.226836415,7653654.866052806,8770424.663375298 
 01/03  01:00:00,7967085.054172408,6930942.249307013,8088469.421729399,9279372.69833868 
 01/03  02:00:00,8241716.079565253,7226843.9141069185,8372050.683330694,9527254.506071355 
 01/03  03:00:00,8512266.892562816,7477270.150442015,8648410.772139888,9822826.31707348 
 01/03  04:00:00,8718261.677217223,7657763.156549089,8858203.715352727,10060490.894895192 
 01/03  05:00:00,8857835.142739816,7780735.575036436,9000487.282899344,10220687.487744235 
 01/03  06:00:00,8931065.789402958,7846750.84176133,9075333.069832996,10302689.714484598 
 01/03  07:00:00,9008167.825507741,7916951.111320423,9153993.389685193,10388149.363220725 
 01/03  08:00:00,9073150.381391983,7975510.415389534,9220206.960120283,10460910.723436514 
 01/03  09:00:00,9136517.472378721,8032056.24364668,9284793.606191805,10532975.313159332 
 01/03  10:00:00,9086842.135338003,8001134.375312006,9236009.21800831,10466879.53707486 
 01/03  11:00:00,8820665.919605173,7834452.610643691,8972881.263755897,10113455.800024383 
 01/03  12:00:00,8344028.123114923,7547311.194289474,8494789.911635313,9465670.164743964 
 01/03  13:00:00,7908163.235867576,7303223.427301972,8072867.066537651,8866306.296450477 
 01/03  14:00:00,7457044.320255806,7034756.659461506,7773040.798274288,8387570.623599448 
 01/03  15:00:00,6893523.869827136,6799327.041493602,7635613.994569118,7916719.298793847 
 01/03  16:00:00,6096567.60013488,6660980.928187504,7716704.689923087,7662310.373090588 
 01/03  17:00:00,6932737.487714503,7185206.300207595,8216049.80438756,8591938.416399058 
 01/03  18:00:00,9027142.706264667,8182663.972911011,9349743.261712797,10361954.65762324 
 01/03  19:00:00,9947562.439325053,8952726.931336075,10245925.54121984,11405421.899287093 
 01/03  20:00:00,10206945.289663322,9155703.364646135,10482396.901101522,11691475.775751978 
 01/03  21:00:00,10614788.737237649,9492664.41915708,10872080.78127099,12147866.557094198 
 01/03  22:00:00,11100268.09521927,9899953.53767353,11346883.544568216,12700577.699403076 
 01/03  23:00:00,11346192.824280573,10109180.095257392,11580933.375036296,12965107.598699486 
 01/03  24:00:00,11953756.260630734,10644375.165914271,12185010.166204121,13637813.314808007 
 01/04  01:00:00,12490138.327131582,11102747.868838694,12722414.583417874,14259128.580368178 
 01/04  02:00:00,12726303.395541994,11290301.852581184,12957846.675846647,14553905.334663179 
 01/04  03:00:00,12457257.512153726,11008517.02084302,12681532.863733888,14309455.889468875 
 01/04  04:00:00,12206909.899691755,10750811.44419737,12422478.95895291,14069620.861709693 
 01/04  05:00:00,12312690.996691221,10832722.512746654,12524158.449772362,14197322.699663278 
 01/04  06:00:00,12453109.036495797,10946178.438586248,12665399.373075936,14368751.144170193 
 01/04  07:00:00,12594500.974551603,11061893.345868334,12808013.207810462,14540299.445772875 
 01/04  08:00:00,12590790.090268549,11053554.26791255,12801908.07790954,14539035.207798362 
 01/04  09:00:00,12570095.525531327,11034221.665702477,12779911.325500356,14516361.378178291 
 01/04  10:00:00,12478036.292298358,10987569.970870286,12689370.44349724,14387926.70690803 
 01/04  11:00:00,11726076.854584873,10453442.611386023,11931017.84897488,13428153.475838523 
 01/04  12:00:00,10597767.874912262,9587472.706366407,10743438.669783149,11992215.892935026 
 01/04  13:00:00,9156237.83495067,8443627.242681213,9342570.932988828,10301515.26499961 
 01/04  14:00:00,7938547.812884149,7580433.907009491,8392346.260669818,8978838.847488726 
 01/04  15:00:00,7006756.151219356,6970561.860374917,7821973.216022304,8067771.328966409 
 01/04  16:00:00,6116649.621513522,6566265.633152488,7553995.359809861,7608733.792646589 
 01/04  17:00:00,6271043.855579617,6629888.510941753,7622582.8312749555,7948590.295722349 
 01/04  18:00:00,7840655.036634546,7092656.771663707,8146905.353992723,9082414.578796854 
 01/04  19:00:00,8227126.325354869,7390492.911355123,8500465.185739562,9517335.473278118 
 01/04  20:00:00,8475137.750766084,7577016.775317742,8722881.503548274,9795535.875449184 
 01/04  21:00:00,8457789.026533768,7540711.270840886,8682591.190405436,9764727.871702237 
 01/04  22:00:00,8506556.378860604,7570483.821746058,8720905.681397168,9815149.397343546 
 01/04  23:00:00,8472309.063540658,7526582.365189342,8671198.30226551,9768484.601501908 
