building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version
relation/12582232,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,8579f6b29756385ab3ac92b0932d333c5a933495d253b4efbf104683bcd04f5e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1089.3143,,,,
relation/12582233,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,62761d4581c65283d4a1ff61750f2dcd611e5352d134674b4d3d2b1022c30de0,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1445.2265,,,,
relation/12582234,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,7cddee6591d5b38e90ad73c6d54fc1a294443e0f9fd29bbc9e52996d71eb0980,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1696.2497,,,,
relation/12586384,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,8fcfa27696a457a17267f81b30e6d9bdfcbb664ece6c9fbdfc7a8b2d7fa78b6c,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,2208.1458,,,,
relation/12628571,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,37449ef3c0f6c03f869cee4e8684db411e5a104ecba368e4bd435eea70e60bd8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1785.3612,,,,
relation/12628572,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,0276cd6d7b31e2e89b1c2dbbd88138ff99e8cbbb0493b9e23907880d58706d39,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,3644.9371,,,,
relation/12638102,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,eb9db8d0fe42975b6033674f886dd4d7cead67e6d18666938958ba3f392f6156,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,293.3104,,,,
relation/12638103,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,826d9442209af8db7a0f477781f8463b3337b0fe2ebd16952d25f335321b9857,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1959.5629,,,,
relation/12700585,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,91bf5f36d06f6384e008f9ddaf9805699eec620e7c56476c1a07d2c454722f34,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,2740.6914,,,,
relation/12700645,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,918fb59168c405fceb17a68a8c1eb44bcccd00e024b5e49ed9953fc84459fba8,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1954.8024,,,,
relation/12702624,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,505a5b04a66ab49a005035f9df15a85ceaef771903681ebb90aa7ebe8e703bf0,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,986.5181,,,,
relation/12702626,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,222ba1cfe285b014d2af56f12edcc1a2dbbb8b1032e68de7be6365cc8448ef9b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,922.7491,,,,
