catastro_local_id,osm_building_id,footprint_source_row_present
0089801VK4708G,way/333138132,true
0090818VK4708G,way/942666501,true
0090822VK4708G,way/942666500,true
0090823VK4708G,way/942666499,true
0091403VK4709A,way/435449440,true
0093209VK4709C,way/435637788,true
0093232VK4709C,way/951986172,true
0191505VK4709A,way/434899831,true
0192211VK4709C,way/435212750,true
0193902VK4709C,way/435638873,true
0193903VK4709C,way/435638872,true
0193904VK4709C,way/435638871,true
0193905VK4709C,way/435638868,true
0193906VK4709C,way/435638867,true
0193913VK4709C,way/435638869,true
0193917VK4709C,way/435638875,true
0193919VK4709C,way/435638865,true
0194822VK4709C,way/435638397,true
0289907VK4708G,relation/4495683,true
0289907VK4708G,relation/4495685,true
0293204VK4709C,way/435639072,true
0293211VK4709C,way/435639068,true
0293211VK4709C,way/435639070,true
0293212VK4709C,way/435639067,true
0391702VK4709A,way/941927219,true
0391703VK4709A,way/941927217,true
0391704VK4709A,way/941927216,true
0394501VK4709C,way/435943796,true
0394502VK4709C,way/435943797,true
0394504VK4709C,way/435943799,true
0394505VK4709C,relation/13277439,true
0394508VK4709C,way/435943803,true
0394513VK4709C,way/435943790,true
0394516VK4709C,way/435941319,true
0394530VK4709C,way/435943265,true
0394534VK4709C,way/435943263,true
0394534VK4709C,way/435943264,true
0394536VK4709C,way/435941317,true
0395514VK4709E,way/400994134,true
0395517VK4709E,way/435447762,true
0395518VK4709E,way/435447761,true
0395519VK4709E,way/435447757,true
0395521VK4709E,way/618216965,true
0395524VK4709E,way/435447780,true
0395524VK4709E,way/991148821,true
0395525VK4709E,way/435447777,true
0395526VK4709E,way/435447779,true
0395527VK4709E,way/435447773,true
0395532VK4709E,way/991148823,true
0395533VK4709E,relation/13303818,true
0395539VK4709E,way/435447764,true
0395540VK4709E,way/435447775,true
0396907VK4709E,way/968439457,true
0396911VK4709E,way/968439452,true
0396912VK4709E,way/968439451,true
0396913VK4709E,way/968439450,true
0396913VK4709E,way/968439458,true
0396917VK4709E,way/968439453,true
0396918VK4709E,way/968439454,true
0396920VK4709E,way/968439456,true
0396921VK4709E,way/968439449,true
0486508VK4708E,way/293596180,true
0486509VK4708E,way/293596153,true
0488629VK4708H,way/1548061693,true
0491605VK4709A,way/957551187,true
