catastro_local_id,osm_building_id,footprint_source_row_present
0492817VK4709A,way/287939449,true
0492818VK4709A,way/287939450,true
0492819VK4709A,way/287939451,true
0492820VK4709A,way/287939452,true
0492821VK4709A,way/287939453,true
0492822VK4709A,way/287939454,true
0492827VK4709A,way/287939455,true
0494104VK4709C,way/432867099,true
0494501VK4709C,way/433014842,true
0494502VK4709C,way/433014841,true
0494510VK4709C,way/997278104,true
0494511VK4709C,way/433014327,true
0494512VK4709C,way/433014326,true
0494514VK4709C,way/433014324,true
0494514VK4709C,way/433014325,true
0494515VK4709C,way/433014323,true
0494516VK4709C,relation/13380999,true
0494549VK4709C,way/997278110,true
0494550VK4709C,way/997278109,true
0494560VK4709C,way/997278115,true
0494563VK4709C,way/433014847,true
0494564VK4709C,way/433014846,true
0494565VK4709C,way/433014845,true
0494568VK4709C,way/997278117,true
0494569VK4709C,relation/13381262,true
0494572VK4709C,way/433014844,true
0494576VK4709C,way/432865821,true
0587310VK4708G,relation/12628572,true
0592307VK4709B,way/287225521,true
0592501VK4709D,way/287496598,true
0592502VK4709D,relation/13146438,true
0592503VK4709D,way/288447773,true
0592504VK4709D,way/977828100,true
0592508VK4709D,way/288276178,true
0593103VK4709D,way/428478247,true
0593104VK4709D,way/428478245,true
0593105VK4709D,relation/13113581,true
0593106VK4709D,way/428478249,true
0593107VK4709D,relation/13113580,true
0593111VK4709D,relation/13113579,true
0593112VK4709D,way/287496588,true
0593123VK4709D,way/287496591,true
0593310VK4709D,way/987508178,true
0593312VK4709D,way/987508175,true
0593318VK4709D,way/432405440,true
0593318VK4709D,way/987123378,true
0594701VK4709D,way/403642587,true
0594701VK4709D,way/403642588,true
0594703VK4709D,way/403642586,true
0594710VK4709D,way/290653349,true
0594724VK4709D,way/403642590,true
0594725VK4709D,way/403642589,true
0595214VK4709E,way/432738006,true
0595214VK4709E,way/432738008,true
0595215VK4709E,way/432738019,true
0595216VK4709E,way/997282496,true
0595218VK4709E,relation/13381287,true
0595219VK4709E,way/997282492,true
0595220VK4709E,way/997282489,true
0595221VK4709E,way/432738002,true
0595222VK4709E,way/432737999,true
0595229VK4709F,way/432737636,true
0595230VK4709E,way/997282501,true
0595231VK4709E,way/997282502,true
0691101VK4709B,way/288600848,true
0691105VK4709B,way/681360944,true
0691107VK4709B,way/289362374,true
0691110VK4709B,way/289362370,true
0691111VK4709B,way/289362368,true
0691121VK4709B,way/1237260791,true
0691124VK4709B,way/195286070,true
0691138VK4709B,way/947890581,true
0691152VK4709B,way/289362372,true
0691153VK4709B,way/947890582,true
0692702VK4709B,way/289434329,true
0692704VK4709B,way/289595788,true
0692904VK4709B,way/288600861,true
0693105VK4709D,way/288450069,true
0693106VK4709D,way/288450068,true
0693108VK4709D,way/287943069,true
0693401VK4709D,way/290653355,true
0693608VK4709D,way/290026259,true
0791303VK4709B,way/289387275,true
0791307VK4709B,relation/13033799,true
0791308VK4709B,way/289510898,true
0792206VK4709D,relation/13255968,true
0792208VK4709D,way/289434338,true
0792209VK4709D,way/289434337,true
0792211VK4709D,way/986380109,true
0792213VK4709D,way/289692617,true
0792810VK4709B,way/289779210,true
0892310VK4709D,way/289779221,true
0892315VK4709D,relation/13307656,true
9991509VK3799B,way/435508456,true
9991528VK3799B,way/948239064,true
9992611VK3799D,way/950132500,true
9993707VK3799D,way/951235308,true
9993708VK3799D,way/435633859,true
