building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,storey_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
28020,b826981c8c6c380f,IT.MidClim.MFH.01.Gen.ReEx.001.001,MFH,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,2b9b20293086fefe2d341add957b43a4cabd92867ce18037ef76a2066a8ca724,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,141.598,141.598,141.598,141.598,3,
28025,31963baf82aead4a,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,429c2ae9537490603450c4867f63bbbe8bfabfa31080a2bec17ced9132a31363,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1266.7545,1266.7545,1266.7545,1266.7545,8,
28026,cd956afaca51c54a,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,79d068a704a3805922390c70ae9236a7b6c3076e78b8fb9ec69c5a91be17575c,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1852.1487,1852.1487,1852.1487,1852.1487,9,
28033,28794125ea201eae,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,0f66d7814c02afe939c610b34fa3d7b6ce46f297b7b1686f54ac3b27892caf02,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2619.3443,2619.3443,2619.3443,2619.3443,9,
28036,65c34c78cf3ef1fc,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,cf0c57c75112177b3af068cd1800f7569c45dc6a6ffcc29e6867706981b63e8e,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1644.5615,1644.5615,1644.5615,1644.5615,7,
28050,dd90a841495a9c96,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,dd83cb7435b47a5e24c08361c952b1ddcadb4d5f82d74085602c5356926334e8,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2629.0044,2629.0044,2629.0044,2629.0044,6,
28061,cd7c6c62e02daa4c,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,e2c41e65a7b4ddcd8c92a3f878630814efaabb776f27bd899117232ec0ea8eda,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6766.6536,6766.6536,6766.6536,6766.6536,9,
28074,7c374436983b6afe,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,deb9dcb3b01a95453e75c54a26e353570dd0d05cde4abfb05d7bbba6f7fa15ae,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,11946.0632,11946.0632,11946.0632,11946.0632,8,
28081,7e6d5fbb0473553b,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c7d3ade3276792bcd98f7e1f3f93c7125a0f414590975e273cda3edb03748c54,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6002.9036,6002.9036,6002.9036,6002.9036,6,
28108,056c7ceff4b7571e,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,80c9c41261c567254d31037b6289bebe0a7917357885c13fd7a9d0514c54e5e6,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,5189.3473,5189.3473,5189.3473,5189.3473,10,
28111,82d4d9bc6176163e,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,8541c57cbc0d8d42bcbec7bf41f3483e3f4d7dcbfff2b6f9cca49467f6162c75,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,8967.0201,8967.0201,8967.0201,8967.0201,4,
28125,5ac9d008127499e1,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,1a680ea7847941ea76beb9a377f5c7ef5fc484722f6a1d166665cd67ab1e53a8,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6531.3391,6531.3391,6531.3391,6531.3391,6,
28134,5b4ec92aa2bab440,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,3aac990f80e5c56e22b5672f7574b9168d6408796f7a8e0d6f79ba7bb9df20b7,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,3899.289,3899.289,3899.289,3899.289,11,
28153,a4b9fdfa1e235c42,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,89dc93c791b0d195176699cd0da9d5aa19dd94e18486df53c3b8234cc324f9d1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,1010.8762,1010.8762,1010.8762,1010.8762,6,
28175,fdddcc4c218673ee,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,80e0c2586125f8b0008a9730d2bd0fd23552f90ca9be81e80f2b68b0cde66737,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6580.897,6580.897,6580.897,6580.897,4,
28192,228ec2e652b0a3f2,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,ae4fed36d3f47074b44bf09bb5e6f3072929c0d5fcb73bfd9bae194bfd723ede,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,2638.0309,2638.0309,2638.0309,2638.0309,10,
28205,94bf279b3144874b,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,dd1ff018473d8206c3de74a7c58cb4d57b44ecbaf430a53e0aa71932cbb19391,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,6135.011,6135.011,6135.011,6135.011,3,
28217,57e7693b6a7f4e6e,IT.MidClim.AB.05.Gen.ReEx.001.001,AB,IT.05,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,4a113eddf75ca975d42157f68137d0a30c3abf6398b5e191e61b7c7bba3a1514,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,9454.8932,9454.8932,9454.8932,9454.8932,7,near_duplicate_vertex_tolerated_box
28237,d9ee186596e63036,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,336e20ccd2fea02742f5d253e3be9854cd9c82dfc49039c2b81065f833b4ac92,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,39013.8307,39013.8307,39013.8307,39013.8307,17,
28273,b94c95c5140dbe41,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,f805f21baad81d12d34c9a93cc38ada05c285c41baf6404abec24f8e3b1b5609,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,651.1893,651.1893,651.1893,651.1893,6,
28287,bf34a2b4cd955ba7,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,6026d65202e7fd85e0b77885e833fdba0a28d62feca1c5aa3f88aeadcc2800aa,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,16921.1266,16921.1266,16921.1266,16921.1266,12,
28304,747c241351fa4a85,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,bc5c0ab82bbd6807128c7921a23d824057149e50e4be799290a70426fd5f5b02,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,,765.1744,765.1744,765.1744,765.1744,3,
