Date/Time,BATIMENT0000000240879409_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,7549589.955567589,5509627.191465031,5374270.348911564,6400112.08353368,15480725.876927108 
 01/01  02:00:00,8485419.983812276,6477043.001711693,6343312.576021775,7450783.314443404,17580533.944132883 
 01/01  03:00:00,8980848.780579055,7008234.454590073,6877104.913413112,8029244.245027923,18613705.162957735 
 01/01  04:00:00,9297231.78109182,7358396.612150052,7230475.567939357,8420931.615108993,19375320.725589253 
 01/01  05:00:00,9525247.460596852,7621252.360540469,7497904.61348886,8715342.74386749,19880759.09567007 
 01/01  06:00:00,9882723.317727473,8014770.502535326,7897448.678310165,9146958.144637324,20617123.644217175 
 01/01  07:00:00,10043310.624324184,8206443.479412617,8094347.632795269,9367912.885456948,21043931.611786637 
 01/01  08:00:00,10258658.867344098,8451076.841581477,8344379.645099569,9643397.631411668,21576023.38097059 
 01/01  09:00:00,10707810.987267088,8935161.933537163,8837091.050092857,10170748.434644679,22457900.70050246 
 01/01  10:00:00,10614137.01793255,8930932.015413426,8873031.44269328,10199096.132704884,21896933.98662677 
 01/01  11:00:00,7598846.351085557,6143160.94597957,6213152.5623842785,7342842.182174227,15050278.359262234 
 01/01  12:00:00,3467959.613029787,2195830.91946707,2381266.988538046,3178961.378170565,5897191.864802758 
 01/01  13:00:00,819171.1735210702,114088.6533826153,181091.62732896805,444202.74134700594,706501.0818079667 
 01/01  14:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,253428.88030643237,0.0,0.0,0.0,1393021.6253489433 
 01/01  18:00:00,3951104.8655208703,1639593.3460996775,1547907.5835299126,2296611.978589927,7965426.01347366 
 01/01  19:00:00,4875634.240395893,2764287.3002155973,2663218.8188628647,3387958.6463997024,9840341.774273127 
 01/01  20:00:00,5595891.601999446,3462078.3599973745,3352777.881817069,4157238.198637072,11181017.555956028 
 01/01  21:00:00,6053096.175368065,3929683.3537143837,3815259.9698651787,4666727.333040172,11946107.124425324 
 01/01  22:00:00,6275711.590379242,4171929.3087403122,4052139.4792734007,4933171.637101829,12354821.578497697 
 01/01  23:00:00,6530943.297927877,4441534.037636198,4312786.946493772,5235783.083367504,13113527.070424624 
 01/01  24:00:00,6674314.21545874,4608613.653400584,4475833.381389786,5427166.194101089,13521862.512315042 
 01/02  01:00:00,6797256.204960893,4768785.862936161,4637356.979609849,5592330.763497695,13566326.627277642 
