Date/Time,BATIMENT0000000240877130_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877130_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,1445734.6701588854,1226797.6242377055,1221948.7450265144 
 01/01  02:00:00,1610375.2333798045,1382503.6584557337,1424077.030643153 
 01/01  03:00:00,1684775.0874257837,1456025.8505634712,1531337.150245854 
 01/01  04:00:00,1740620.8895454397,1513242.4147005659,1614809.178084598 
 01/01  05:00:00,1772613.2916646108,1548134.4610083406,1670551.478318404 
 01/01  06:00:00,1822565.9725006304,1597679.3953305995,1740497.6841378245 
 01/01  07:00:00,1850862.9595262534,1627670.2158442996,1784807.076430743 
 01/01  08:00:00,1887005.7243160587,1664810.0095389145,1835444.4596810525 
 01/01  09:00:00,1946347.3328746879,1720948.0055328635,1906240.5288836397 
 01/01  10:00:00,1841781.8745098645,1628953.218796797,1778743.964788531 
 01/01  11:00:00,1135331.9572557379,974098.9278411405,822612.6224067865 
 01/01  12:00:00,361459.57175545447,221616.63559172014,10408.853651746902 
 01/01  13:00:00,22616.829187194526,0.0,0.0 
 01/01  14:00:00,0.0,0.0,0.0 
 01/01  15:00:00,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0 
 01/01  17:00:00,213431.60104820563,35184.562812354314,0.0 
 01/01  18:00:00,923636.6987211906,618541.4108105265,92823.37724077224 
 01/01  19:00:00,1054428.0257687834,777547.0274056039,429572.22306117695 
 01/01  20:00:00,1144480.964222396,878503.3136275299,633973.2220254912 
 01/01  21:00:00,1185141.819101425,934068.4997261885,760240.296738601 
 01/01  22:00:00,1203509.6038597226,967917.9733568951,837857.9339718823 
 01/01  23:00:00,1265040.080432485,1039114.1041220902,947824.3413144458 
 01/01  24:00:00,1292242.0472190266,1077495.060524336,1023300.1335714159 
 01/02  01:00:00,1277368.9369100211,1075449.1031822197,1053932.3642444592 
 01/02  02:00:00,1251231.9690637381,1061332.1246668356,1067171.4676633994 
 01/02  03:00:00,1265354.2667023405,1081292.751942163,1114866.161395075 
 01/02  04:00:00,1301014.7134538335,1118145.8260027934,1177992.561665235 
 01/02  05:00:00,1341828.2490303877,1158116.2293987162,1242290.050037403 
 01/02  06:00:00,1385801.537102057,1200529.5079001794,1304939.8589024593 
 01/02  07:00:00,1390596.1959809714,1208016.852768749,1324814.0683706403 
 01/02  08:00:00,1408361.171584032,1226563.5614143459,1355865.7017001053 
 01/02  09:00:00,1445524.016890955,1261745.5009938132,1403729.125786646 
 01/02  10:00:00,1379659.302095188,1208546.507015564,1345552.7240168932 
 01/02  11:00:00,992488.4825785869,868325.1424374464,905463.8379939741 
 01/02  12:00:00,481982.5127310589,394880.6644685571,227989.20567168022 
 01/02  13:00:00,208084.0188266979,139162.66811109852,0.0 
 01/02  14:00:00,476432.9537922607,399133.3292301148,289553.4344650194 
 01/02  15:00:00,821723.5663825116,707903.7852987924,727605.9665274306 
 01/02  16:00:00,1139671.621828858,986593.2810209026,1073018.097957806 
 01/02  17:00:00,1393670.408701966,1205243.3153556562,1316171.6065487522 
 01/02  18:00:00,1879173.4969720691,1596428.183491023,1834990.9326953394 
 01/02  19:00:00,2002182.4045625054,1702630.864496364,1968252.6017592405 
 01/02  20:00:00,2047595.075482707,1747671.0909350407,2021365.6759807698 
 01/02  21:00:00,2080349.9316928806,1779917.6381543276,2060614.4702695305 
 01/02  22:00:00,2140629.9853601446,1838141.1258079694,2126438.557170764 
 01/02  23:00:00,2216851.0406391295,1909116.5787665357,2207302.069766569 
 01/02  24:00:00,2336558.403146167,2013107.1826235214,2330936.380877274 
 01/03  01:00:00,2479325.441039283,2134646.6344421487,2476976.4995682556 
 01/03  02:00:00,2590848.1938012075,2259620.6222346406,2592799.605217716 
 01/03  03:00:00,2686221.2934823097,2351637.1222490105,2691095.5495634996 
 01/03  04:00:00,2756481.816293072,2415226.5635095476,2763484.1686588726 
 01/03  05:00:00,2804729.6796169383,2459627.195492893,2813440.7478753417 
 01/03  06:00:00,2832785.4738100492,2486782.2284988826,2842854.5037721274 
 01/03  07:00:00,2860767.2036077776,2514035.4411873654,2871994.219666972 
 01/03  08:00:00,2884703.186084523,2537004.040935764,2896835.7072853306 
 01/03  09:00:00,2904505.752998888,2555500.2850244646,2917385.9563798103 
 01/03  10:00:00,2855668.1960910307,2514365.397637202,2869777.221563396 
 01/03  11:00:00,2582747.216425319,2278420.6974922954,2600114.478428169 
 01/03  12:00:00,2072920.8597896765,1837854.0976760965,2081008.3625204093 
 01/03  13:00:00,1587783.0128666298,1409839.8438635394,1509423.9407716617 
 01/03  14:00:00,1392957.9008260025,1222998.0930641673,1156174.4850976411 
 01/03  15:00:00,1268619.3970021526,1063167.1631831136,784197.8850945125 
 01/03  16:00:00,1200582.6134869503,902768.3877567677,258115.71455184682 
 01/03  17:00:00,1599751.5968989725,1214228.9501775617,586237.1425898196 
 01/03  18:00:00,2729502.079611605,2368747.9131006785,2539787.7857679036 
 01/03  19:00:00,3055759.983020828,2668774.120396189,2934471.722035683 
 01/03  20:00:00,3158952.111765832,2766782.03559782,3061520.7434052564 
 01/03  21:00:00,3302056.2690623165,2897886.500931399,3225386.840792135 
 01/03  22:00:00,3468935.2061714283,3048487.0154155344,3409374.40409262 
 01/03  23:00:00,3558933.487053121,3135079.992743917,3513136.0063817217 
 01/03  24:00:00,3762229.1483672145,3322158.614981918,3728044.4724152545 
 01/04  01:00:00,3942660.5428344477,3483801.947641341,3919447.1630190085 
 01/04  02:00:00,4027335.176019401,3557902.330862404,4013508.411466025 
 01/04  03:00:00,3948609.6950653587,3483000.49235711,3943373.0472814245 
 01/04  04:00:00,3877438.805258589,3413606.8174617984,3874761.0006313636 
 01/04  05:00:00,3918168.99776664,3449693.2256102497,3919824.623135291 
 01/04  06:00:00,3967081.6993186087,3490855.2915837113,3971242.76051318 
 01/04  07:00:00,4015844.0005051247,3532103.314214991,4022082.321425014 
 01/04  08:00:00,4019347.8355702064,3535611.0498996335,4027643.3024281356 
 01/04  09:00:00,4004376.837976987,3522236.463268859,4013943.7492952067 
 01/04  10:00:00,3858757.3155068476,3391795.7876731833,3866938.334425926 
 01/04  11:00:00,3261050.9162289817,2867918.516865916,3257972.386176979 
 01/04  12:00:00,2498543.9157624873,2194375.1042093886,2385813.4219065243 
 01/04  13:00:00,1717908.6659039801,1482415.6484023961,1317860.694065228 
 01/04  14:00:00,1371816.8363565514,1165865.9664041451,876404.4901900145 
 01/04  15:00:00,1199946.0969772313,980158.36986296,605356.9701796507 
 01/04  16:00:00,1138721.721650656,855630.2748692314,258093.05971879698 
 01/04  17:00:00,1361316.8255285341,974083.1288839575,259455.64506993833 
 01/04  18:00:00,2335781.928593351,2006812.0162826031,2124636.4366791807 
 01/04  19:00:00,2496401.460458236,2157868.217733708,2346787.4796611294 
 01/04  20:00:00,2598671.607359359,2253636.4334882074,2478112.029376009 
 01/04  21:00:00,2613946.405043342,2273855.020393893,2516838.8752892045 
 01/04  22:00:00,2647285.2290208405,2310254.2412154395,2571459.0241298545 
 01/04  23:00:00,2650346.0179595132,2317824.263234843,2590807.871859528 
 01/04  24:00:00,2626858.4284424963,2301257.8820679556,2580619.2898922553 
 01/05  01:00:00,2693842.1912632845,2363798.7153182514,2659182.143261755 
 01/05  02:00:00,2729613.3599523995,2398743.7785942415,2703587.792848022 
 01/05  03:00:00,2723491.2215572298,2397055.7693029554,2704948.29795489 
 01/05  04:00:00,2742385.378717171,2416351.6595711303,2729973.439983683 
 01/05  05:00:00,2745730.195854894,2421024.502635797,2738046.664577682 
 01/05  06:00:00,2739904.533483131,2417278.372834299,2735996.4545150893 
 01/05  07:00:00,2741494.599089296,2420035.341521676,2740696.350265175 
 01/05  08:00:00,2752132.157236459,2430850.9171260893,2754173.6285387874 
 01/05  09:00:00,2724962.5853792476,2408279.6147822444,2729078.5349179315 
 01/05  10:00:00,2642428.2744850595,2336889.543825303,2647663.945318023 
 01/05  11:00:00,2440869.6498116567,2159922.4002971794,2446407.7726260913 
 01/05  12:00:00,2123224.0450421763,1881638.8236847539,2128113.7483626865 
 01/05  13:00:00,1901730.852097287,1689060.388213926,1909875.129014939 
