Date/Time,BATIMENT0000000240879449_PART0_F0_DWELLING_0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879449_PART0_F0_DWELLING_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,2931068.886735324,2539632.7758976333,2537223.8103793864,2553125.0684393016,3076422.356014192 
 01/01  02:00:00,3287509.5591793424,2835128.6116976864,2831542.411397702,2847743.988164538,3416921.635854737 
 01/01  03:00:00,3452339.1184295192,2962590.758135669,2957879.793244635,2974107.0690258904,3566509.1334618647 
 01/01  04:00:00,3565680.1603540084,3047683.437010489,3042071.2447083616,3058298.0931720026,3667209.480413569 
 01/01  05:00:00,3637785.9226155216,3099322.611928612,3092931.3162985826,3109085.262587665,3727791.7014002423 
 01/01  06:00:00,3760457.587418244,3196745.5513380603,3189555.524319801,3205789.975416509,3840561.9388297363 
 01/01  07:00:00,3821202.7899521226,3240749.785659396,3232930.7493787194,3249184.8806269183,3892918.1775051593 
 01/01  08:00:00,3905677.575682353,3307933.060271191,3299558.05699559,3315822.082746049,3969654.535120516 
 01/01  09:00:00,4074237.2270128406,3452436.3122334965,3443493.958165657,3460001.729644891,4132624.653666019 
 01/01  10:00:00,4162826.6748504867,3545036.141812189,3534142.1475975085,3550310.4089531484,4174585.063546463 
 01/01  11:00:00,3646081.5644640247,3125823.390433875,3116078.938673393,3128425.277239007,3448688.398601291 
 01/01  12:00:00,2736595.204752857,2374160.8989692745,2365597.864214887,2375382.623221778,2541127.555220394 
 01/01  13:00:00,1776024.2631328555,1772360.9165353554,1769238.9846926976,1779900.1175733053,2034541.3148792882 
 01/01  14:00:00,808604.6708170166,1355880.9514369818,1364477.2275493627,1375464.3122238952,1692288.1178397469 
 01/01  15:00:00,98929.61377673928,1128339.0925063475,1148765.47015517,1169380.6723449207,1571163.7673308405 
 01/01  16:00:00,0.0,1202506.754393602,1245848.9909602096,1338961.4683671086,1710752.5602994985 
 01/01  17:00:00,713637.0568918516,1533024.5030787075,1584348.7831203109,1633225.781136146,1963583.7339505088 
 01/01  18:00:00,1879740.0887120035,1851984.0864884974,1861671.0592264864,1882163.9686079756,2290952.706261183 
 01/01  19:00:00,2174648.6124372124,2064612.3253733472,2071997.3914715128,2091639.038335845,2531291.574445686 
 01/01  20:00:00,2369554.0342912446,2192830.510662217,2198066.0077444618,2216868.459906213,2676856.264349366 
 01/01  21:00:00,2460869.9159093103,2235890.1273792526,2239274.2623322583,2257242.600485869,2725174.306482556 
 01/01  22:00:00,2484115.2136307964,2222262.485666995,2223984.3360771486,2241120.624818633,2710542.2369872145 
 01/01  23:00:00,2564728.5492471126,2262076.7085551023,2262296.5478265355,2278732.666031849,2759005.5635606875 
 01/01  24:00:00,2600914.1986036557,2270129.5406528576,2269122.600081457,2285010.7455287655,2769045.762958033 
 01/02  01:00:00,2584867.266747934,2237599.8938395,2235511.9746427652,2250801.891550045,2729192.842665312 
 01/02  02:00:00,2543217.732030929,2183959.871751696,2180816.174892847,2195577.5042358628,2666382.969874588 
 01/02  03:00:00,2592317.063156044,2214259.964488387,2210262.256470275,2224700.872648257,2698937.0604818617 
 01/02  04:00:00,2714918.965048445,2312033.591635419,2307172.3532207995,2321594.9215697357,2808254.92207058 
 01/02  05:00:00,2841038.5749027277,2412306.5923702233,2406571.978026984,2421056.5428807577,2922628.8146588937 
 01/02  06:00:00,2946014.700179347,2495374.640399434,2488983.3297570106,2503549.0423255237,3019304.0271348306 
 01/02  07:00:00,2953401.193422072,2492127.9704424334,2485175.635821394,2499679.9017296536,3018881.572209085 
 01/02  08:00:00,2997108.1765558897,2523021.4328764025,2515499.681929419,2529946.057602347,3054997.232323664 
 01/02  09:00:00,3108044.6244982625,2615823.3748337827,2607747.131673733,2622353.8557125726,3160353.5973403174 
 01/02  10:00:00,3159617.2003575796,2677089.9522635415,2668564.4908942883,2683129.2652173,3203223.1800213093 
 01/02  11:00:00,3005564.671331499,2609789.5215436453,2601816.780927587,2614919.983953595,3001141.838735048 
 01/02  12:00:00,2604090.731379124,2327635.178754499,2320717.1419579056,2331764.0144619113,2576481.713722523 
 01/02  13:00:00,2173395.907467125,2067806.0494417325,2063159.9728627058,2073586.057391412,2284663.4097313466 
 01/02  14:00:00,2367732.898811931,2198772.26038244,2193985.3721384075,2204264.6589045674,2455070.4393479587 
 01/02  15:00:00,2837868.9925722694,2542081.3044140376,2535983.750588338,2547288.9649070017,2891240.4618707895 
 01/02  16:00:00,3288802.4274052805,2885161.301008149,2877875.859614507,2890466.846838955,3329835.0082703577 
 01/02  17:00:00,3637087.0417591664,3161315.829153554,3153584.485853356,3167666.877639441,3689464.22083926 
 01/02  18:00:00,4186271.896556884,3513791.580000251,3502858.6857902207,3519470.344897556,4224541.644364611 
 01/02  19:00:00,4469162.3551536305,3749422.6600144594,3737572.624385325,3755237.235872535,4507058.880088503 
 01/02  20:00:00,4591603.499278502,3852513.9869037303,3840035.4502136298,3858330.025701152,4628448.804473292 
 01/02  21:00:00,4663289.374880046,3908548.5991185624,3895533.433940671,3914319.567063744,4699037.976393791 
 01/02  22:00:00,4851985.055362456,4077680.1513015195,4064199.4576941067,4083579.7507055844,4887628.15674053 
 01/02  23:00:00,5078031.202781997,4278517.089489894,4264519.6282593645,4284596.999045683,5113964.571537634 
 01/02  24:00:00,5354570.001667234,4512227.39599999,4497559.702843172,4518535.529402308,5391233.532394873 
 01/03  01:00:00,5662031.309126212,4766759.078202429,4751302.400735942,4773330.641850996,5699749.054525528 
 01/03  02:00:00,6084298.846875632,5158046.94620865,5142515.087525285,5165071.081497179,6122464.281980237 
 01/03  03:00:00,6371090.124032442,5411935.221888288,5396032.139709574,5419243.110246319,6410048.411554286 
 01/03  04:00:00,6555679.454043807,5569733.620480525,5553407.041969947,5577205.085823605,6595222.047770321 
 01/03  05:00:00,6682174.521783456,5677222.002517256,5660572.382723462,5684798.623670399,6722025.937850212 
 01/03  06:00:00,6757881.869720812,5740500.63448888,5723584.021587189,5748126.693783641,6797712.208755658 
 01/03  07:00:00,6837592.686088009,5808898.93904795,5791780.327437748,5816585.9400979765,6877474.114205064 
 01/03  08:00:00,6902922.603226094,5864500.780724495,5847182.788328369,5872236.36141837,6942880.931330361 
 01/03  09:00:00,6961542.515715374,5915095.455441,5897618.31405545,5922877.700645506,7001651.077058425 
 01/03  10:00:00,6930999.024764679,5896324.046696085,5878773.780663161,5904081.649984864,6972105.362353811 
 01/03  11:00:00,6739700.132524683,5785299.390690527,5768304.650868963,5793020.8763753865,6786318.725074474 
