building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
way/29093543,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT,349ad4b12e032223a2c71909dea83e23dfd83b3489ddab8c01920038063102d5,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,2628.8959,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/29093543.json
way/298782430,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT,02a6b468cb12fc94317484978a4f6bfefdabf92fdf74ae3bc91156871ad7657d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,1872.5247,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/298782430.json
way/298782432,GB.ENG.AB.04.Gen.ReEx.001.001,AB,E,FALLBACK_PENDING_LAYOUT,e9beb19218372d6599b3f44c2f2232734ad504b8aaec11c4f4d144ecbda292ea,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,861.3921,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/298782432.json
way/298850491,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,L,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,38e9c6e37d64a9eafa5cc07ccb783cd7e4329494fbc3d479d75845ae8db1d000,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,982.2899,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/298850491.json
way/298850492,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,L,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,acc8d846b33c65d008b1789b803e1e461d75544be14528e49c6b8501d48f69d9,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,982.2899,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/298850492.json
way/298850494,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,L,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,060a3dcbfc1bb7ce75b94c1f862969c5544462e3fd03507027c5b7abef6a4c02,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,1363.5165,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/298850494.json
way/328227197,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,a3984849416c5895cc66c1c99fe5fb4f67757ad97d3c2a2c85ba8e4801ba1bb1,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,504.297,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/328227197.json
way/328227198,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,7fe5a543ec3f17c78ae4ef43701a4486276c584b34c2410415c31f2f2ad77806,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,215.8912,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/328227198.json
way/328227199,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,ac26f5da91f9acc980db0cadd02116339a22a3bfd917790f3c96dce53f1d861d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,611.2846,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/328227199.json
way/381441241,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT,b92cbd34a884377e350d6a73380bdda3326c4f8ed89833f705754ae737ee49ca,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,3274.7008,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/381441241.json
way/381466697,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT,3d211495b76ce517e9dc039ccfc0b3ce666f941b34f61f313e68ced39530ee7a,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,2836.0216,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/381466697.json
