fold,Code_BuildingVariant,Code_BuildingSizeClass,n_Apartment,n_air_infiltration,n_air_use,g_gl_n_Window_1,g_gl_n_Window_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,F_red_temp,h_Transmission,h_Ventilation,delta_U_ThermalBridging,H_Transmission_ThermalBridging,A_C_Ref,n_Storey,h_room,V_C
es,ES.ME.TH.04.Gen.ReEx.001.001,TH,1,0.2,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8162336523125997,3.51299043062201,0.5100000000000001,0.1,47.86000000000001,250.8,2,2.5,684
es,ES.ME.TH.05.Gen.ReEx.001.001,TH,1,0.1,0.4,0.75,0,1,0,1,0,0,0.5,0,0.8571232987323638,2.2863010380290874,0.42500000000000004,0.05,14.3,161.92000000000004,3,2.5,552
es,ES.ME.TH.06.Gen.ReEx.001.001,TH,1,0.1,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8952073887883678,1.1437783363489658,0.42500000000000004,0,0,143,3,2.5,377
uk,GB.ENG.AB.03.Gen.ReEx.001.001,AB,59,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8950740143231322,2.6477795703060343,0.5100000000000001,0.1,338.24800000000005,3361.7,11,2.5,8110.5
uk,GB.ENG.AB.04.Gen.ReEx.001.001,AB,69,0.2,0.4,0.76,0,1,1,1,0.5,0,1,0,0.9258404055009967,1.7247878349700974,0.5100000000000001,0.1,389.08400000000006,4357.13,13,2.5,10355.74
uk,GB.ENG.AB.07.Gen.ReEx.001.001,AB,59,0.1,0.4,0.72,0,1,1,1,0.5,0,1,0,0.9932900478803779,0.5670995211962213,0.42500000000000004,0.05,169.28600000000003,4045.11,9,2.5,9589.8
uk,GB.ENG.MFH.01.Gen.ReEx.001.001,MFH,6,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.879554901788028,3.1133529463591603,0.5100000000000001,0.15,90.48149999999998,425,3,2.5,1137.09
uk,GB.ENG.MFH.02.Gen.ReEx.001.001,MFH,8,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8671722302993999,3.4848330910180008,0.5100000000000001,0.15,109.92899999999999,480.83,3,2.5,1214.08
uk,GB.ENG.MFH.03.Gen.ReEx.001.001,MFH,7,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.868028636824489,3.459140895265327,0.5100000000000001,0.1,75.05999999999999,447.1,3,2.5,1073.83
uk,GB.ENG.MFH.04.Gen.ReEx.001.001,MFH,9,0.2,0.4,0.76,0,1,1,1,0.5,0,1,0,0.9017285894122248,2.448142317633257,0.5100000000000001,0.1,85.741,559.42,3,2.5,1321.69
uk,GB.ENG.MFH.05.Gen.ReEx.001.001,MFH,12,0.2,0.4,0.76,0,1,1,1,0.5,0,1,0,0.9242294867939514,1.7731153961814545,0.5100000000000001,0.1,88.635,633.14,3,2.5,1490.58
uk,GB.ENG.MFH.06.Gen.ReEx.001.001,MFH,12,0.1,0.4,0.76,0,1,1,1,0.5,0,1,0,0.9240345749696096,1.7789627509117094,0.42500000000000004,0.05,49.54650000000001,692.58,3,2.5,1643.14
uk,GB.ENG.MFH.07.Gen.ReEx.001.001,MFH,16,0.1,0.4,0.72,0,1,1,1,0.5,0,1,0,0.9796049198714876,0.7039508012851245,0.42500000000000004,0.05,67.7005,994.42,3,2.5,2347.6
uk,GB.ENG.MFH.08.Gen.ReEx.001.001,MFH,16,0.1,0.4,0.72,0,1,1,1,0.5,0,1,0,0.9872144967540554,0.6278550324594465,0.42500000000000004,0.05,67.702,994.4,3,2.5,2347.6
uk,GB.ENG.SFH.01.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.85,0,1,1,0.5,0.5,0,1,0,0.8,4.2659057682084,0.5100000000000001,0.15,71.625,198,2,2.5,491.3
uk,GB.ENG.SFH.02.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.85,0,1,1,0.5,0.5,0,1,0,0.8,4.625446258564081,0.5100000000000001,0.15,59.193,153.41,2,2.5,384.22
uk,GB.ENG.SFH.03.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.85,0,1,1,0.5,0.5,0,1,0,0.8,4.511634555137844,0.5100000000000001,0.1,36.784000000000006,134.4,2,2.5,325.1
uk,GB.ENG.SFH.04.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.85,0,1,1,0.5,0.5,0,1,0,0.8017113459224924,3.948659622325231,0.5100000000000001,0.1,34.738,123.08,2,2.5,294.02
uk,GB.ENG.SFH.05.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.76,0,1,1,0.5,0.5,0,1,0,0.8439721679890334,2.6808349603289994,0.5100000000000001,0.1,35.112,126.7,2,2.5,299.9
uk,GB.ENG.SFH.06.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.76,0,1,1,0.5,0.5,0,1,0,0.855653884661594,2.330383460152183,0.42500000000000004,0.05,18.696,140.8,2,2.5,335.35
uk,GB.ENG.SFH.07.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.72,0,1,1,0.5,0.5,0,1,0,0.8978997983509939,1.063006049470185,0.42500000000000004,0.05,19.0955,149.35,2,2.5,358.87
uk,GB.ENG.SFH.08.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.72,0,1,1,0.5,0.5,0,1,0,0.9030928225723406,0.984535887138297,0.42500000000000004,0.05,19.097000000000005,149.4,2,2.5,358.9
uk,GB.ENG.TH.01.Gen.ReEx.001.001,TH,1,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8,4.836568666925347,0.5100000000000001,0.15,34.44,104.62,2,2.5,269.75
uk,GB.ENG.TH.02.Gen.ReEx.001.001,TH,1,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8,5.382153863467599,0.5100000000000001,0.15,33.558,93.01,2,2.5,232.01
uk,GB.ENG.TH.03.Gen.ReEx.001.001,TH,1,0.2,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8,4.880044387002593,0.5100000000000001,0.1,21.762,87.72,2,2.5,210.42
uk,GB.ENG.TH.04.Gen.ReEx.001.001,TH,1,0.2,0.4,0.76,0,1,1,1,0.5,0,1,0,0.8081676067694838,3.7549717969154854,0.5100000000000001,0.1,20.628000000000004,85.32,2,2.5,200.68
