excluded_id,prepared_neighbor_id,excluded_blocker_key,prepared_blocker_key,excluded_epc_age_band,prepared_epc_age_band,excluded_storeys,prepared_storeys,excluded_building_type,prepared_building_type,prepared_tabula_period,differing_field
way/1057529451,way/1057529452,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1057778427,way/1057778426,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,3.0,3.0,TH,TH,GB.06,epc_certificate_found
way/1057778427,way/1057778428,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,3.0,3.0,TH,TH,GB.06,epc_certificate_found
way/1057778444,way/1057778445,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1057778444,way/1057778443,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1057778450,way/1057778449,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058042183,way/1058042184,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,C|D,2.0,2.0,TH,TH,GB.03,epc_age_band
way/1058042185,way/1058042184,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,C|D,2.0,2.0,TH,TH,GB.03,epc_age_band
way/1058042192,way/393510994,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,3.0,TH,AB,GB.06,building_type
way/1058042193,way/393510990,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058147230,way/1054785377,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058147233,way/1058147234,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
