osm_id,building_type,is_attached,storeys,storey_provenance,epc_certificate_found,epc_age_band,tabula_period,blocker_key,prepared,simulated,eui_kwh_m2
relation/19609965,,False,5,,N,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,N,N,
relation/6171462,AB,False,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_D|I|J|K|L,,PERIOD_STRADDLE_DISJOINT_BANDS_D|I|J|K|L,N,N,
relation/6171463,AB,False,,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_I|J|K|L,,PERIOD_STRADDLE_DISJOINT_BANDS_I|J|K|L,N,N,
way/1054662329,TH,True,3,,Y,G,GB.05,,Y,Y,250.91025
way/1054662330,TH,True,3,,N,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,N,N,
way/1054662331,TH,True,3,,Y,G,GB.05,,Y,Y,346.749687
way/1054662332,TH,True,3,,Y,G,GB.05,,Y,Y,341.43085
way/1054662333,TH,True,2,,Y,G,GB.05,,Y,Y,168.444343
way/1054662334,TH,True,2,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_E|I,,PERIOD_STRADDLE_DISJOINT_BANDS_E|I,N,N,
way/1054662335,TH,True,2,,N,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,N,N,
way/1054662336,TH,True,2,,Y,E,GB.04,,Y,Y,220.681341
way/1054785374,AB,False,3,,Y,I,GB.06,,Y,Y,71.168476
way/1054785375,TH,True,3,,Y,I,GB.06,,Y,Y,239.815977
way/1054785376,TH,True,3,,Y,I,GB.06,,Y,Y,281.012467
way/1054785377,TH,True,2,,Y,H,GB.06,,Y,Y,164.775514
way/1054785378,TH,True,2,,Y,H|I,GB.06,,Y,Y,203.789538
way/1054785379,TH,True,3,,Y,I,GB.06,,Y,Y,261.848673
way/1054785380,TH,True,3,,Y,I,GB.06,,Y,Y,217.812392
way/1054785381,AB,True,3,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,N,N,
way/1054785382,AB,True,3,,Y,I,GB.06,,Y,Y,76.121246
way/1054901265,TH,True,2,,N,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,N,N,
way/1054901266,TH,True,2,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,N,N,
way/1054901267,TH,True,2,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,N,N,
way/1054901268,TH,True,2,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,N,N,
way/1054901269,TH,True,2,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,N,N,
way/1054901270,TH,True,2,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,N,N,
way/1054901271,TH,True,2,,Y,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E,,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E,N,N,
way/1054901272,TH,True,2,,Y,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,N,N,
way/1054901273,TH,True,2,,Y,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,N,N,
