cell,city,mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,n_severe,zoning_strategy,num_zones,data_quality_flag,heating_eui,cooling_eui,lighting_eui,equipment_eui,fans_eui,pumps_eui,dhw_eui,cooking_eui,refrig_eui,total_eui,phaseE_total_eui
nyc_centre,NYC,layout_assign,way/114071252,TallBuilding,54627.23051199867,success,False,0,layout_assign,164,"generic_tag,no_floors,no_function",61.843704181496015,32.0593050808976,34.26983302867443,123.41427139316808,18.13171659789442,15.772919917999774,80.21109468781964,23.063404485727872,0.0,388.76624937367785,176.55124297440526
nyc_centre,NYC,layout_assign,way/137716320,LargeOffice,3568.6186281167643,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_height",,,,,,,,,,,106.31237712177791
nyc_centre,NYC,layout_assign,way/138022483,LargeOffice,20805.56735647004,failed,False,1,layout_assign,23,no_floors,,,,,,,,,,,123.27919263497184
nyc_centre,NYC,layout_assign,way/143858914,LargeOffice,2209.586682869855,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_height",,,,,,,,,,,118.99275482108122
nyc_centre,NYC,layout_assign,way/148457887,TallBuilding,140061.85405196983,failed,False,1,layout_assign,164,,,,,,,,,,,,169.81273038941737
nyc_centre,NYC,layout_assign,way/157835453,LargeOffice,5180.719472059762,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_height",,,,,,,,,,,106.35615978407876
nyc_centre,NYC,layout_assign,way/159837290,TallBuilding,126820.56271982155,failed,False,1,layout_assign,164,no_height,,,,,,,,,,,170.74810050904225
nyc_centre,NYC,layout_assign,way/160915057,MediumOffice,1564.2483268399508,success,False,0,layout_assign,18,"generic_tag,no_floors,no_function,no_height",26.54420578843234,13.539406583240243,9.554032471747597,36.11519746394947,6.48142630742841,0.008171391840161149,16.030275621488784,0.0,0.0,108.272715628127,122.59528373302453
nyc_centre,NYC,layout_assign,way/161173093,MediumOffice,5773.052883883685,success,False,0,layout_assign,18,no_floors,18.733523885743562,10.666821077066402,9.517947393327354,36.094730403913324,5.197204850429784,0.008166764907844378,6.997611286038556,0.0,0.0,87.21600566142682,186.7333223668908
nyc_centre,NYC,layout_assign,way/161849936,SuperTallBuilding,185829.92743065165,failed,False,1,layout_assign,256,no_floors,,,,,,,,,,,167.3861416425009
nyc_centre,NYC,layout_assign,way/162004802,LargeOffice,1931.331905766602,failed,False,1,layout_assign,23,"no_floors,no_height,no_year|HOTDECK_NEIGHBOR_HIGH",,,,,,,,,,,115.4788839217275
nyc_centre,NYC,layout_assign,way/162695595,TallBuilding,39337.88135956404,success,False,0,layout_assign,164,no_floors,76.8789490157887,34.10248528133089,34.09833779635296,123.39239010649693,19.009695605066927,17.73016330038229,82.40121460089736,23.059315356007197,0.0,410.6725510623233,183.1814863305387
nyc_centre,NYC,layout_assign,way/162977896,MediumOffice,2718.2783722809227,success,False,0,layout_assign,18,no_year|HOTDECK_NEIGHBOR_HIGH,26.34926464224804,11.854669163652302,9.647088691912556,36.362840927311915,5.755530012678427,0.008227427125750208,10.797871417471208,0.0,0.0,100.77549228240021,163.7571569695465
nyc_centre,NYC,layout_assign,way/163465869,SuperTallBuilding,259486.30969687767,failed,False,1,layout_assign,256,no_height,,,,,,,,,,,156.64558279018115
nyc_centre,NYC,layout_assign,way/163474780,LargeOffice,6439.7761542678145,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_height",,,,,,,,,,,102.4157712743991
nyc_centre,NYC,layout_assign,way/163629929,LargeOffice,18878.8459107941,failed,False,1,layout_assign,23,no_floors,,,,,,,,,,,179.93181406908818
nyc_centre,NYC,layout_assign,way/163631696,LargeOffice,2312.141083926303,failed,False,1,layout_assign,23,"no_floors,no_height",,,,,,,,,,,112.00035329101175
nyc_centre,NYC,layout_assign,way/165439147,TallBuilding,31617.44221553376,success,False,0,layout_assign,164,"generic_tag,no_function,no_year|GROUPMODE_MED",89.13548538027847,35.63149994021033,33.66292179659899,123.3038365125393,19.521397336615912,19.177518426882248,84.27502632365402,23.04276664301944,0.0,427.75045235979877,184.40547146203934
nyc_centre,NYC,layout_assign,way/165439153,MidriseApartment,5384.208271142968,success,False,0,layout_assign,27,no_floors,9.248797168095942,8.32231233705913,5.091389918290726,37.54849351744625,7.3943183180093754,0.0,22.81077073391489,0.0,0.0,90.41608199281632,100.8509015533748
nyc_centre,NYC,layout_assign,way/218327129,LargeOffice,19729.763422561795,failed,False,1,layout_assign,23,"generic_tag,no_floors,no_function,no_year|HOTDECK_NEIGHBOR_HIGH",,,,,,,,,,,188.24275569096412
nyc_centre,NYC,layout_assign,way/218333949,SuperTallBuilding,94044.16666181629,success,False,0,layout_assign,256,no_floors,49.78015046175304,18.917407270246716,25.275360157694813,115.77443115799413,16.428539193615563,16.29024074813283,55.77271624840027,9.610447974927807,0.0,307.84929321276513,164.11249546581675
nyc_centre,NYC,layout_assign,way/258619240,SmallOffice,223.80675652163688,success,False,0,layout_assign,6,"generic_tag,no_year|GROUPMODE_MED",15.507405184314722,7.497927622649441,10.698585997909912,26.266861000198713,12.33175454301959,1.2803189466777737e-10,31.1318883400202,0.0,0.0,103.4344226882406,112.97159840401667
nyc_centre,NYC,layout_assign,way/258646143,Courthouse,264.67288922435375,success,False,0,one_zone_per_floor,2,"generic_tag,no_floors,no_year|GROUPMODE_MED|layout_assign_fallback_auto",98.66142570607116,29.64997790462204,19.67665471955224,28.256190058728357,61.53704809654201,2.2977039082328745,14.691166042471666,0.0,0.0,254.77016643622034,247.28755120528902
nyc_centre,NYC,layout_assign,way/258646144,SmallOffice,42.08170935629485,success,False,0,layout_assign,6,"generic_tag,no_function,no_year|GROUPMODE_MED",38.89008733122254,13.42115509523234,10.782489175625827,26.24925134435941,22.981916477128557,1.2794604751033118e-10,165.49154290336284,0.0,0.0,277.81644232705946,194.06128232732812
nyc_centre,NYC,layout_assign,way/260085134,LargeOffice,3058.359259735589,failed,False,1,layout_assign,23,"no_floors,no_height",,,,,,,,,,,107.56130525439305
nyc_centre,NYC,layout_assign,way/260085136,LargeOffice,1477.0982133589537,failed,False,1,layout_assign,23,"no_floors,no_height",,,,,,,,,,,118.44130029638364
