cell,city,archetype_id,heating_eui,heating_eui,heating_eui,cooling_eui,cooling_eui,cooling_eui,lighting_eui,lighting_eui,lighting_eui,equipment_eui,equipment_eui,equipment_eui,fans_eui,fans_eui,fans_eui,pumps_eui,pumps_eui,pumps_eui,dhw_eui,dhw_eui,dhw_eui,cooking_eui,cooking_eui,cooking_eui,refrig_eui,refrig_eui,refrig_eui,total_eui,total_eui,total_eui,phaseE_total_eui,phaseE_total_eui,phaseE_total_eui
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
austin_centre,AUS,Courthouse,19.247791888797117,16.740143781130506,18,54.47484401372595,54.38197378109062,18,19.67665442448845,19.676654701361606,18,28.25618963502207,28.256190032617745,18,29.641291036224377,37.194755337771326,18,0.5174926834043168,0.5130694247416994,18,3.2223070140456738,2.801117333594245,18,0.0,0.0,18,0.0,0.0,18,155.03657069570795,155.73976305654404,18,162.31601010052847,160.9018084621844,18
austin_centre,AUS,FullServiceRestaurant,71.45463396603046,60.97721407935366,9,158.154153605283,159.98972427794325,9,20.871809054751207,20.922304014318907,9,224.61656564801837,224.58343144914576,9,67.81402071639934,58.65325516216435,9,0.24248045316736355,0.24244468614572776,9,242.66940215027262,235.96737592289676,9,456.10700352535866,456.03972113182675,9,33.879857376404175,28.179568345228937,9,1275.8099264956852,1245.7574634502819,9,1044.5637826884004,1069.620630255286,9
austin_centre,AUS,HighriseApartment,6.787639474762009,1.7638933079201369,8,21.084939682626676,18.723944660066998,8,4.05111720882464,4.1541841325292905,8,36.62655248019237,37.558390759730685,8,9.84480240209247,8.89516053699701,8,2.1021980573100483,1.6390930404289978,8,54.505801057351334,39.48919793838848,8,0.0,0.0,8,0.0,0.0,8,135.00305036315956,109.1467577486259,8,98.89303714479917,105.2356546636016,8
austin_centre,AUS,LargeOffice,4.42104684617496,3.33214165223266,11,30.957438491903556,23.162420784318854,11,10.47526100518505,10.374886298208413,11,79.56436371456792,88.01331835035154,11,16.009699759013074,15.682905633344552,11,3.263184958705571,3.4969167395061804,11,18.813457644289844,5.160382358335706,11,11.350072538505627,0.0,11,0.3047000330533386,0.0,11,175.15922499139893,149.9370247880876,11,148.47439459258337,159.61896478630047,11
austin_centre,AUS,MediumOffice,12.960678715981123,14.529259003688654,69,34.66170917400895,36.74046283464144,69,9.447656378057172,9.438981331146136,69,36.13431915710016,36.11612834151914,69,10.07695052981961,10.799772534800612,69,0.008175721607607805,0.00817160586666646,69,26.315967961712964,29.33829695739286,69,0.0,0.0,69,0.0,0.0,69,129.6054576382876,136.97581450235026,69,128.2855260643381,124.06648376627737,69
austin_centre,AUS,OpenUBEMUnknown,20.619927978062364,17.219270542383093,37,92.85471239835995,92.25796510206031,37,34.25295113041703,34.68460176888508,37,206.42603830942315,203.28493211280815,37,40.07348120918114,30.25056289612419,37,0.0332916533814653,0.0,37,39.17034261674872,34.41148736443369,37,0.0,0.0,37,0.0,0.0,37,433.43074529557384,425.37763116541527,37,415.5540343730325,411.4960293199991,37
austin_centre,AUS,QuickServiceRestaurant,83.91795839679057,45.31645369845822,22,173.52475618290646,169.92561363617716,22,25.38395132049892,25.355414749057125,22,286.833926358526,286.7408228313636,22,81.74808166541855,59.64835775884572,22,1.1219695544554212e-08,1.1216053482488343e-08,22,234.77489090881127,221.28972140810856,22,805.1532420096208,804.8918970296937,22,62.20520508656957,43.40594683005205,22,1753.5420119403616,1658.963004828774,22,1535.4584396100202,1560.6591907289976,22
austin_centre,AUS,RetailStandalone,12.329296938397183,11.20437163178008,13,41.12280364542451,38.00183628499859,13,22.205151898619405,22.22094318419292,13,23.542271866431193,23.52741817030546,13,48.57256547177011,35.99012512749181,13,0.0,0.0,13,72.72861628079907,46.84800552185333,13,0.0,0.0,13,0.0,0.0,13,220.5007061014415,177.79270253135428,13,182.9219865887897,186.90744331450423,13
austin_centre,AUS,SecondarySchool,39.30439038002568,39.30439038002568,2,92.25927585909304,92.25927585909304,2,4.89015572809776,4.89015572809776,2,16.76129673738907,16.76129673738907,2,51.31991620810764,51.31991620810764,2,2.4400479612789865,2.4400479612789865,2,56.611259290960106,56.611259290960106,2,6.40702708600918,6.40702708600918,2,62.31585737009544,62.31585737009544,2,332.30922662105695,332.30922662105695,2,213.75175847723057,213.75175847723057,2
