building_id,stem,district,geometry_outcome,sidecar_present,scheme_consistent,zone_names_equal,circulation_presence_equal,storey_count_equal,area_conservation_ok,idf_storey_count,sidecar_storey_count,divergent,divergence_notes
way/1054785374,2e6162aa24059905,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/1054785381,96664f92acdf04e8,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1054785382,816e388cc0fdaa78,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1057093131,acd9800057059025,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1057093136,d0865da1e602d3c4,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1057529442,460d1fcdef25a219,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1057529443,022036db01ca1caa,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1057823423,854365cba7843f0e,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1058252118,399d7dc617815dd5,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/1058252123,2e05b77ecc5bc3aa,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/14325891,b9ac271856d7e364,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/190348384,4f8921bb4d40e47e,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,10,10,False,
way/190837474,e43dee894485492c,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/195649308,7bc66d8e08026be8,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/29093543,50fd9320aab0b118,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,6,6,False,
way/298782430,6e806ec067d0fc74,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/298782432,a01beac10d4f56ef,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/298850491,38af7df582b30cb7,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,4,4,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/298850492,c93c0fb81b79acb2,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,4,4,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/298850494,aa5d5416d8568bfa,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,4,4,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/328227197,238fcd55b6d90187,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/328227198,0d5d6992925ccad5,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/328227199,6aa541121fa9ffb1,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/381441241,8b06677b97b30bb3,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/381466697,f28fa76e7bf82b34,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/384337387,c94816079278b032,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,2,2,False,
way/387107361,dc9a64cbc05afead,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/388460383,e04d187b5a6afccd,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/388460386,4a18ce956d10790e,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/388460387,dab57de23cfab31e,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/388460388,2bb2104b824ee36c,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,2,2,False,
way/393505346,9ff518bfd78678e6,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/393510994,f6ae939b36e0efe2,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/393604893,7fae024a8387c715,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/394093228,5ff998a792035b20,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/394093232,556240e4ba528969,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,5,5,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/394093233,5dc58326be62aa02,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/394093240,fbb81926b8daa5bd,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/394682356,e82f583576f5ec7f,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/394902414,a70f5575ca4f058d,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/395533898,f580d568c49c6287,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,4,4,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/395632068,e5309775108fa964,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/395632424,b252db3f9c37aa60,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/395878238,c4f639a0c5d6edcc,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/396524027,d119bf153bca7019,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/396595549,58bdcf3b3f3405dc,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/396595551,9ff8d2e48f7ba3e5,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/396619819,43cd7f4ff84abad9,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,2,2,False,
way/396622952,440f2de79103410b,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,2,2,False,
way/396929140,36ecf3a1cfa27c89,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/397131470,51c8aa96817118c0,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/398158944,c3e1359b2cd36036,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/398158947,df2bbf14b9a27954,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/398158948,82cbb2b3ebefd20f,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,2,2,False,
way/398158951,7f36bf5b02127c9e,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,2,2,False,
way/398158956,403bba2e04ae074c,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,2,2,False,
way/398158958,f33524ec0ca18525,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/398158959,28bc7989ce7ee6b6,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,2,2,False,
way/398158963,91ec8792884bc368,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/398158965,755f10e4633e6d44,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/398158967,df70a629c7914610,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/398158969,9cda8e7f0430451e,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/409624877,504119630c8bf575,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/409624878,737d614b36aff78b,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/419435179,cc9fc2d0296d33f7,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,3,3,False,
way/419435181,b8cd7c785023fede,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/419435184,3055e44fe7d7a0fc,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,2,2,False,
way/419435188,c1a3d9488a9bfe1f,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,2,2,False,
way/442591154,96ffdca3de1900b6,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,4,4,False,
way/51781396,0567d9cb0dc88410,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,17,17,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/51781397,236b3b62d1129cda,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,17,17,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/51781407,ed827c956e9f57f1,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,17,17,False,
way/554859553,7df6a1a199fd333e,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,True,True,True,True,True,True,6,6,False,
way/554859554,9691bb3ce9591348,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,7,7,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/554859555,575a090a2fc288d4,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,7,7,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/554859556,6254e2c2d0b6dbe8,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,10,10,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
way/554859561,89e89d65ed1ebf06,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT,True,True,True,True,True,True,3,3,False,
way/656952078,3ede73cd6d3add4e,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,True,False,False,True,True,True,3,3,True,SCHEME_DIVERGENT_FINDING_213;ZONE_NAME_SET_MISMATCH
